Number of Runs,5
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),200

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,
Generation 1,1793.7341586461375,1533.2436455979473,,Generation 1,1771.9252610801777,1523.2083338232214,,Generation 1,1800.1506464006245,1541.1021333691965,,Generation 1,1804.4445558702114,1515.7686214397818,,Generation 1,1804.4138262960075,1490.8019809082953,
Generation 2,1665.9779565331792,1455.4925283063747,,Generation 2,1659.4823311268642,1458.5305392250095,,Generation 2,1690.4107749537493,1489.2337948925351,,Generation 2,1708.8395769945032,1494.4866921192715,,Generation 2,1691.6598203216663,1468.3654380377293,
Generation 3,1552.7611237746364,1326.954700684664,,Generation 3,1555.227288363989,1340.5554062825015,,Generation 3,1595.9287041898324,1400.4499994367272,,Generation 3,1624.605553031957,1421.3698125164,,Generation 3,1584.297804344358,1337.2763435529826,
Generation 4,1482.5550611905624,1283.5488970202575,,Generation 4,1481.210174313683,1243.7662871756925,,Generation 4,1508.9198116556684,1305.5008664992783,,Generation 4,1541.1479083822896,1331.8430891026937,,Generation 4,1494.2021886955301,1309.1001478515273,
Generation 5,1407.1676201063174,1225.224589500472,,Generation 5,1397.6341343020802,1167.5297570097082,,Generation 5,1433.8215577948367,1228.4753920053531,,Generation 5,1455.2552539933201,1224.7893211385472,,Generation 5,1409.323842393301,1228.9086213343958,
Generation 6,1343.5778283533891,1155.744889638102,,Generation 6,1314.9449879411,1074.480156813579,,Generation 6,1356.2390886427127,1151.2319618992371,,Generation 6,1364.1923368309317,1167.0006101015401,,Generation 6,1329.6926635722602,1136.9369597562395,
Generation 7,1272.3798819033073,1107.2780134955374,,Generation 7,1245.0189410771975,1051.5502514047355,,Generation 7,1283.5005770818818,1105.1650197326642,,Generation 7,1289.6240872564845,1066.837973276714,,Generation 7,1267.4764161420303,1095.2512483823427,
Generation 8,1190.677991097942,977.3365471311436,,Generation 8,1169.192443995246,978.9981351486035,,Generation 8,1192.9749037008594,1024.4487425862378,,Generation 8,1221.9418217167454,996.7009053765735,,Generation 8,1181.4882539938437,989.2612164094029,
Generation 9,1120.1699556825097,933.1673921503414,,Generation 9,1097.2006644963635,898.8272899137652,,Generation 9,1117.7646682894629,935.9785186939929,,Generation 9,1147.6092177686555,968.6877452093581,,Generation 9,1113.0080598447414,899.3272326022126,
Generation 10,1037.2893652423065,836.3604340999291,,Generation 10,1030.8376169522132,829.8812144253405,,Generation 10,1056.66644795231,883.34330323414,,Generation 10,1089.2611453691734,923.3839434151671,,Generation 10,1040.2216061062352,866.1991055792093,
Generation 11,959.0248420278913,773.112401005575,,Generation 11,958.4396076420389,821.2627793595819,,Generation 11,1001.28912668951,863.1695688064882,,Generation 11,1018.9015629427988,881.7407467340362,,Generation 11,967.4473131927341,838.5312687628008,
Generation 12,878.8893865331604,734.5655819372654,,Generation 12,889.044196981959,734.6280722728773,,Generation 12,947.926555952964,821.0637864661112,,Generation 12,958.1653706516776,801.5720054737193,,Generation 12,919.2463267860658,780.6876981955669,
Generation 13,808.3706078933195,662.9410557005374,,Generation 13,815.2670531297663,690.5258816794784,,Generation 13,896.9801336766263,779.2034120795073,,Generation 13,892.2078951515267,761.6157888676565,,Generation 13,869.8449621777813,755.8607870289161,
Generation 14,742.7974681003019,612.9523209567994,,Generation 14,775.2363056928986,651.1486592997383,,Generation 14,844.828393649645,701.7841164631749,,Generation 14,835.6484140800289,724.4694388612436,,Generation 14,832.0519560136473,719.861496195195,
Generation 15,691.5375960736804,565.0595110762677,,Generation 15,739.7142977150969,589.9552363636412,,Generation 15,801.2446545741245,685.0061505410033,,Generation 15,797.8716098623673,617.367048890841,,Generation 15,791.5133521813907,673.475327976407,
Generation 16,639.6499325331389,498.4340109195039,,Generation 16,696.1583132243405,574.2522540600758,,Generation 16,759.8158208168353,598.4045619614567,,Generation 16,763.490628576365,633.2984588933907,,Generation 16,741.7415925841709,616.0072567517931,
Generation 17,577.7250920007609,458.57188497777236,,Generation 17,659.8954065364907,516.8337832899629,,Generation 17,726.764268733794,599.1798327171263,,Generation 17,704.0509683066589,569.0503857756762,,Generation 17,716.3395975526489,585.6870316600464,
Generation 18,531.4316107385589,449.57697064750744,,Generation 18,594.224390891453,470.1033396159262,,Generation 18,673.4252119955255,545.7241987683697,,Generation 18,661.6811729852208,562.6050627862999,,Generation 18,685.6828780713827,571.9109626209131,
Generation 19,513.7751871063596,408.2200218395267,,Generation 19,554.7449960597517,459.79603815969585,,Generation 19,626.0850695625763,488.66797654111554,,Generation 19,640.8350210504279,530.5778865051864,,Generation 19,652.3655661568706,521.9505887676954,
Generation 20,459.8193967695882,336.09317702538465,,Generation 20,503.5429751600619,406.6001880702362,,Generation 20,589.2144668582853,482.6226719800013,,Generation 20,599.5383827164151,486.58008424181503,,Generation 20,615.9031124952745,503.4512807637864,
Generation 21,426.46831058487754,342.1935982483826,,Generation 21,460.2929824307398,370.53660204667267,,Generation 21,557.5329635339903,452.3453199359866,,Generation 21,569.5184686467929,471.98903088679174,,Generation 21,577.9678968471768,467.11708070428665,
Generation 22,415.444987083105,320.29259845154763,,Generation 22,433.99620018912066,365.5135415741398,,Generation 22,529.1936048375567,434.8694524772999,,Generation 22,556.3900652883563,439.43449815155384,,Generation 22,542.8149527335718,422.85571732788003,
Generation 23,399.05108310508314,294.35740278907724,,Generation 23,428.90872341049226,331.61045224159454,,Generation 23,480.6489431163398,380.3668001547993,,Generation 23,516.5202318991361,399.0627039023627,,Generation 23,531.7061825287101,442.79448026279556,
Generation 24,354.51108848852095,265.34326380379343,,Generation 24,394.1686860268133,301.2264509809668,,Generation 24,459.67234731624666,358.68338891528924,,Generation 24,487.3418204017425,397.0730750435273,,Generation 24,501.06589352845833,404.79650781809846,
