Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,4
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,176.95341022618322,176.95341022618322,170.0695083241799,170.0695083241799,139.10430876293492,161.8283829043774,146.32712878478534,146.32712878478534,170.0695083241799,170.0695083241799,,,,162.7771802985969,139.10430876293492
Generation 2,150.40404619616453,135.02739135155576,146.32712878478534,146.32712878478534,146.32712878478534,146.32712878478534,150.40404619616453,135.02739135155576,162.62093639018624,145.5345752989765,,,,146.43269019237448,135.02739135155576
Generation 3,146.32712878478534,134.2348378657469,135.02739135155576,146.32712878478534,135.02739135155576,135.02739135155576,146.32712878478534,135.02739135155576,135.02739135155576,135.02739135155576,,,,138.33805723294373,134.2348378657469
Generation 4,134.2348378657469,134.2348378657469,135.02739135155576,135.02739135155576,134.2348378657469,135.02739135155576,134.2348378657469,135.02739135155576,135.02739135155576,134.2348378657469,,,,134.6311146086513,134.2348378657469
Generation 5,134.2348378657469,134.2348378657469,134.2348378657469,134.2348378657469,134.2348378657469,134.2348378657469,134.2348378657469,134.2348378657469,134.2348378657469,134.2348378657469,,,,134.23483786574687,134.2348378657469

Best Mean,134.23483786574687
Best Mean Generation,5

Lowest,134.2348378657469
Lowest Generation,3



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,163.46018537463328,127.39996182098896,80.88315213796719,143.64644685960587,100.48717785520277,100.48717785520277,79.65077795966178,144.87882103791128,81.10868144606903,143.42091755150403,,,,116.5423299898747,79.65077795966178
Generation 2,80.88315213796719,81.10868144606903,81.10868144606903,79.65077795966178,79.65077795966178,81.10868144606903,80.88315213796719,79.65077795966178,79.65077795966178,79.65077795966178,,,,80.33462384124503,79.65077795966178
Generation 3,79.65077795966178,79.65077795966178,80.88315213796719,79.65077795966178,79.65077795966178,79.65077795966178,79.65077795966178,79.65077795966178,79.65077795966178,79.65077795966178,,,,79.77401537749233,79.65077795966178
Generation 4,79.65077795966178,79.65077795966178,79.65077795966178,79.65077795966178,79.65077795966178,79.65077795966178,79.65077795966178,79.65077795966178,79.65077795966178,79.65077795966178,,,,79.6507779596618,79.65077795966178
Generation 5,79.65077795966178,79.65077795966178,79.65077795966178,79.65077795966178,79.65077795966178,79.65077795966178,79.65077795966178,79.65077795966178,79.65077795966178,79.65077795966178,,,,79.6507779596618,79.65077795966178

Best Mean,79.6507779596618
Best Mean Generation,4

Lowest,79.65077795966178
Lowest Generation,1



Run 1
,Mean,Lowest
Generation 1,162.7771802985969,139.10430876293492
Generation 2,146.43269019237448,135.02739135155576
Generation 3,138.33805723294373,134.2348378657469
Generation 4,134.6311146086513,134.2348378657469
Generation 5,134.23483786574687,134.2348378657469

Best Mean,134.23483786574687
Best Mean Generation,5

Lowest,134.2348378657469
Lowest Generation,3


Run 2
,Mean,Lowest
Generation 1,116.5423299898747,79.65077795966178
Generation 2,80.33462384124503,79.65077795966178
Generation 3,79.77401537749233,79.65077795966178
Generation 4,79.6507779596618,79.65077795966178
Generation 5,79.6507779596618,79.65077795966178

Best Mean,79.6507779596618
Best Mean Generation,4

Lowest,79.65077795966178
Lowest Generation,1



2,2,:,2,9,:,5,9
