Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,8
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,163.77284758432583,163.77284758432583,169.31814011905755,166.0152977699313,171.56059030466298,171.56059030466298,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,,,,166.10917040042696,163.77284758432583
Generation 2,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,,,,163.7728475843258,163.77284758432583
Generation 3,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,,,,163.7728475843258,163.77284758432583
Generation 4,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,,,,163.7728475843258,163.77284758432583
Generation 5,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,163.77284758432583,,,,163.7728475843258,163.77284758432583

Best Mean,163.7728475843258
Best Mean Generation,2

Lowest,163.77284758432583
Lowest Generation,1



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,163.57190588813768,163.57190588813768,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,,,,158.9092637620417,157.74360323051772
Generation 2,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,,,,157.74360323051772,157.74360323051772
Generation 3,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,,,,157.74360323051772,157.74360323051772
Generation 4,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,,,,157.74360323051772,157.74360323051772
Generation 5,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,157.74360323051772,,,,157.74360323051772,157.74360323051772

Best Mean,157.74360323051772
Best Mean Generation,2

Lowest,157.74360323051772
Lowest Generation,1



Run 1
,Mean,Lowest
Generation 1,166.10917040042696,163.77284758432583
Generation 2,163.7728475843258,163.77284758432583
Generation 3,163.7728475843258,163.77284758432583
Generation 4,163.7728475843258,163.77284758432583
Generation 5,163.7728475843258,163.77284758432583

Best Mean,163.7728475843258
Best Mean Generation,2

Lowest,163.77284758432583
Lowest Generation,1


Run 2
,Mean,Lowest
Generation 1,158.9092637620417,157.74360323051772
Generation 2,157.74360323051772,157.74360323051772
Generation 3,157.74360323051772,157.74360323051772
Generation 4,157.74360323051772,157.74360323051772
Generation 5,157.74360323051772,157.74360323051772

Best Mean,157.74360323051772
Best Mean Generation,2

Lowest,157.74360323051772
Lowest Generation,1



2,2,:,3,0,:,5,0
