Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,2,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,171.93755810033593,196.73573697903123,202.24703941484768,180.9470554905124,151.61725631045957,182.79703834684338,145.7781112884701,164.67165863916196,200.50848731205133,181.19824966512135,,,,177.84381915468347,145.7781112884701
Generation 2,135.47433543262784,174.9754344950042,142.46173093484862,167.98803899278343,166.9415161651794,156.6132982456161,171.93755810033593,164.67165863916196,171.5980037236082,155.37835722998327,,,,160.80399319591487,135.47433543262784
Generation 3,157.51328621173212,134.5743474665118,148.60367320515272,153.81217839265452,164.67165863916196,135.47433543262784,158.16425936970626,132.68843329290485,142.46173093484862,135.47433543262784,,,,146.34382383779285,132.68843329290485
Generation 4,126.26192517773379,141.00085558168286,131.07700840145807,168.89800874512267,126.26192517773379,143.78675772140585,144.52244720975614,146.54295693024517,135.47433543262784,148.60367320515272,,,,141.2429893582919,126.26192517773379
Generation 5,126.26192517773379,126.26192517773379,146.54295693024517,126.26192517773379,135.47433543262784,135.47433543262784,150.24605683119063,107.09287674800125,141.00085558168286,126.26192517773379,,,,132.08791176673108,107.09287674800125

Best Mean,132.08791176673108
Best Mean Generation,5

Lowest,107.09287674800125
Lowest Generation,5



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,164.79982047962926,157.76662111027645,209.40423834902936,216.31089737249033,189.5546662128183,149.69046606777542,208.06823175351673,191.20060157731658,169.894255954965,239.9703366621106,,,,189.6660135539928,149.69046606777542
Generation 2,175.98052324379927,151.68035382144214,161.31796219210113,161.24847939780454,157.76662111027645,208.06823175351673,196.32490782879432,150.9963794943004,165.3566178093074,157.20982378059827,,,,168.59499004319406,150.9963794943004
Generation 3,151.68035382144214,161.24847939780454,185.21400149441587,131.82297013633368,176.13730897907766,142.39047699362177,150.9963794943004,161.24847939780454,161.24847939780454,157.76662111027645,,,,157.97535502228817,131.82297013633368
Generation 4,151.68035382144214,161.24847939780454,183.657822883812,153.72796549307014,131.82297013633368,162.24786067873026,142.39047699362177,131.82297013633368,150.9963794943004,157.76662111027645,,,,152.73619001457251,131.82297013633368
Generation 5,142.4299506735941,131.78349645636135,151.68035382144214,150.9963794943004,154.35371049311905,139.03314599480314,132.8223514172594,141.39109571269606,157.76662111027645,131.82297013633368,,,,143.40800753101857,131.78349645636135

Best Mean,143.40800753101857
Best Mean Generation,5

Lowest,131.78349645636135
Lowest Generation,5



Run 1
,Mean,Lowest
Generation 1,177.84381915468347,145.7781112884701
Generation 2,160.80399319591487,135.47433543262784
Generation 3,146.34382383779285,132.68843329290485
Generation 4,141.2429893582919,126.26192517773379
Generation 5,132.08791176673108,107.09287674800125

Best Mean,132.08791176673108
Best Mean Generation,5

Lowest,107.09287674800125
Lowest Generation,5


Run 2
,Mean,Lowest
Generation 1,189.6660135539928,149.69046606777542
Generation 2,168.59499004319406,150.9963794943004
Generation 3,157.97535502228817,131.82297013633368
Generation 4,152.73619001457251,131.82297013633368
Generation 5,143.40800753101857,131.78349645636135

Best Mean,143.40800753101857
Best Mean Generation,5

Lowest,131.78349645636135
Lowest Generation,5



2,2,:,2,7,:,0,9
