Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,8
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,127.95657544881867,127.95657544881867,134.2333387112674,150.31914537205301,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,,,,130.82050876738697,127.95657544881867
Generation 2,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,,,,127.95657544881867,127.95657544881867
Generation 3,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,,,,127.95657544881867,127.95657544881867
Generation 4,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,,,,127.95657544881867,127.95657544881867
Generation 5,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,127.95657544881867,,,,127.95657544881867,127.95657544881867

Best Mean,127.95657544881867
Best Mean Generation,2

Lowest,127.95657544881867
Lowest Generation,1



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,141.0230864898303,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,,,,139.5559852023727,139.39297394821074
Generation 2,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,,,,139.39297394821074,139.39297394821074
Generation 3,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,,,,139.39297394821074,139.39297394821074
Generation 4,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,,,,139.39297394821074,139.39297394821074
Generation 5,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,139.39297394821074,,,,139.39297394821074,139.39297394821074

Best Mean,139.39297394821074
Best Mean Generation,2

Lowest,139.39297394821074
Lowest Generation,1



Run 1
,Mean,Lowest
Generation 1,130.82050876738697,127.95657544881867
Generation 2,127.95657544881867,127.95657544881867
Generation 3,127.95657544881867,127.95657544881867
Generation 4,127.95657544881867,127.95657544881867
Generation 5,127.95657544881867,127.95657544881867

Best Mean,127.95657544881867
Best Mean Generation,2

Lowest,127.95657544881867
Lowest Generation,1


Run 2
,Mean,Lowest
Generation 1,139.5559852023727,139.39297394821074
Generation 2,139.39297394821074,139.39297394821074
Generation 3,139.39297394821074,139.39297394821074
Generation 4,139.39297394821074,139.39297394821074
Generation 5,139.39297394821074,139.39297394821074

Best Mean,139.39297394821074
Best Mean Generation,2

Lowest,139.39297394821074
Lowest Generation,1



2,2,:,2,2,:,1,3
