Number of Runs,1
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),100

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,
Generations,Mean,Lowest,All Gene Stand Div,
Generation 1,1753.8970181700186,1559.9879059441018,2.878547120798356,
Generation 2,1695.024027023064,1526.301309959786,2.8266390495497262,
Generation 3,1646.321636391457,1483.4682848707257,2.7721022006931615,
Generation 4,1597.2327669934841,1426.7320825373013,2.7193506160984926,
Generation 5,1529.5132809242598,1400.8596010289,2.6374181756304598,
Generation 6,1486.6934354843363,1311.7284308325573,2.5752453310448575,
Generation 7,1444.2273037650268,1249.7505600361794,2.5123626607694165,
Generation 8,1395.9006992687177,1229.2039950343417,2.4744371496472604,
Generation 9,1340.201890635557,1194.7022626922871,2.415115510438035,
Generation 10,1290.1381608338038,1126.818668463174,2.353071696390618,
Generation 11,1229.3973231434352,1047.0758875032684,2.273660146500598,
Generation 12,1172.70548565267,1040.8576216195506,2.206996095600924,
Generation 13,1142.031475731272,991.1911336790055,2.1583990516479075,
Generation 14,1097.5418793835386,884.1321336161692,2.104708326218872,
Generation 15,1066.9333509600865,876.1395038578795,2.07389363561374,
Generation 16,1031.6275013752293,892.1962919957314,2.0280363047270225,
Generation 17,993.0492937381797,855.7218618676427,1.987129433522038,
Generation 18,958.5346550062034,833.1583677834636,1.940941894609354,
Generation 19,917.2548048581755,793.9603912177342,1.8846415603672408,
Generation 20,879.2459894023124,741.3960576880254,1.8420351299027375,
Generation 21,841.6031289502982,720.80286437413,1.8129662298692324,
Generation 22,807.683468543978,673.4987662966632,1.7636084401245007,
Generation 23,771.7791939380093,663.2986946303656,1.7191173978834102,
Generation 24,747.2630301081492,641.4226450438147,1.7053820077734234,
Generation 25,719.7101596659414,608.8409377145765,1.6744856616057557,
Generation 26,697.6159597313995,610.6908423351562,1.6365651108139856,
Generation 27,678.7579617584311,609.9191431357365,1.6040458320676743,
Generation 28,664.0537104349273,585.68804544555,1.581042106927828,
Generation 29,645.9400455331138,561.2419111559843,1.5588288043175595,
Generation 30,627.7446893392874,553.8343106570233,1.5461209359767747,
Generation 31,616.1737841632525,540.8763810249932,1.5412093719254079,
Generation 32,601.0886918232413,538.3078271487482,1.524202830338703,
Generation 33,591.116828677038,525.9722690201766,1.5055419462046544,
Generation 34,578.3653103282998,491.76618395363624,1.492064410205533,
Generation 35,567.6338426371352,486.8581294179496,1.4831189667941616,
Generation 36,557.276812348558,487.31243902281324,1.4750305456047015,
Generation 37,544.7200082606322,443.894837182636,1.4690960590107178,
Generation 38,533.9731964512001,471.7577711231154,1.4673907561191144,
Generation 39,518.9390906471216,461.24965425154016,1.4526842651658474,
Generation 40,512.5976214042443,447.8119158274245,1.4385764351543382,
Generation 41,509.27113678575233,448.28380102266124,1.4317729218638353,
Generation 42,505.91723557821365,442.8100413276377,1.434008369609718,
Generation 43,498.05312628458256,428.4024699027134,1.428396312807304,
Generation 44,489.56999085971097,427.7568668648016,1.421134429053443,
Generation 45,483.19676531116863,416.92988969356384,1.4183598812064468,
Generation 46,476.4590139457003,415.39590462329636,1.4278825989527164,
Generation 47,469.9074480293017,400.5132482911454,1.4227435760851674,
Generation 48,462.7911675008574,401.61726505360343,1.4158681717306796,
Generation 49,458.5956329270269,408.7258836593545,1.4128083545405221,
Generation 50,455.44538787051863,396.7044665297541,1.4066490997787027,
Generation 51,448.323370876015,399.0846391035303,1.4009418397758198,
Generation 52,443.63206840292776,399.2988577649825,1.3945312944820851,
Generation 53,440.72931798811334,388.3190482488376,1.3900080756436228,
Generation 54,431.9874741218763,379.8024864358306,1.3761345341121303,
Generation 55,428.87925104998357,383.3666869804749,1.3700729558305287,
Generation 56,430.06780230266537,367.4509308649458,1.3714311563064943,
Generation 57,422.24372148664474,362.97795580809384,1.3732747362111002,
Generation 58,411.5895535555335,361.2628703273148,1.370327715922968,
Generation 59,405.06383536682245,359.71447804970717,1.3741086579323094,
Generation 60,402.77151132521584,352.3319705258755,1.3714584609994926,
Generation 61,407.38507409681523,354.42915794773114,1.3691993726328304,
Generation 62,408.8673181455592,349.8396317472618,1.3661380509195438,
Generation 63,404.456884256118,343.2214625381964,1.3649646560582998,
Generation 64,400.9642064575858,330.93088865867423,1.3651433640753223,
Generation 65,399.1348418325663,350.2454578343177,1.3596752537936179,
Generation 66,396.15965595181245,353.9096813558814,1.3600549755387616,
Generation 67,394.4965438480696,341.0958582985013,1.357199283019424,
Generation 68,391.31633648015116,325.3003380895042,1.3575965096447211,
Generation 69,391.26833337024146,327.03269003767434,1.3597541496893806,
Generation 70,387.64404192237174,326.9446353242113,1.3551840658887897,
Generation 71,380.45287396021473,328.395118186697,1.3505566117101289,
Generation 72,378.715684966371,323.72712184804413,1.3484130187175056,
Generation 73,376.40849832188024,317.86608144226534,1.3426101431484518,
Generation 74,371.7449959510993,321.88795520868973,1.3389650592497113,
Generation 75,369.4610661631678,320.04825380810576,1.3339305958739953,
Generation 76,363.3078641684509,320.6306115128799,1.3326333547981648,
Generation 77,366.372960589355,322.3605537661482,1.333424915445978,
Generation 78,365.9916290297796,320.66706681301446,1.3346418257527568,
Generation 79,364.2078261426331,315.82430033376784,1.332266794430969,
Generation 80,363.53604058479704,318.85593359877737,1.3315408437459852,
Generation 81,362.55817183200537,303.7668278941958,1.3315706396174687,
Generation 82,360.9505905150399,295.1236553151555,1.332961788738037,
Generation 83,359.28437236879205,303.165010014701,1.3322725391340222,
Generation 84,356.63281104346015,293.1953737388893,1.332502594576497,
Generation 85,357.2387597283569,309.87082012336816,1.3294312714393406,
Generation 86,355.1635520060438,300.5907924141112,1.327697627017587,
Generation 87,352.4725362019364,290.46192851608043,1.3259027835278694,
Generation 88,349.6796013230476,303.0486514387078,1.3226765974416623,
Generation 89,345.54965060193666,290.8718579985268,1.3206355205230702,
Generation 90,341.42974860332833,283.957505862164,1.322900784881099,
Generation 91,341.7342214807471,290.17417091338973,1.3257387139132328,
Generation 92,335.22558276694696,285.75506195659625,1.3233191428072313,
Generation 93,333.4652180828631,289.4151912788808,1.3247069084623466,
Generation 94,333.50652590941485,290.60614650432694,1.3236126466657063,
Generation 95,334.73566937136076,290.60614650432694,1.320732027787564,
Generation 96,331.5441871990767,273.495494621587,1.3228397926035733,
Generation 97,330.5966877516816,277.6301764959072,1.3207242796631764,
Generation 98,331.7347945221611,276.97015573384147,1.3199558474035256,
Generation 99,327.66649701396824,270.5299956804398,1.318999857418048,
Generation 100,323.93313124465385,267.29023269424044,1.318662981230664,
Best,323.93313124465385,267.29023269424044,
Generation,100,100,

1,6,-,0,2,-,1,0
