Number of Runs,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Generations,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N (Size of Cromosome),100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P (Size of Population),100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selection,Survivor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survivor Elite percentage,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossover,Uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniform probablitly,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutation,Creep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step size,0.5,Mutation Rate,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,,Run 6,,,,Run 7,,,,Run 8,,,,Run 9,,,,Run 10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 1,1801.755449,1566.058073,,Generation 1,1785.014671,1584.708622,,Generation 1,1796.467875,1571.759137,,Generation 1,1779.834183,1613.063704,,Generation 1,1814.656521,1560.552844,,Generation 1,1798.159968,1522.158225,,Generation 1,1804.856683,1609.131129,,Generation 1,1794.884823,1571.555874,,Generation 1,1775.472923,1587.652514,,Generation 1,1797.213299,1509.68851
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 2,1691.109929,1477.140207,,Generation 2,1656.609248,1479.111094,,Generation 2,1687.766498,1509.428822,,Generation 2,1676.911052,1508.342252,,Generation 2,1698.712081,1535.145614,,Generation 2,1660.655231,1525.682758,,Generation 2,1715.994825,1520.225246,,Generation 2,1692.925195,1503.512725,,Generation 2,1671.447451,1487.508542,,Generation 2,1681.195842,1453.114155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 3,1607.290518,1407.002348,,Generation 3,1570.389733,1402.420149,,Generation 3,1597.534071,1376.703678,,Generation 3,1604.3469,1451.591308,,Generation 3,1628.438326,1431.111889,,Generation 3,1574.960451,1367.590268,,Generation 3,1615.77086,1421.080057,,Generation 3,1590.99837,1418.596139,,Generation 3,1575.71695,1405.37581,,Generation 3,1582.680206,1343.632794
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 4,1519.971139,1331.825012,,Generation 4,1492.787601,1339.544007,,Generation 4,1514.268845,1297.823447,,Generation 4,1535.650246,1378.82066,,Generation 4,1561.237402,1352.331479,,Generation 4,1476.567863,1332.509721,,Generation 4,1531.921947,1364.298409,,Generation 4,1509.601852,1358.326714,,Generation 4,1502.908069,1330.392942,,Generation 4,1486.373031,1292.775416
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 5,1427.872147,1255.241104,,Generation 5,1422.62118,1283.797876,,Generation 5,1427.585413,1270.663477,,Generation 5,1447.918913,1271.167592,,Generation 5,1474.642757,1311.306856,,Generation 5,1399.877279,1254.000389,,Generation 5,1441.240601,1271.038556,,Generation 5,1433.900897,1277.721508,,Generation 5,1422.468228,1247.681382,,Generation 5,1407.324729,1190.840266
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 6,1358.827741,1159.918439,,Generation 6,1347.710714,1170.041547,,Generation 6,1336.806735,1171.208505,,Generation 6,1367.552396,1160.986703,,Generation 6,1384.690228,1214.005165,,Generation 6,1338.261111,1210.249903,,Generation 6,1372.199838,1222.878766,,Generation 6,1368.50115,1220.655039,,Generation 6,1337.423141,1185.545165,,Generation 6,1314.493364,1184.034727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 7,1269.673198,1113.919173,,Generation 7,1271.497835,1108.133124,,Generation 7,1268.066816,1111.524739,,Generation 7,1300.613557,1100.664994,,Generation 7,1297.616207,1149.444775,,Generation 7,1281.526179,1114.276833,,Generation 7,1305.801862,1102.519736,,Generation 7,1299.836521,1159.775873,,Generation 7,1273.347571,1139.148822,,Generation 7,1248.750589,1118.906646
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 8,1206.376079,1058.104468,,Generation 8,1208.969975,1101.570663,,Generation 8,1204.655973,1034.476544,,Generation 8,1240.481298,1109.221203,,Generation 8,1230.573075,1111.974423,,Generation 8,1219.956522,1050.17415,,Generation 8,1247.269619,1126.111959,,Generation 8,1235.792668,1089.979272,,Generation 8,1218.161742,1065.146061,,Generation 8,1171.403869,1054.989651
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 9,1135.231123,1009.869493,,Generation 9,1159.679027,1010.088067,,Generation 9,1134.909227,1016.072521,,Generation 9,1168.359402,1049.959888,,Generation 9,1176.285271,1062.174956,,Generation 9,1151.995621,984.918629,,Generation 9,1182.900979,1049.141201,,Generation 9,1184.508086,1067.462935,,Generation 9,1147.605877,1052.234023,,Generation 9,1122.653331,1021.540065
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 10,1073.676465,933.5577728,,Generation 10,1103.376703,960.8917674,,Generation 10,1089.841589,948.3447196,,Generation 10,1116.010428,998.3573761,,Generation 10,1135.05742,1016.854959,,Generation 10,1093.468903,951.937897,,Generation 10,1140.580997,1032.599035,,Generation 10,1125.428342,1001.244947,,Generation 10,1092.01898,970.8659368,,Generation 10,1073.475064,988.8409581
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
