Number of Runs,5
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),200

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,
Generation 1,1812.0743379358946,1517.3312794954916,,Generation 1,1804.429805155298,1568.372309031362,,Generation 1,1810.1378350180742,1575.6341995277166,,Generation 1,1801.693719854036,1559.8978147673452,,Generation 1,1793.8257336269805,1560.3534025975446,
Generation 2,1709.7399727323861,1472.034291029847,,Generation 2,1708.1793543353072,1536.086395523514,,Generation 2,1681.744355652125,1470.2000414580054,,Generation 2,1685.2708847966692,1515.4527272197938,,Generation 2,1679.5118332333336,1467.5064982813728,
Generation 3,1598.9501709018202,1367.4781674345568,,Generation 3,1631.9876419763145,1458.787831430925,,Generation 3,1585.5838792719674,1412.8928472515488,,Generation 3,1600.4508396543324,1427.179544154371,,Generation 3,1597.4050260643637,1400.8518079601276,
Generation 4,1508.960730726835,1328.2484871618815,,Generation 4,1545.935560424354,1306.1321072032026,,Generation 4,1503.165198327021,1313.6754173821878,,Generation 4,1529.753727119737,1313.456481321459,,Generation 4,1521.8414874676655,1324.7227125101163,
Generation 5,1422.6704667419306,1250.509880292858,,Generation 5,1466.5611644465255,1272.4316031184894,,Generation 5,1419.7757991468625,1231.0937362546981,,Generation 5,1445.830250342012,1281.400937128683,,Generation 5,1441.7336375490618,1289.3890018194559,
Generation 6,1354.345950917241,1154.3291647419817,,Generation 6,1377.9499420668342,1209.4714972828974,,Generation 6,1329.5089036666238,1162.8206233837,,Generation 6,1379.0200792987316,1223.1431134638672,,Generation 6,1368.2318844056936,1154.1615334727164,
Generation 7,1277.9677463692785,1063.1050904331823,,Generation 7,1295.5632785634166,1118.4189739526857,,Generation 7,1250.5933493282996,1061.8976510672744,,Generation 7,1316.3103982212467,1161.1676400097099,,Generation 7,1290.4532464100555,1098.2573411361593,
Generation 8,1216.5292836102392,994.7787057376796,,Generation 8,1221.849888774289,1006.436565822196,,Generation 8,1191.5072854029322,1003.9674072047573,,Generation 8,1245.9325413058787,1082.6884622230316,,Generation 8,1223.6787690662338,1036.6447289331054,
Generation 9,1143.1517352114074,946.1156781767896,,Generation 9,1149.7203580373084,1006.365415415781,,Generation 9,1127.074120092152,964.7549933741759,,Generation 9,1177.6938829114827,1021.398408711384,,Generation 9,1152.0709510225747,982.8396965395713,
Generation 10,1066.3985635116774,888.128671998179,,Generation 10,1093.9240064387163,938.7300860582656,,Generation 10,1060.8976009930543,880.2980556819371,,Generation 10,1115.6269178124933,981.6994361689312,,Generation 10,1099.86942660052,939.2184160003571,
Generation 11,1002.4117980721669,813.5672490590023,,Generation 11,1029.9481911390985,904.4874962502913,,Generation 11,986.323599254779,840.2991676591705,,Generation 11,1055.596951083558,886.0054056532193,,Generation 11,1036.8639866857945,859.5362672895211,
Generation 12,939.9630673246596,795.598768411498,,Generation 12,985.9810425443768,856.6142868270422,,Generation 12,931.3726363437538,758.1070077513837,,Generation 12,999.6453163911124,858.8513116635831,,Generation 12,974.9370253117432,834.5149394648383,
Generation 13,897.2474742242298,766.8728470404186,,Generation 13,931.9295050575506,788.1254154408915,,Generation 13,866.8073168965129,756.6637847727019,,Generation 13,956.0324677741011,796.3639013961433,,Generation 13,918.044383693009,786.7662857683213,
