Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,180.94781280875077,141.25438423435003,174.0382752348533,174.0382752348533,148.1639218082475,148.1639218082475,136.13637891138973,188.04308027672994,174.0382752348533,185.79933283821003,,,,165.0623658390485,136.13637891138973
Generation 2,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,174.0382752348533,174.0382752348533,153.30039319376664,156.87426095247636,148.1639218082475,148.1639218082475,,,,154.72347354654346,148.1639218082475
Generation 3,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,,,,148.16392180824752,148.1639218082475
Generation 4,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,,,,148.16392180824752,148.1639218082475
Generation 5,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,148.1639218082475,,,,148.16392180824752,148.1639218082475

Best Mean,148.16392180824752
Best Mean Generation,3

Lowest,136.13637891138973
Lowest Generation,1



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,152.5650780450061,152.5650780450061,184.53972324674953,166.89677468067995,170.65651623144262,146.40157327833467,190.6205755981025,162.54662328164292,184.87470627809154,179.40802542043838,,,,169.10746741054945,146.40157327833467
Generation 2,152.5650780450061,162.54662328164292,160.25645897565295,156.80163053412434,166.89677468067995,166.89677468067995,179.40802542043838,152.5650780450061,152.5650780450061,146.40157327833467,,,,159.69030949865714,146.40157327833467
Generation 3,177.57525368490772,121.39139763843305,166.34297847159317,146.47855854906584,142.58489862078585,172.5268027058632,166.4689897538442,148.64271157280479,152.5650780450061,162.54662328164292,,,,155.71232923239467,121.39139763843305
Generation 4,172.7043063742404,156.1852953789957,146.47855854906584,142.58489862078585,153.38368399466162,141.73758612720906,162.54662328164292,148.64271157280479,148.64271157280479,148.64271157280479,,,,152.15490870450157,141.73758612720906
Generation 5,143.88549552852447,146.49480217148937,148.64271157280479,146.47855854906584,141.73758612720906,142.58489862078585,148.64271157280479,148.64271157280479,148.64271157280479,141.73758612720906,,,,145.74897734155024,141.73758612720906

Best Mean,145.74897734155024
Best Mean Generation,5

Lowest,121.39139763843305
Lowest Generation,3



Run 1
,Mean,Lowest
Generation 1,165.0623658390485,136.13637891138973
Generation 2,154.72347354654346,148.1639218082475
Generation 3,148.16392180824752,148.1639218082475
Generation 4,148.16392180824752,148.1639218082475
Generation 5,148.16392180824752,148.1639218082475

Best Mean,148.16392180824752
Best Mean Generation,3

Lowest,136.13637891138973
Lowest Generation,1


Run 2
,Mean,Lowest
Generation 1,169.10746741054945,146.40157327833467
Generation 2,159.69030949865714,146.40157327833467
Generation 3,155.71232923239467,121.39139763843305
Generation 4,152.15490870450157,141.73758612720906
Generation 5,145.74897734155024,141.73758612720906

Best Mean,145.74897734155024
Best Mean Generation,5

Lowest,121.39139763843305
Lowest Generation,3



2,2,:,2,7,:,0,9
