Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,C

Mutation,Creep
Step size,0.5,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,,,,103.60886940149155,103.60886940149152
Generation 2,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,,,,103.60886940149155,103.60886940149152
Generation 3,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,,,,103.60886940149155,103.60886940149152
Generation 4,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,,,,103.60886940149155,103.60886940149152
Generation 5,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,103.60886940149152,,,,103.60886940149155,103.60886940149152

Best Mean,103.60886940149155
Best Mean Generation,1

Lowest,103.60886940149152
Lowest Generation,1



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,,,,118.33651708410363,118.3365170841036
Generation 2,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,,,,118.33651708410363,118.3365170841036
Generation 3,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,,,,118.33651708410363,118.3365170841036
Generation 4,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,,,,118.33651708410363,118.3365170841036
Generation 5,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,118.3365170841036,,,,118.33651708410363,118.3365170841036

Best Mean,118.33651708410363
Best Mean Generation,1

Lowest,118.3365170841036
Lowest Generation,1



Run 1
,Mean,Lowest
Generation 1,103.60886940149155,103.60886940149152
Generation 2,103.60886940149155,103.60886940149152
Generation 3,103.60886940149155,103.60886940149152
Generation 4,103.60886940149155,103.60886940149152
Generation 5,103.60886940149155,103.60886940149152

Best Mean,103.60886940149155
Best Mean Generation,1

Lowest,103.60886940149152
Lowest Generation,1


Run 2
,Mean,Lowest
Generation 1,118.33651708410363,118.3365170841036
Generation 2,118.33651708410363,118.3365170841036
Generation 3,118.33651708410363,118.3365170841036
Generation 4,118.33651708410363,118.3365170841036
Generation 5,118.33651708410363,118.3365170841036

Best Mean,118.33651708410363
Best Mean Generation,1

Lowest,118.3365170841036
Lowest Generation,1



2,2,:,2,2,:,1,3
