Number of Runs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Generations,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N (Size of Cromosome),1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P (Size of Population),100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selection,Tornamunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tornamunt Size,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossover,One Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutation,Creep,Step size = 0.5,Mutation Rate = 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness Function,-20*e(-0.2*sqrt(1/N*SUM(Gene^2))-e(1/N*SUM(Cos(2pi)*Gene))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mean,Best
Generation 1,204.7660935,201.5763034,199.9285295,199.8266843,196.8227251,201.2144876,195.583318,198.0486998,195.6427435,195.9878512,201.2289325,198.8662581,196.3202601,199.2887581,199.904217,195.5798103,198.4640228,199.854206,196.084323,197.601266,199.1156241,200.4601466,205.158755,193.0027604,194.774067,197.4454133,203.3816098,199.2229512,199.0393928,196.7075494,196.8428807,195.6870983,197.2442065,193.4716894,195.7086999,198.4727278,198.9859483,200.9655169,196.1927178,198.4050533,201.6531283,206.9650546,204.6981793,202.1110059,197.2902776,198.7280856,199.9318216,203.1170607,197.7987187,197.2258172,197.8714201,195.4166637,195.2212108,197.6752392,201.4670417,201.0213955,197.0982329,199.0618326,198.3207781,195.9696528,202.4387612,197.5364071,202.0653511,194.5270045,198.3150465,201.4926378,193.8132849,203.4479347,200.375298,195.5098726,205.8333631,198.625201,201.3395792,197.7550159,197.0922471,201.7255457,200.5841136,200.6722143,198.0174848,196.6181614,201.5771249,199.1155473,196.4869736,198.5014448,199.1271373,197.9581025,198.1100166,196.6454773,198.1958856,195.0662606,199.1481776,194.8745873,197.885223,198.5348655,195.889731,201.954886,201.3521973,198.6206078,203.984563,195.9160949,,,,198.7824634,193.0027604
Generation 2,198.6392341,198.5162671,194.5962754,199.3010195,198.0792568,196.2553159,199.037573,196.624332,200.669499,197.5041724,195.3470628,198.5029164,199.2001817,197.8624392,196.7741727,198.0840334,197.1358524,201.5059933,196.0214999,197.9081228,192.7178697,198.4100759,195.5340866,196.8916989,197.2822469,199.9506488,197.7536323,196.8764885,195.8947879,197.9316325,196.9595748,196.5979948,197.4944225,195.3746741,196.1034213,197.9778304,195.3003263,202.366424,202.2087845,194.7716535,199.0513847,193.8513823,193.8855423,200.0656752,197.9712278,193.7886938,198.2281024,198.7509736,193.046145,196.7043339,200.7456088,190.8069906,200.4891391,195.2061487,195.5695032,197.7273116,195.9044794,201.0839135,193.0447491,194.9788816,193.8155272,198.278377,195.9568297,196.4600886,199.6654562,197.7459232,197.2677732,196.5413571,198.2337048,195.5575936,199.3401671,195.4918783,199.5565469,196.828606,198.0468532,193.5078645,195.0035723,194.3188147,197.5862507,200.4577718,193.9920111,196.8180989,195.1572167,198.5257632,195.0910332,195.9982674,192.5048692,202.4310392,199.3029035,192.1982954,198.7076931,198.645487,194.3783529,200.3350917,197.8784005,197.8239136,196.2764273,195.8360881,196.7135106,194.881796,,,,197.060209,190.8069906
Generation 3,197.3964215,200.552578,195.7665086,195.3964316,196.4523506,194.9891753,193.5461384,196.7553595,196.4321928,198.4410015,198.4712333,196.7095236,197.7873265,194.0895389,193.9444297,194.9876419,197.7023122,193.0348179,197.5131466,202.1538591,194.5012891,197.1917645,193.259048,198.335839,197.1171173,193.5655814,197.2374839,197.6149668,198.715951,195.8002317,196.0057339,196.7771551,196.6395759,196.0324783,194.0096514,198.3473993,194.890555,194.8190294,197.8739347,196.4145149,197.0028552,198.6631653,195.3665667,198.4373238,195.8090281,194.3263406,193.072071,198.3417475,196.7932276,198.7740018,197.3427794,195.05044,196.1440892,194.3001931,197.8439531,192.4543158,196.9380718,195.1051453,197.7665821,197.7557414,194.8505834,191.9976122,193.4712278,195.6005046,195.011102,193.1358318,196.8870968,194.2255488,195.2382142,198.2237235,192.3986614,198.9001936,196.5568466,197.9866908,195.9692052,196.210647,196.3550255,198.4224596,193.3872818,192.2864818,194.097481,196.0478035,196.6171324,197.3223198,200.381356,194.5902478,191.8074384,198.2053164,198.5274173,198.0174566,194.0400739,199.2403656,193.9446151,196.6507109,195.392767,197.4797334,194.9922717,196.1355867,192.973043,197.6486743,,,,196.1578568,191.8074384
Generation 4,195.7789291,196.7512539,194.7902662,194.4036334,190.7258976,196.5134346,194.1892286,195.045509,192.6728018,194.7013754,192.6358967,198.3782855,195.2047835,195.3928896,196.9189214,192.118656,196.6277806,193.4269472,200.568503,192.0198766,196.1588373,192.7670857,192.7260011,195.8048053,193.7623885,194.3645408,197.3809755,192.5069985,193.5906263,200.7961994,195.8573059,198.3179367,196.1577388,197.1435171,195.1544898,194.1463806,197.7054533,192.0113068,196.8302267,197.1043944,195.3520549,193.1228718,192.8587114,195.664055,193.3567255,195.8195662,192.849499,193.3222411,191.8460286,196.0141272,196.8193827,191.5590203,199.6670883,195.6508267,194.6672733,193.2754212,194.0983904,198.1395492,198.839839,191.8443974,194.6383179,195.3637818,193.0526073,196.2244323,197.1536019,192.1164778,195.2636095,195.7005185,192.4701415,193.4949607,195.7693953,194.181843,198.5299112,189.7400468,200.0654964,193.4858079,196.8513395,196.7565222,197.4481564,193.0544072,196.6252172,192.8623296,194.5064674,196.6015366,193.6714061,194.4951537,194.0389818,192.5407892,195.818657,195.0549093,196.6154503,194.6895614,195.9588233,194.938251,191.3497118,195.8998128,196.7276618,191.9668989,197.4076131,193.0157677,,,,195.0006552,189.7400468
Generation 5,193.6016067,196.0618296,193.3106096,193.4647833,193.2959509,191.4950716,195.7994139,192.1952805,192.4249769,197.012756,192.5807844,196.3212319,195.2558171,196.8814505,193.2269682,193.8560281,191.9492451,198.9818971,191.4412128,194.552158,195.330257,191.323381,194.7890121,191.7282231,193.7397011,192.3249068,195.0864697,195.0408646,191.5268893,193.1014672,192.2253316,194.4412499,194.7939278,194.6599436,192.1369527,191.428065,196.2968504,192.3938455,194.8908282,196.8697528,191.0864916,193.1015015,197.8356078,192.0021852,194.9724678,193.4963629,193.0162623,193.5940433,190.6327439,194.2675234,194.2467964,192.3441757,193.4186382,193.2194085,190.2434496,196.8195297,192.6340991,192.1474206,192.4503943,196.1675277,193.7150636,196.5012813,193.3434265,193.7315897,194.2499608,193.3500925,191.7853391,193.1864371,193.9551581,192.9803657,194.8735703,193.930696,197.1113616,190.5021926,197.716581,192.8532729,192.8443152,194.9670253,192.4898577,194.3263413,193.6517011,194.1008138,197.6857601,189.5722823,189.979412,194.6058728,195.0564837,190.149535,188.4396132,198.0552682,195.454068,192.0016874,196.3258404,194.4432832,194.0519372,192.9658524,191.7521232,194.9142616,194.9745315,194.1928189,,,,193.763207,188.4396132
Generation 6,190.2109142,190.1957002,195.2485066,191.7931105,193.1797564,191.217767,190.845699,192.7259456,193.1554782,192.5633609,195.4990761,188.2619009,194.6744174,190.0501105,192.8698125,193.8851539,193.2239721,192.4947892,192.9671512,193.3067421,193.7321128,195.3338392,187.925521,192.9842387,194.9866299,192.0493188,192.1189224,192.0528742,188.9667144,191.6795055,191.4628083,189.3531654,192.7936143,191.5021973,187.6964725,194.6780823,192.0991866,195.5291624,190.1937876,193.6028701,192.6525093,193.7368088,193.0016317,192.3595723,191.2144452,193.7403964,190.553715,192.7879904,194.5847929,191.5777784,192.9013267,192.3948019,194.4109056,190.3092944,193.2951794,189.6894113,191.1223066,193.3632549,193.5920237,189.6497445,192.6671871,194.1222401,195.6085317,191.4962065,195.3639521,187.3717973,190.804648,192.3010729,194.8425993,193.4525684,188.6454991,192.024727,193.8434232,190.1852434,192.6702624,193.8893888,189.6623361,193.8361975,192.18513,192.9075756,192.394637,189.7213765,191.6436735,189.7755424,190.6893402,192.2939476,192.302111,191.9436693,194.3149333,188.9835255,189.1380702,196.4366224,193.7917629,192.2259497,195.1990033,189.9706672,189.6532659,195.135038,193.0418303,194.4268338,,,,192.2701066,187.3717973
Generation 7,188.6674913,190.3079711,191.3832753,188.9307114,188.6353823,191.8628801,192.0135198,189.1107714,186.4858006,192.9110976,193.0417747,192.3949537,191.484884,189.8867845,189.5001702,192.3319284,190.2245233,191.3982188,190.8184619,193.0391357,188.9386355,194.6138818,191.742432,189.3856201,190.2386248,190.8520277,189.0432327,193.3230711,189.8895555,192.2524167,193.0013791,191.4322372,190.4456987,190.335827,184.3470003,194.4589843,190.2237179,191.5665189,185.8703232,190.9957153,189.6842739,192.4699873,193.3843833,193.9143941,187.5507247,191.2277406,192.535285,187.2482989,191.6711971,193.8188758,191.0494914,190.8417514,194.0198322,189.5728899,188.6247401,192.755064,191.2572681,190.4136483,187.3684405,193.3191691,191.9966308,191.3852666,192.4082656,189.0268936,190.5345126,192.4872076,189.2319948,193.4103764,191.6847655,190.918265,193.9721287,188.2002257,192.2025143,192.8090171,190.2383702,194.4181291,191.3666324,193.980976,189.9153707,189.8639974,190.8447106,191.9678431,189.9098635,190.4160461,191.0774792,188.7049265,190.3999474,191.2437971,187.8803205,190.2840793,191.3725734,188.4261351,192.2993076,191.5874288,193.9241088,188.0283958,188.7043934,193.002653,191.7505342,192.437102,,,,190.9442728,184.3470003
Generation 8,188.9543864,189.7846295,187.3910604,187.0873254,190.8677733,187.2428712,187.8788671,187.5800844,190.9418348,190.49109,187.5549344,188.6633538,188.6852464,195.1078162,191.361725,187.9186842,188.8223755,192.0139071,188.2922586,189.8646084,187.2917389,191.3173841,190.3045341,191.2082411,189.2317756,190.2694872,189.9658423,188.3970815,192.6114412,189.8452099,186.6546872,191.7283071,189.7349938,192.1451946,189.0315833,190.4520274,193.5216162,189.4629023,186.2007067,188.4405466,185.7355393,191.7684759,193.9282116,190.8204046,187.4845766,191.3784935,184.925936,190.2463874,191.782509,190.522964,191.8898197,189.8831513,188.6076391,191.5781021,188.3447476,190.1213236,186.539314,191.7792201,190.444434,191.0985056,188.909155,189.8580016,190.6623743,192.4347286,191.489688,184.9110779,190.7852375,185.4544231,184.998835,187.4079863,191.5055394,190.687535,191.1470464,188.4079961,188.6823468,188.7015893,192.8813246,187.6050854,189.776542,189.0518413,187.8832324,190.8282641,190.4461505,187.8681725,189.8916454,190.3335171,190.8196794,188.4854185,188.225169,187.1005159,189.3936429,191.1721364,190.3022934,189.513676,190.3532448,190.4943944,189.3422227,190.4819249,191.8091009,190.5526603,,,,189.638553,184.9110779
Generation 9,186.8167057,189.2066837,187.829236,189.4505451,191.432508,189.4103834,187.58429,187.5563309,187.3456293,188.5680481,186.2927499,189.7767865,187.5413725,190.5398403,192.9645998,187.5818945,187.0809237,186.8550502,188.8758089,189.2086691,189.3421054,188.8045467,189.8461442,190.3805333,188.2476532,187.9218333,188.4185446,192.8000077,188.5677911,185.4284197,188.1526336,186.0528433,188.1695829,191.4022498,188.6194117,187.1888485,188.9293385,190.5452696,188.5346294,189.5518487,193.0261162,185.0340513,192.029737,186.0820888,189.3977085,191.2916087,188.0318115,187.3498759,189.2816368,187.9545901,186.0862234,188.4084254,190.8114902,188.0875749,189.3879222,188.8881111,187.2496071,192.0127574,188.6687421,189.153963,191.0642647,187.7244101,189.4994864,189.4829376,189.72553,188.9057418,191.9141632,187.7853899,187.7064825,192.6952663,192.8245039,188.3827218,187.6371106,191.1003793,189.7923186,189.4960748,189.1925748,187.3627205,184.5473549,190.7511231,189.500752,186.4715445,187.6161175,188.6225824,191.1892628,185.6451853,189.9248,190.8961772,189.3703601,190.2335906,193.4758682,187.2862376,188.1782089,192.0589068,187.8820706,187.7707044,186.8469529,190.9372497,187.0894402,188.0102331,,,,188.9365313,184.5473549
