Number of Runs,1
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),100

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,
Generations,Mean,Lowest,All Gene Stand Div,
Generation 1,1775.7565475431468,1470.846493123674,2.8866685497023687,
Generation 2,1690.805891691648,1455.6633569824567,2.835569615953178,
Generation 3,1627.0439035942027,1480.7860938717336,2.7769241717730995,
Generation 4,1579.8974350771396,1418.253014035672,2.723711427117042,
Generation 5,1515.9876025345125,1286.1727809904282,2.6452004005462535,
Generation 6,1462.344537528863,1285.2251651864522,2.595128065730649,
Generation 7,1399.027047184096,1224.4325593228762,2.524831990190126,
Generation 8,1348.6767726464113,1140.7172793502482,2.4824358526064407,
Generation 9,1297.65389639114,1138.926139815263,2.4498116520088797,
Generation 10,1258.9489995775286,1085.8690630346591,2.3900361254501505,
Generation 11,1201.1724060131999,1050.533343904618,2.332656744665785,
Generation 12,1149.595534577866,1016.4429304972754,2.275467022332625,
Generation 13,1105.1377348546534,971.126772278416,2.20375733775121,
Generation 14,1060.4435264452775,925.9753068803736,2.1369266995727507,
Generation 15,1030.3798117570848,927.4970461065086,2.103329089443945,
Generation 16,999.8024265327977,867.9007872471802,2.0693775486543573,
Generation 17,958.2420668190149,829.6725600526582,2.018772581088959,
Generation 18,924.2056582995664,765.4093937953606,1.9838377972996675,
Generation 19,876.3673658074017,744.64236348,1.9410138303220945,
Generation 20,843.5547443876467,712.1366623445583,1.901679271539667,
Generation 21,806.0386201474756,708.0632343169681,1.8633219093940654,
Generation 22,786.3084225215457,680.4160543145384,1.847523661753739,
Generation 23,761.0641453318269,667.8921472649333,1.8290542642179437,
Generation 24,730.0438008711233,636.714084315631,1.7926945125405263,
Generation 25,705.6452592635177,609.5273641871258,1.7763896451944707,
Generation 26,676.6954243292639,610.3486465482339,1.732317514194519,
Generation 27,655.772247529339,587.0806591365534,1.7042077790033447,
Generation 28,630.8271420772109,537.1863498249375,1.6781935525103602,
Generation 29,609.4935067204326,486.6547177104321,1.646607121210872,
Generation 30,587.2323335412746,503.16130527519283,1.6212042811144212,
Generation 31,565.5896345141192,503.7074512117946,1.5946953641364197,
Generation 32,554.137669990863,468.6524644335117,1.5607660053572885,
Generation 33,541.7098246850137,476.9662340948081,1.5369775719219672,
Generation 34,538.4408363687464,478.16744243573396,1.526893760424102,
Generation 35,526.6007890071497,463.11791378921635,1.5063630237708772,
Generation 36,520.6780484247038,458.6547344659389,1.5018960407426878,
Generation 37,515.1693609659341,457.2377153210879,1.497976877554625,
Generation 38,507.0161986681568,448.83886381661966,1.5001846212323033,
Generation 39,496.03863671860506,432.5823343927459,1.489842643296392,
Generation 40,488.45590838036054,424.7410419052778,1.487882002177905,
Generation 41,482.8023344998599,427.9824974718292,1.4794692454698868,
Generation 42,481.0224846343956,426.9972571782622,1.4777631206884045,
Generation 43,480.30270445892575,417.55113341086746,1.471436424448709,
Generation 44,477.7204755108887,401.7085459158179,1.4686263963938915,
Generation 45,466.7040204224164,380.0933475152376,1.4589373384227706,
Generation 46,459.3648578755391,398.07007676855994,1.4585932115146645,
Generation 47,452.15613679556935,398.07007676855994,1.4522778937659861,
Generation 48,451.3085762243277,385.82355030175245,1.4537339267623288,
Generation 49,444.9622987810347,370.3982852835419,1.4451253184913604,
Generation 50,442.93900726834806,381.7582360050651,1.441804657517564,
Generation 51,440.8961657416075,390.7985397164631,1.4354993791888588,
Generation 52,436.97956108962916,388.9364314074029,1.4282546403755794,
