Number of Runs,1
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),100

Selection,Survivor
Survivor Elite percentage,0.6
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,1,Mutation Rate,0.03

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,
Generations,Mean,Lowest,All Gene Stand Div,
Generation 1,1785.472923524817,1634.6027373264697,2.8914055060709245,
Generation 2,1728.8040030690383,1563.0045955321975,2.8610640478039944,
Generation 3,1664.1229445253377,1482.8490131173771,2.798380106305165,
Generation 4,1599.342052576796,1449.6386038270646,2.7311787019933225,
Generation 5,1548.5169800617136,1335.6256336022557,2.670309701970689,
Generation 6,1499.7406906740923,1334.5490140869795,2.632277869820434,
Generation 7,1432.3640362432284,1299.0731393895064,2.546410185154101,
Generation 8,1377.5997769200812,1202.9432496309782,2.5054992665720652,
Generation 9,1335.5343809237543,1164.2275625772131,2.457046500661769,
Generation 10,1292.4947555364947,1120.9537478495558,2.420971310626187,
Generation 11,1247.9237470108187,1110.5200804331857,2.377872411414237,
Generation 12,1199.6955794529679,1079.62868573377,2.342518043606361,
Generation 13,1161.446751646406,992.8349750117263,2.3124818029263947,
Generation 14,1112.129848385839,959.233336137137,2.282270812825926,
Generation 15,1068.9662428850488,915.3663320106267,2.240168963022794,
Generation 16,1034.5183450117593,901.0842202467708,2.1997468378598404,
Generation 17,999.534856827425,859.9318071050795,2.156770788959241,
Generation 18,966.342051573095,875.7158675145891,2.100738789175849,
Generation 19,939.9422984341929,835.5517262365618,2.0683967425864136,
Generation 20,914.0608683549075,793.2991574025153,2.0166301990623734,
Generation 21,886.2553971962017,762.8837891871848,1.9919417412683613,
Generation 22,856.2847749433068,740.9317556022272,1.9746075856674918,
Generation 23,823.1028064926503,701.7646748656296,1.941058950111501,
Generation 24,790.6020176029812,689.436553217332,1.8881577994881262,
Generation 25,768.677695489537,686.2840947718116,1.867541772117838,
Generation 26,750.2914548133468,652.3265831115841,1.8453948734314636,
Generation 27,720.2536656297267,635.8793516912124,1.8140967718524292,
Generation 28,695.7489813351954,601.9938313104035,1.7683655743676387,
Generation 29,675.284433331554,548.0338797772276,1.7250359331002305,
Generation 30,654.6995035247812,560.578610510669,1.6974105426862933,
Generation 31,638.9728001511778,568.8054652054744,1.6749741039880988,
Generation 32,622.0010112143422,538.932527675234,1.6596181468109183,
Generation 33,602.1129671476593,519.1188165792036,1.649848608112466,
Generation 34,583.6500431488234,507.5607970718971,1.6311259943658312,
Generation 35,569.8906491105698,502.8429793943303,1.6162282951483793,
Generation 36,553.9210814181886,476.58911895498886,1.5971652356026185,
Generation 37,543.6912929788627,480.80586989918436,1.5754052494831319,
Generation 38,531.2276644368011,457.35514965172865,1.563822724311311,
Generation 39,523.3217767611924,463.55334758548304,1.5443650090216734,
Generation 40,514.5945239799004,441.14677599085746,1.534915943066706,
Generation 41,502.5955301631756,450.84978784317116,1.5218446037154845,
Generation 42,489.991598196841,436.7191911736097,1.513195871672387,
Generation 43,478.1578729003873,425.8694866754837,1.5043830135365377,
Generation 44,472.5200301105274,415.41775428655046,1.491547753693858,
Generation 45,466.5818601464406,397.5448813389553,1.4779826070524835,
Generation 46,460.3904923881998,397.21098369319327,1.4608005047462669,
Generation 47,451.0756176032064,401.12110635351087,1.4575505601930072,
Generation 48,446.10339646356147,399.07789876220363,1.4479318408496828,
Generation 49,439.97966986644155,390.7054203906555,1.4412097891858875,
Generation 50,430.8083894232688,388.2851230160908,1.4444138666823225,
Generation 51,427.45665419989155,383.017917633675,1.4356748688172982,
Generation 52,422.0342417969818,366.33925156642204,1.4285160254771767,
Generation 53,414.87239835927255,367.26323060797745,1.4262620594998465,
Generation 54,411.9026693986694,366.2520824678485,1.4202872775672324,
Generation 55,404.4677780206959,358.1979709929893,1.412189776903296,
Generation 56,396.0471431528027,334.71427603800487,1.3970695709032988,
Generation 57,389.30757103785015,329.6579623084773,1.3837419662981174,
Generation 58,380.9230531055679,334.5922721198915,1.3849893289234156,
Generation 59,377.572609432357,331.4025646699981,1.3794244604282229,
Generation 60,374.49676234492887,338.34002063209675,1.3804704456777703,
Generation 61,371.0899332395311,331.00820458681676,1.3725727267402867,
Generation 62,368.3547350891798,327.1803903209684,1.3677776156834087,
