Number of Runs,10
Number of Generations,1000
N (Size of Cromosome),100
P (Size of Population),100

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.01

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,,Run 6,,,,Run 7,,,,Run 8,,,,Run 9,,,,Run 10,,,
Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,
Generation 1,1743.533714974409,1507.0865040103265,2.860097255407252,,Generation 1,1795.7133738883751,1607.5957350083438,2.9027364406183147,,Generation 1,1765.3800473139008,1489.5351201682824,2.870815949402362,,Generation 1,1770.541630220741,1600.7036051713594,2.9048279031960846,,Generation 1,1800.1834266191179,1613.2318616275727,2.9110473504726375,,Generation 1,1769.3347139464584,1566.6378802496124,2.86741967421125,,Generation 1,1781.3922319166566,1568.9897137246994,2.8768233864474295,,Generation 1,1775.5507339164112,1510.3687236295764,2.8968619701970364,,Generation 1,1776.8009460482112,1589.1820189743485,2.896476869689879,,Generation 1,1766.8628011123747,1540.9783654671878,2.869358776375521,
Generation 2,1683.9813188158516,1479.3554874981955,2.8092914114603817,,Generation 2,1732.846210796973,1551.5477921490378,2.846581503296911,,Generation 2,1698.3291374926098,1466.6937511333913,2.8060662249442925,,Generation 2,1707.7193194511474,1524.6151491703447,2.8412605621615477,,Generation 2,1741.7846963384022,1563.8366287930094,2.856707794207957,,Generation 2,1704.6016529964566,1524.5164110745886,2.815086629537977,,Generation 2,1722.4188437457985,1519.477833953154,2.8333947803264428,,Generation 2,1717.068918952004,1569.5857373185881,2.8357131043239003,,Generation 2,1721.010339342358,1544.8317009330763,2.86954988217368,,Generation 2,1699.1364755896957,1453.869853947348,2.8084870176590866,
Generation 3,1610.9573354147649,1408.4371738967689,2.7127296693133607,,Generation 3,1661.0744207526313,1440.3206585485505,2.7809732132774845,,Generation 3,1644.46380748985,1452.814308358525,2.76728430990729,,Generation 3,1652.4262657724043,1450.4533311861578,2.782784600317355,,Generation 3,1671.8229732587972,1504.3355314711694,2.7849317512150655,,Generation 3,1647.895138553667,1456.8535049799284,2.7553324349220882,,Generation 3,1654.212234872973,1468.6428944012127,2.7786193237832926,,Generation 3,1673.2316586886984,1449.841067470827,2.793910039438334,,Generation 3,1671.131158828059,1490.857041219687,2.841638325955418,,Generation 3,1641.2689113334116,1480.0519321676782,2.7402481795935483,
Generation 4,1562.7184866644932,1364.1768307567615,2.6526692819957467,,Generation 4,1588.7817949209286,1368.474507538522,2.6859610562594995,,Generation 4,1593.4100128781674,1390.8559892524863,2.7161533716755364,,Generation 4,1592.4887184849358,1417.4722576687757,2.723177169850257,,Generation 4,1604.5257679063643,1391.3077138180865,2.685790315646946,,Generation 4,1588.5060991021905,1414.674064396586,2.670384727466974,,Generation 4,1599.0600742265424,1374.360590188754,2.7190263863816773,,Generation 4,1617.5097073476081,1363.3637100661379,2.7405391472983642,,Generation 4,1606.0222294226103,1408.8337592788175,2.794043381751855,,Generation 4,1577.8081727003625,1341.761806286615,2.6800929319473683,
Generation 5,1506.3705899402894,1312.6707215150066,2.576958597320741,,Generation 5,1532.510576841752,1312.4153802481292,2.6187205054430165,,Generation 5,1535.7621437866612,1343.0380895192743,2.668920324030295,,Generation 5,1541.6989096519774,1416.46373179092,2.68561799531773,,Generation 5,1549.4572160030762,1360.1804953950264,2.6149961797603125,,Generation 5,1531.2141503149815,1354.1215939898582,2.626664966510491,,Generation 5,1535.5354766647015,1351.786187202725,2.637726664483665,,Generation 5,1557.5860295145683,1364.4548369909494,2.662015122093095,,Generation 5,1547.1602531481124,1348.0875243497867,2.751841710626362,,Generation 5,1522.3028839385352,1296.8332522007856,2.635904778164677,
Generation 6,1454.2851119316515,1240.2998450106447,2.511319526325074,,Generation 6,1469.4280856689265,1237.8724194890785,2.5921721128506414,,Generation 6,1483.165711382461,1297.3421962788127,2.591870751399905,,Generation 6,1486.7018762785074,1286.7260682578385,2.602290967919525,,Generation 6,1493.7188464294668,1291.3520947913785,2.5503626312157497,,Generation 6,1467.0650352991936,1267.0874888910362,2.555243562480109,,Generation 6,1471.9038624860063,1268.1435069629463,2.580274773041758,,Generation 6,1493.057302236041,1286.806668890469,2.605541814285873,,Generation 6,1496.1516757118527,1277.7768133878806,2.7082700677864717,,Generation 6,1465.913619653927,1276.1093030342608,2.597740446442304,
Generation 7,1398.107558613331,1147.393662922531,2.464288251820455,,Generation 7,1398.8308363677672,1207.4118291339844,2.530729990970813,,Generation 7,1439.197492829816,1292.025315253491,2.5619701283632463,,Generation 7,1433.8115028244065,1246.7836499092157,2.5532524032832935,,Generation 7,1452.8459203413274,1241.4135655812563,2.5207071095043783,,Generation 7,1414.2996578435395,1285.7830614015984,2.49402809829991,,Generation 7,1414.9142941840657,1164.36241578182,2.5282601015340527,,Generation 7,1431.8363022364135,1179.6445180861222,2.528210776252895,,Generation 7,1442.6315296684584,1215.6660948544775,2.6527060745311255,,Generation 7,1395.7505850285968,1255.0385520485288,2.4974723727646775,
Generation 8,1333.22089862794,1147.393662922531,2.3979143724041867,,Generation 8,1331.9896451175089,1128.1534925395617,2.4680405224715742,,Generation 8,1388.9661779594496,1230.3670487607721,2.515299137308761,,Generation 8,1384.5580301857021,1216.5612509640978,2.4948411666820998,,Generation 8,1410.905377548233,1245.7980446255638,2.4929909386634583,,Generation 8,1356.0167229126214,1122.9366168084669,2.4540829969679683,,Generation 8,1370.7224851154458,1172.3232169403425,2.471130091948788,,Generation 8,1385.9528617598303,1187.570731136383,2.4804506579833943,,Generation 8,1387.252265906026,1207.2039609986664,2.597572411590085,,Generation 8,1346.802873838933,1167.897453895025,2.44249215649838,
Generation 9,1273.9792947883982,1045.9135978048294,2.3179696190484687,,Generation 9,1285.3651901738333,1102.6909078255217,2.426902197884349,,Generation 9,1343.2324481681405,1193.0203912314637,2.4499036852192666,,Generation 9,1321.7270487208934,1167.8590403741591,2.4290834787153766,,Generation 9,1359.2936311718388,1186.8257882643022,2.457714504974175,,Generation 9,1289.8577727747816,1107.6688197540093,2.398517659535282,,Generation 9,1311.608745944599,1133.9161670930998,2.4255757209170237,,Generation 9,1320.7724387648384,1187.570731136383,2.3957483001341617,,Generation 9,1336.5303068992334,1173.10885798664,2.5470021348338965,,Generation 9,1298.4024170471923,1140.7905201485123,2.376887786248718,
Generation 10,1221.3190674017903,1038.3664311276634,2.2732994185350366,,Generation 10,1235.3243285746712,1070.9554650170226,2.379874516443315,,Generation 10,1290.912118795806,1155.2785085908279,2.370097889799369,,Generation 10,1275.417957515806,1113.2257817786328,2.3887363911574564,,Generation 10,1319.6307551102284,1159.7935308724132,2.409459351624878,,Generation 10,1244.635261134045,1074.0743136160036,2.336322586604515,,Generation 10,1266.8148907426735,1139.3430715552588,2.3797053811040114,,Generation 10,1272.263159233877,1087.3887359134105,2.3462315927960984,,Generation 10,1277.8166841080754,1124.2823750581242,2.476015579710241,,Generation 10,1243.9304365096505,1025.7430355216336,2.300375122838233,
