Number of Runs,10
Number of Generations,10
N (Size of Cromosome),100
P (Size of Population),100

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.01

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,,Run 6,,,,Run 7,,,,Run 8,,,,Run 9,,,,Run 10,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,
Generation 1,1796.6600135981196,1570.8418286655892,,Generation 1,1803.8604743898413,1454.4954078957744,,Generation 1,1785.5173118100915,1574.1309482016343,,Generation 1,1829.5014635507873,1607.2698566300812,,Generation 1,1768.205805705837,1523.415221461339,,Generation 1,1792.0414251924135,1491.4004317224844,,Generation 1,1799.716297510365,1613.4659375617089,,Generation 1,1784.4965519483137,1559.2380919509396,,Generation 1,1789.902315169111,1517.3545127604648,,Generation 1,1794.225287826789,1550.0788596159648,
Generation 2,1708.4155549537975,1490.0349355003375,,Generation 2,1703.0386172611588,1536.8694659151083,,Generation 2,1706.3723945897734,1519.2228941496223,,Generation 2,1707.7669808438256,1482.0293983335118,,Generation 2,1669.041040748942,1441.2793827014557,,Generation 2,1679.9867266287029,1429.0235974663024,,Generation 2,1704.7346250772607,1521.587626448415,,Generation 2,1675.276712645991,1481.1818218912547,,Generation 2,1676.7968099750858,1513.2891947146009,,Generation 2,1700.271947788611,1515.0506383469115,
Generation 3,1612.7551931186495,1452.1256277955931,,Generation 3,1612.4150859663182,1431.7544924497893,,Generation 3,1598.5943816688805,1435.9678452477292,,Generation 3,1610.041629997745,1410.646856718761,,Generation 3,1578.763839609237,1433.09825641208,,Generation 3,1557.7665263484546,1341.367048673942,,Generation 3,1636.5926659504473,1442.2476651890183,,Generation 3,1565.1119388551676,1413.099110968175,,Generation 3,1577.3876086329888,1409.0420850440903,,Generation 3,1613.9382094727794,1419.2392966269726,
Generation 4,1517.6775657809935,1354.030809760955,,Generation 4,1543.5074169420673,1363.8586720392752,,Generation 4,1512.5512247367733,1322.7777270439167,,Generation 4,1512.6645571628721,1320.378234551018,,Generation 4,1500.3672490340139,1283.004095978661,,Generation 4,1449.4191077212072,1282.2290997870568,,Generation 4,1551.626384728745,1424.630597212752,,Generation 4,1485.9536956025972,1339.9802595073834,,Generation 4,1488.202749514427,1342.098386241619,,Generation 4,1540.0801888969027,1359.8777843939977,
Generation 5,1430.0357851494707,1243.8452607247198,,Generation 5,1468.8702340317154,1345.9171289760527,,Generation 5,1412.2780068921288,1280.0944787414924,,Generation 5,1431.521877997981,1253.1866382697367,,Generation 5,1420.8628958803445,1314.1652451176083,,Generation 5,1363.8690597600353,1204.236569048204,,Generation 5,1476.4737199679025,1314.5383692557834,,Generation 5,1422.1576132691375,1240.0358238545894,,Generation 5,1417.5927467183333,1251.8290880022707,,Generation 5,1440.5719529618175,1251.5605131481893,
Generation 6,1355.3374970764428,1228.8915849307045,,Generation 6,1409.8180510924576,1262.4121146987106,,Generation 6,1336.3837741417424,1185.2542276006177,,Generation 6,1360.2919387398715,1152.557060535305,,Generation 6,1354.9603182127184,1156.727229390936,,Generation 6,1289.9377613258184,1139.7170808349376,,Generation 6,1407.9160880234347,1263.1657407020234,,Generation 6,1346.243631346651,1131.3952099498304,,Generation 6,1357.938856015296,1223.5457612327482,,Generation 6,1352.6215962145486,1163.825338398215,
Generation 7,1282.298896897248,1137.2322469146466,,Generation 7,1352.3723161059168,1205.3005988861999,,Generation 7,1272.2683392789902,1132.8198329833392,,Generation 7,1297.6439767509978,1118.230623161875,,Generation 7,1288.9487825808878,1052.9802905856964,,Generation 7,1210.6914566425173,1064.565510109823,,Generation 7,1333.9866510304041,1169.358735604849,,Generation 7,1268.2255934540121,1140.9719944809822,,Generation 7,1281.5872807510636,1135.6048236409208,,Generation 7,1280.1847319914104,1138.551060102508,
Generation 8,1220.852570568961,1087.6093736143534,,Generation 8,1278.5773733283158,1142.5522251870161,,Generation 8,1211.9133545278228,1091.4448059764381,,Generation 8,1237.2847553461743,1120.3719723049737,,Generation 8,1200.8568098181975,1071.2270426732043,,Generation 8,1156.3625812844562,1042.7687866554359,,Generation 8,1269.383100490825,1147.017018698454,,Generation 8,1194.6809118713086,1036.8729221655674,,Generation 8,1213.069912239605,1072.7633428940494,,Generation 8,1234.309339602566,1091.8236728372256,
Generation 9,1156.9462191534474,1001.529718394991,,Generation 9,1207.748962766283,1051.034656079826,,Generation 9,1159.8811706174843,1020.4799200628717,,Generation 9,1172.0613936453203,1042.8064707362992,,Generation 9,1139.5179852494978,997.8319972896279,,Generation 9,1095.6493026738283,957.4899495762546,,Generation 9,1214.921287224681,1115.3564620771017,,Generation 9,1133.2192210783546,1025.102783214593,,Generation 9,1143.4508830615841,1029.1340414656934,,Generation 9,1162.5393946434735,1023.8001592990765,
Generation 10,1097.8004897083201,987.8221649985775,,Generation 10,1146.8294186292298,969.1380641485591,,Generation 10,1110.2553810529496,993.5472537919163,,Generation 10,1122.0008306034,991.9859617054802,,Generation 10,1078.8255920728668,969.5854373310315,,Generation 10,1028.0018017864747,928.9896596235873,,Generation 10,1176.5684791185622,1045.6615100066667,,Generation 10,1087.0981677929549,996.0429704079354,,Generation 10,1101.0978609612978,985.3235963364704,,Generation 10,1098.2591915648625,976.0322290116336,
