Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,163.81423068968144,163.81423068968144,176.48530369958442,148.02807916132218,133.58770465803354,190.92567820287306,142.9456500889919,145.815387644296,151.45013291738596,185.49804941406285,,,,160.23644471659128,133.58770465803354
Generation 2,151.45013291738596,151.45013291738596,148.02807916132218,148.02807916132218,152.2718492270698,127.13124307525977,177.77069249772296,116.62509050865489,145.815387644296,145.815387644296,,,,146.43860747547154,116.62509050865489
Generation 3,146.17754424112803,151.08797632055396,148.01287862726963,149.25264193441234,148.02807916132218,127.13124307525977,145.77872802795898,122.2964953980819,140.9301070147978,152.9133597908204,,,,143.16090535916052,122.2964953980819
Generation 4,122.2964953980819,148.02807916132218,151.45013291738596,145.8305881783486,128.5095153696013,144.40045573361743,140.9301070147978,122.2964953980819,151.08797632055396,140.9301070147978,,,,139.5759952506589,122.2964953980819
Generation 5,140.9301070147978,122.2964953980819,140.9301070147978,140.9301070147978,122.2964953980819,145.8305881783486,122.2964953980819,128.5095153696013,122.2964953980819,122.2964953980819,,,,130.86129015827527,122.2964953980819

Best Mean,130.86129015827527
Best Mean Generation,5

Lowest,116.62509050865489
Lowest Generation,2



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,147.78560341491894,208.33239010432158,178.74484906354127,153.40825806897743,122.94417848768472,186.6138595863735,162.31235621461815,197.52735819824693,177.74266479450716,161.7724346591393,,,,169.71839525923286,122.94417848768472
Generation 2,135.46429219658668,149.25232095023733,147.78560341491894,153.40825806897743,142.43654055786934,189.71656657464936,127.7804584997482,142.94932340285547,128.49044628983134,173.19858126139465,,,,149.04823912170687,127.7804584997482
Generation 3,122.43139564269862,155.46943711175743,197.1993793346933,111.46349412328806,147.78560341491894,122.94417848768472,147.78560341491894,142.94932340285547,106.65023750921497,163.56676154840258,,,,141.8245413990433,106.65023750921497
Generation 4,111.46349412328806,122.43139564269862,122.94417848768472,122.94417848768472,111.46349412328806,122.43139564269862,111.46349412328806,111.46349412328806,142.43654055786934,127.7804584997482,,,,120.68221238115363,111.46349412328806
Generation 5,111.46349412328806,111.46349412328806,122.94417848768472,122.43139564269862,111.46349412328806,111.46349412328806,122.43139564269862,111.46349412328806,111.46349412328806,111.46349412328806,,,,114.8051428636098,111.46349412328806

Best Mean,114.8051428636098
Best Mean Generation,5

Lowest,106.65023750921497
Lowest Generation,3



Run 1
,Mean,Lowest
Generation 1,160.23644471659128,133.58770465803354
Generation 2,146.43860747547154,116.62509050865489
Generation 3,143.16090535916052,122.2964953980819
Generation 4,139.5759952506589,122.2964953980819
Generation 5,130.86129015827527,122.2964953980819

Best Mean,130.86129015827527
Best Mean Generation,5

Lowest,116.62509050865489
Lowest Generation,2


Run 2
,Mean,Lowest
Generation 1,169.71839525923286,122.94417848768472
Generation 2,149.04823912170687,127.7804584997482
Generation 3,141.8245413990433,106.65023750921497
Generation 4,120.68221238115363,111.46349412328806
Generation 5,114.8051428636098,111.46349412328806

Best Mean,114.8051428636098
Best Mean Generation,5

Lowest,106.65023750921497
Lowest Generation,3



2,2,:,2,9,:,5,9
