Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,2,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,182.9834819846184,182.9834819846184,203.81221633076677,168.7100467917237,195.98390162529876,163.82405202076177,216.06269080402285,142.2358413338477,244.27214742003002,142.2135683618385,,,,184.3081428657527,142.2135683618385
Generation 2,185.69365895515398,193.2737246547632,153.2597602597666,171.9372900866903,151.0267713551032,159.89684379845897,195.98390162529876,195.98390162529876,148.13255891272524,157.90506146987502,,,,171.3093472743134,148.13255891272524
Generation 3,153.2597602597666,159.89684379845897,153.2597602597666,153.2597602597666,148.13255891272524,148.13255891272524,148.13255891272524,159.89684379845897,161.32881559826535,182.97168041160103,,,,156.827114112426,148.13255891272524
Generation 4,148.13255891272524,148.13255891272524,148.13255891272524,148.13255891272524,153.2597602597666,161.32881559826535,142.2135683618385,159.17875081065333,148.13255891272524,153.2597602597666,,,,150.9903449853917,142.2135683618385
Generation 5,159.17875081065333,142.2135683618385,159.17875081065333,148.13255891272524,148.13255891272524,148.13255891272524,148.13255891272524,142.2135683618385,148.13255891272524,159.17875081065333,,,,150.26261837192632,142.2135683618385

Best Mean,150.26261837192632
Best Mean Generation,5

Lowest,142.2135683618385
Lowest Generation,1



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,202.28247764628864,186.36297809267148,203.5043847992195,166.66619385836776,186.108752732276,200.19547999443176,175.2632082180026,207.3324504021702,177.43491041054924,137.55856679161548,,,,184.27094029455927,137.55856679161548
Generation 2,175.2632082180026,175.2632082180026,170.38536106245903,142.43641394715902,185.48733848922353,167.54183346181568,109.45108452348482,194.7736761264984,166.66619385836776,166.66619385836776,,,,165.39345117633812,109.45108452348482
Generation 3,165.56382778686543,172.36336673740928,168.62485008440794,173.3045519919624,145.96740177947,163.13520602605678,130.24652445631244,121.64097401433139,178.68943359189626,130.41317421363053,,,,154.99493106823428,121.64097401433139
Generation 4,166.66619385836776,126.88218638131956,121.64097401433139,130.41317421363053,130.24652445631244,163.13520602605678,130.24652445631244,130.24652445631244,130.41317421363053,130.41317421363053,,,,136.03036562899044,121.64097401433139
Generation 5,121.64097401433139,130.24652445631244,130.24652445631244,121.64097401433139,126.88218638131956,121.64097401433139,130.41317421363053,130.24652445631244,126.88218638131956,130.24652445631244,,,,127.00865668445138,121.64097401433139

Best Mean,127.00865668445138
Best Mean Generation,5

Lowest,109.45108452348482
Lowest Generation,2



Run 1
,Mean,Lowest
Generation 1,184.3081428657527,142.2135683618385
Generation 2,171.3093472743134,148.13255891272524
Generation 3,156.827114112426,148.13255891272524
Generation 4,150.9903449853917,142.2135683618385
Generation 5,150.26261837192632,142.2135683618385

Best Mean,150.26261837192632
Best Mean Generation,5

Lowest,142.2135683618385
Lowest Generation,1


Run 2
,Mean,Lowest
Generation 1,184.27094029455927,137.55856679161548
Generation 2,165.39345117633812,109.45108452348482
Generation 3,154.99493106823428,121.64097401433139
Generation 4,136.03036562899044,121.64097401433139
Generation 5,127.00865668445138,121.64097401433139

Best Mean,127.00865668445138
Best Mean Generation,5

Lowest,109.45108452348482
Lowest Generation,2



2,2,:,2,9,:,5,9
