Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.2

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,151.5716977372889,189.4725069482107,186.68344397906947,186.65492840200423,165.30242961102448,146.80885789351183,186.68344397906947,165.30242961102448,146.80885789351183,186.65492840200423,,,,171.194352445672,146.80885789351183
Generation 2,143.12424771560325,168.98703978893303,162.78384735903742,170.67993893647866,165.30242961102448,165.30242961102448,186.65492840200423,186.65492840200423,146.80885789351183,165.30242961102448,,,,166.16010773306465,143.12424771560325
Generation 3,165.30242961102448,165.30242961102448,143.12424771560325,146.80885789351183,165.30242961102448,146.80885789351183,165.30242961102448,165.30242961102448,165.30242961102448,165.30242961102448,,,,159.38589707797982,143.12424771560325
Generation 4,143.9289087885248,168.1823787160115,146.80885789351183,146.80885789351183,165.30242961102448,143.12424771560325,146.80885789351183,146.80885789351183,165.30242961102448,165.30242961102448,,,,153.83782556272604,143.12424771560325
Generation 5,146.80885789351183,143.9289087885248,146.80885789351183,146.80885789351183,146.80885789351183,146.80885789351183,165.30242961102448,143.12424771560325,151.2343251570899,160.87696234744638,,,,149.85111630872478,143.12424771560325

Best Mean,149.85111630872478
Best Mean Generation,5

Lowest,143.12424771560325
Lowest Generation,2



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,107.53178215625314,174.75313042565932,186.02207385704412,189.6089235405974,136.71546307540285,89.7134331309582,150.57166242912,189.9993391940464,157.50989799332297,164.08787323097755,,,,154.65135790333818,89.7134331309582
Generation 2,92.04300243814659,105.20221284906475,95.8180875355206,148.4291576961354,148.4291576961354,95.8180875355206,77.50072089582147,187.5409592537546,107.53178215625314,136.71546307540285,,,,119.50286311317555,77.50072089582147
Generation 3,77.50072089582147,77.50072089582147,107.53178215625314,65.78702627508895,105.20221284906475,92.04300243814659,107.53178215625314,80.32930781741405,106.95849259876405,137.28875263289194,,,,95.76738007155194,65.78702627508895
Generation 4,77.50072089582147,80.32930781741405,77.50072089582147,77.50072089582147,77.50072089582147,77.50072089582147,80.32930781741405,92.04300243814659,65.78702627508895,77.50072089582147,,,,78.34929697229924,65.78702627508895
Generation 5,77.50072089582147,77.50072089582147,77.50072089582147,77.50072089582147,77.50072089582147,65.78702627508895,77.50072089582147,77.50072089582147,77.50072089582147,77.50072089582147,,,,76.32935143374822,65.78702627508895

Best Mean,76.32935143374822
Best Mean Generation,5

Lowest,65.78702627508895
Lowest Generation,3



Run 1
,Mean,Lowest
Generation 1,171.194352445672,146.80885789351183
Generation 2,166.16010773306465,143.12424771560325
Generation 3,159.38589707797982,143.12424771560325
Generation 4,153.83782556272604,143.12424771560325
Generation 5,149.85111630872478,143.12424771560325

Best Mean,149.85111630872478
Best Mean Generation,5

Lowest,143.12424771560325
Lowest Generation,2


Run 2
,Mean,Lowest
Generation 1,154.65135790333818,89.7134331309582
Generation 2,119.50286311317555,77.50072089582147
Generation 3,95.76738007155194,65.78702627508895
Generation 4,78.34929697229924,65.78702627508895
Generation 5,76.32935143374822,65.78702627508895

Best Mean,76.32935143374822
Best Mean Generation,5

Lowest,65.78702627508895
Lowest Generation,3



2,2,:,3,0,:,5,0
