Number of Runs,5
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),200

Selection,Survivor
Survivor Elite percentage,0.4
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,1,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,
Generation 1,1785.2957230989862,1601.2980628549656,,Generation 1,1742.333395999988,1524.6818800643678,,Generation 1,1744.4518582227297,1520.7272629103213,,Generation 1,1741.3021452172698,1545.4856887935866,,Generation 1,1753.9777219069758,1575.7409606872852,
Generation 2,1717.4614088178507,1518.104312754188,,Generation 2,1669.0526677100806,1407.2979439725818,,Generation 2,1654.5993881133463,1458.9034400774926,,Generation 2,1657.1428540850507,1438.8404247905394,,Generation 2,1679.6495017929462,1453.0171759841542,
Generation 3,1657.724688276747,1425.6556140833993,,Generation 3,1582.225353691626,1422.5445163201027,,Generation 3,1583.6385188221527,1405.1237653471399,,Generation 3,1584.4577900777274,1369.734234200051,,Generation 3,1602.905234208074,1373.8587985453237,
Generation 4,1603.5235644373324,1423.110784401627,,Generation 4,1507.5671395448514,1311.153079458706,,Generation 4,1517.120753996565,1322.5665120609922,,Generation 4,1512.879769862454,1332.3951413166574,,Generation 4,1530.7894617932877,1339.6198347115733,
Generation 5,1547.5511844911493,1367.5015223526684,,Generation 5,1436.646366878083,1217.2286359815575,,Generation 5,1459.250166916376,1259.6818596670873,,Generation 5,1452.7626538929762,1258.966895999543,,Generation 5,1457.828810058299,1240.2924153756303,
Generation 6,1487.2291590478155,1312.5460820823089,,Generation 6,1364.746911721773,1167.4819476285368,,Generation 6,1393.651089309533,1165.1580504947774,,Generation 6,1388.965605540369,1226.7588246235193,,Generation 6,1392.9905638791556,1153.6815673474794,
Generation 7,1432.69041903685,1171.0702165008438,,Generation 7,1292.813601546863,1087.5646775180153,,Generation 7,1323.7549667180472,1101.780437870442,,Generation 7,1326.2387956904595,1143.8891286286346,,Generation 7,1323.6521411834503,1129.0983223260296,
Generation 8,1366.5451443355619,1120.4780393066424,,Generation 8,1234.5975211242628,1021.5700003936515,,Generation 8,1251.6509049241156,1077.6959076140931,,Generation 8,1262.266911548383,1111.961336583778,,Generation 8,1253.2195273240598,1102.4780905343023,
Generation 9,1313.9105657334578,1088.3022279822435,,Generation 9,1174.0209067585583,1012.4930742363969,,Generation 9,1187.4979417101958,1033.341083281166,,Generation 9,1202.0139892272803,1024.457631819483,,Generation 9,1194.7837227046405,1004.1267760366322,
Generation 10,1257.3408696235788,1091.3541766725657,,Generation 10,1114.7180358459636,951.5047660752309,,Generation 10,1123.9134887138616,966.5093962817172,,Generation 10,1149.470238918195,988.9074768303018,,Generation 10,1130.2834647212612,905.4114144282478,
Generation 11,1205.247970197233,1066.1806546211349,,Generation 11,1061.426284518819,920.2167064001194,,Generation 11,1070.35067515608,858.917110863668,,Generation 11,1093.925265268038,951.1604444717067,,Generation 11,1070.553646401213,903.7170206305701,
Generation 12,1158.7431333453042,991.4850168004305,,Generation 12,1006.8019424053487,847.9667940528435,,Generation 12,1020.3265912167876,883.7606871880308,,Generation 12,1047.1278905226814,895.9324229116143,,Generation 12,1017.5056407586168,856.0423016291354,
Generation 13,1106.4851231046719,913.4870175550952,,Generation 13,948.792572790358,778.9424631380281,,Generation 13,970.9451339536681,858.5039261348572,,Generation 13,997.7924648095865,864.6071876409744,,Generation 13,967.5631835411323,752.479599845902,
