Number of Runs,5
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),200

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,
Generation 1,1811.044791321842,1583.573534001193,,Generation 1,1790.21991761812,1533.3800658032735,,Generation 1,1786.9157507839013,1498.7679431273218,,Generation 1,1789.1610023025364,1507.5145093203728,,Generation 1,1783.1242045413032,1522.6794283009722,
Generation 2,1710.4648125836036,1496.8832641652157,,Generation 2,1682.3351927711178,1395.9072740932677,,Generation 2,1658.5169768021844,1434.298399411187,,Generation 2,1694.5918487823687,1529.6718314474656,,Generation 2,1668.3152619277055,1464.4382870557613,
Generation 3,1611.3899621763758,1414.2882654438538,,Generation 3,1586.3380505557188,1336.833835471929,,Generation 3,1567.3853189380566,1309.0340167320107,,Generation 3,1607.3244400452415,1447.1367017417563,,Generation 3,1567.9766564619308,1372.0883376414254,
Generation 4,1528.0273232812078,1353.344973587954,,Generation 4,1486.794842379726,1293.0046184384678,,Generation 4,1481.183227658089,1235.9783317627725,,Generation 4,1528.4811100318154,1339.3871825347335,,Generation 4,1479.6959858156065,1283.369906727712,
Generation 5,1440.835754337066,1243.5072316211135,,Generation 5,1405.9531130516323,1214.5097555209982,,Generation 5,1401.800334136767,1140.6478366249096,,Generation 5,1450.7929962096905,1245.3621852647943,,Generation 5,1398.5586904712204,1201.8120197143608,
Generation 6,1378.748061880845,1166.1813797847153,,Generation 6,1333.3899386421733,1122.3571059819449,,Generation 6,1318.460303518159,1128.1204551437409,,Generation 6,1372.8852644268452,1169.1851301352617,,Generation 6,1321.3475451891773,1176.8794578409781,
Generation 7,1294.8408984913976,1054.816654747668,,Generation 7,1257.589718426708,1088.1704639731802,,Generation 7,1243.1161732372366,1050.1616192764793,,Generation 7,1277.3816584612914,1063.0682186549514,,Generation 7,1249.2475288199776,1091.0551874550988,
Generation 8,1216.7754172785824,1047.6522855652613,,Generation 8,1166.0002590507293,1019.2905293637807,,Generation 8,1171.2372554403012,1009.8302304222257,,Generation 8,1180.2592321683653,993.438763856599,,Generation 8,1191.4058561458796,1000.8727962032651,
Generation 9,1134.8680078450147,986.3600347360143,,Generation 9,1103.5152344484147,935.3660870266813,,Generation 9,1104.0476075280149,961.8570440254155,,Generation 9,1114.8494916959908,920.9530516059659,,Generation 9,1120.4457950515393,957.705295353297,
Generation 10,1079.805153751518,933.3988595488728,,Generation 10,1050.284270528117,891.9237982892106,,Generation 10,1053.6094609049342,884.995361064665,,Generation 10,1060.2301566598007,882.9457477576539,,Generation 10,1051.6910913663821,897.1028344879427,
