Number of Runs,10
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),100

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.01

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mean,Best
Generation 1,1854.6968378561946,1636.7220444778977,1842.7007491997779,1854.9226002357414,1818.1719333173278,1714.7435680083854,1801.5180510388982,1807.0892184826562,1824.8546991123608,1706.7742363118455,1694.2604600234417,1898.9863211253796,1821.327916925965,1836.0493457831326,1629.436718254704,1838.3296245693439,1944.4592282949238,1653.5291925856413,1775.5036040238479,1834.4183808207858,1797.4554588905971,1691.7854152638913,1792.664269393539,1866.3633395745421,1738.8557693755297,1797.8182458216884,1783.7571062608008,1796.8797080708478,1935.7439740382506,1847.3536738479147,1732.580297094078,1882.6222794935804,1814.0024975571337,1793.360087987256,1893.6323339446408,1805.308124666695,1866.1634394401758,1829.8277269669286,1859.6090786101217,1748.2268598522237,1770.3974856451994,1871.140393797375,1699.0587309072798,1725.0330092212794,1710.2836641833674,1893.0374684356325,1800.3379418696754,1882.5596702580037,1789.1991475554923,1758.3723767076576,1800.138924257016,1807.2423796908706,1703.5413444217995,1703.8356095693423,1755.7818269797913,1851.8888223619042,1925.8481935409573,1740.7205732020702,1751.9056937035862,1739.5317434404674,1843.7321132762197,1769.2297359187044,1751.418852516415,1866.9253189910103,1682.7129898896312,1611.4977988693493,1843.942860356942,1789.5225170746935,1858.1691706821136,1733.8839710420625,1744.5902500726324,1863.7704910575073,1761.2280467916826,1822.961129856183,1924.575485878855,1761.9957543935052,1759.4000628757422,1652.701086643157,1691.2270162920731,1794.4444629949805,1738.6148256023635,1669.0739902368664,1877.5923142481079,1750.8689487544807,1806.60798824122,1772.3380270507944,1712.8110372145152,1751.2026353876633,1733.3526725160814,1524.9670252992237,1871.9681468854596,1830.5094627275726,1834.7985439689905,1847.9190297819341,1875.5298149399891,1751.8203318665055,1603.1353494503246,1744.2106390988988,1740.906311411457,1717.2161251920938,,,,1784.257317516955,1524.9670252992237
Generation 2,1821.7981083814302,1718.3791466668463,1767.97691851966,1701.6463407742522,1781.1809146338635,1796.0280685405141,1765.3942225675273,1639.553822534529,1805.2855020145116,1707.8278301753448,1815.2940042484217,1668.4889282333197,1760.6417711170309,1842.2057186613358,1665.0050336080028,1611.7823235577266,1851.8326072781483,1754.6142241501834,1718.2085649987648,1600.118548287715,1712.3326671887494,1779.256854767802,1648.463157054703,1687.2524894896997,1768.9893054866266,1689.9276747767158,1676.1809965338757,1801.2895984440177,1738.6148256023635,1603.1353494503246,1843.942860356942,1847.9190297819341,1649.8856443839309,1846.3199694314085,1762.370872902904,1659.7301147453388,1714.1217031812434,1828.0077797872152,1638.0070814432977,1794.1262462602322,1724.659980234645,1773.3549082434604,1803.004151117178,1829.7699364471464,1741.927623663229,1727.194195232451,1798.7398541621492,1628.5151099142429,1592.5290874504167,1769.8376601734133,1838.4018600427712,1835.977110309705,1689.9142116513838,1712.6858636776958,1854.7176605795776,1683.2749127200846,1830.5094627275726,1830.5094627275726,1720.5274573063639,1911.3724394489068,1757.7141687426024,1732.0880396296848,1765.6853157141245,1748.8702105818484,1685.8088731162377,1917.9118177752157,1757.0888066661332,1781.0872254265341,1723.5280369221512,1620.9584649848978,1838.905338829939,1719.3077978260935,1861.4612390813584,1651.9209854717074,1708.0438518382257,1664.8657479679828,1676.383900712045,1830.8167787841612,1826.8328898408777,1718.148084694406,1763.132132801509,1691.7084250855623,1801.0533195603298,1785.8320977280523,1805.3360776694326,1584.1511485320448,1818.1097767272531,1633.9526926943126,1754.6036091932988,1731.6574468196632,1675.8937153088107,1768.5539405244458,1684.3315244200835,1774.6226826872007,1749.674305878457,1586.567876596815,1723.9211340611946,1719.727846918718,1670.1593698943543,1772.0642338234964,,,,1742.6304069937967,1584.1511485320448
Generation 3,1758.4824847759307,1585.799560563487,1801.1298695983364,1757.0122566281266,1785.9656318007897,1739.8979031750066,1831.0202309966091,1638.3035279850662,1713.218828770864,1818.9026095172715,1709.4439173206943,1642.8092749902457,1721.9432270096554,1683.173443932676,1719.8007552803397,1636.354410857364,1638.2629328969283,1782.4718042714642,1529.5963533363229,1818.646603496638,1713.3320036626606,1612.7346372551456,1815.9905519166055,1666.45996094594,1618.0584589498253,1773.5887837659266,1658.7837961070193,1752.8114937491928,1774.4992526393323,1692.800835188547,1633.202312675505,1768.937066943256,1651.0544239672083,1658.6587684616748,1645.1254094562057,1833.2457699356146,1667.5498930830638,1649.4021922049592,1611.173483218245,1631.5156887666085,1697.991001861843,1779.4101571184738,1544.0908973716466,1854.254042976056,1778.1210902878315,1796.324417210464,1707.2526877201192,1670.7345123495802,1766.6887800735556,1583.011229324768,1729.3127003869456,1674.7283918873661,1724.659980234645,1724.659980234645,1670.877606443912,1609.3936453471347,1712.7582411711198,1677.9285860295984,1665.8733243309737,1667.77100433162,1717.419713435231,1645.4663752128954,1736.2875822592523,1709.1151779719635,1599.2021660386843,1713.464724031776,1718.2432878754944,1709.3123892185683,1623.2935098076327,1629.727484026622,1848.1086921736205,1592.9025403868554,1697.8568559149599,1635.637105926363,1623.127549519602,1675.546930288995,1634.7519687310128,1636.8723089526316,1709.5533804553615,1626.1622660890412,1675.1352698257542,1729.3645987083596,1662.1219665539375,1866.7110470527175,1577.3520358046437,1719.5001444890647,1684.9591255644941,1689.5864990540813,1742.113243914392,1622.4936052350113,1682.1121924511863,1719.5455459573814,1647.9984745145434,1708.3877535956008,1743.0505216437323,1695.1701345677106,1668.8354411346543,1751.3250562294402,1639.1937037066848,1696.5008137934833,,,,1695.8051186890204,1529.5963533363229
Generation 4,1733.6027682852623,1725.8868469768408,1592.7066931136646,1596.8505794708776,1751.3765884749728,1579.7277746986401,1784.9168954801894,1655.1318492316777,1702.7370840703873,1629.6586899739395,1619.27561594411,1632.4107205497646,1580.0185909708493,1708.3676615174477,1671.459745301928,1678.1134943263,1692.9647156971396,1607.386414204123,1715.444079289793,1591.5206287485114,1671.0340959129574,1634.63295325473,1568.1136755149619,1654.7047355025773,1598.4763399530384,1673.2332572976761,1643.8374557733605,1667.5022437705086,1659.7541085811654,1624.861463207783,1708.5453231267184,1591.9166732494837,1594.6479556905838,1654.6418599180597,1607.890831912429,1688.2966130601335,1683.3688085308547,1620.5354954095733,1626.4477497069652,1709.6720391049225,1700.9247888017442,1551.2963004598892,1672.5625573351795,1655.4539452249123,1623.6919126900384,1651.4433291595215,1603.8940695382335,1661.1814208314245,1596.5815648516868,1711.0927321600414,1601.7193873229767,1651.3016065112788,1682.8651619445889,1642.032456649744,1599.0647273827972,1677.9173365967072,1729.1069013936312,1571.2442285076318,1598.1870263144538,1531.70343162068,1670.7983442044663,1627.876135604131,1618.959611079083,1655.2011295245015,1708.487420592796,1563.9085957893938,1780.7576073739097,1643.804542337281,1676.238204918828,1629.4288442488594,1733.323379873395,1620.7276705031932,1685.1493973591187,1642.700034591891,1616.8187424126727,1657.7986013416194,1610.2931144987865,1655.9745429988352,1561.7351194153782,1730.393831526909,1636.8723089526316,1636.8723089526316,1690.6589410833208,1783.9213506028639,1643.8158491827617,1600.7675074877445,1709.6010535173082,1661.8333022551976,1583.1866672866322,1788.9291324830479,1495.623198960223,1625.819734216068,1676.9392757735964,1682.6418162932887,1669.7342065890946,1690.7641346988078,1632.2206067571346,1645.2360298464785,1529.824792452977,1769.4619006452517,,,,1650.9003498833415,1495.623198960223
Generation 5,1531.5928196683699,1689.5864990540813,1571.2442285076318,1655.4539452249123,1638.444833170108,1594.6644600376603,1654.6615887198325,1580.6009610884216,1550.8331934439911,1729.3861945577414,1700.7195142246928,1597.7381948761285,1629.6546616996357,1626.7694611259183,1640.9867505758598,1697.1090109423412,1625.6769647120125,1689.620236363276,1654.6296042309027,1592.3536408856355,1516.0257417689572,1742.0145992042449,1627.7732820753258,1665.9847361109432,1635.0994809907597,1614.8201881218004,1581.8480406764643,1729.6437645255369,1592.6165852380477,1633.9642652927118,1640.6299829856066,1552.849798799812,1635.606675416252,1580.7754165400424,1597.842782698637,1594.1291163121882,1567.2897844226145,1681.2635914752072,1555.3372759153624,1697.5835979603648,1580.9006777687857,1550.414213661953,1575.5692799368237,1612.0541138577726,1654.924179634787,1569.8025354402216,1625.65764378128,1631.5156887666085,1538.536751817511,1639.8700381962371,1595.3449126521514,1694.0678859029535,1546.1957012122216,1613.834647552224,1739.4107790604048,1575.5444590452626,1699.7544885925167,1600.0575101796794,1647.0635148385559,1608.2971089193675,1554.3413029245198,1760.9342915601705,1608.6992078927171,1696.9386366997614,1691.1561597118334,1614.514598316725,1601.3773558864923,1708.8873545632027,1592.7066931136646,1592.7066931136646,1651.3016065112788,1599.0647273827972,1642.032456649744,1591.9166732494837,1579.7042260484682,1617.8368412873674,1695.9687293174898,1642.854024438277,1739.6829008988257,1573.3472976703479,1614.9240537869437,1631.025508414919,1730.934609994085,1623.2458032358236,1582.3629937837645,1623.1845151309435,1582.010351329259,1617.1953240619296,1610.9356778075187,1618.2779592490774,1650.7066088849556,1631.1047972499848,1643.0885884504974,1691.9779711023764,1632.5869177730415,1674.830954385315,1759.9516913193502,1622.2829051207523,1616.432341288822,1708.0066008028502,,,,1630.146795508664,1516.0257417689572
Generation 6,1486.2643849503788,1720.2093022240074,1701.0298804209115,1511.4714209041165,1617.8368412873674,1546.1957012122216,1546.6059785294474,1633.4952101304457,1614.514598316725,1614.514598316725,1723.6333626625883,1500.2306423279515,1712.4673088430234,1556.5964374404484,1648.9403673519623,1514.8451092553682,1658.9415303852604,1546.6059785294474,1592.2828182304456,1579.9399844235309,1639.752990291241,1528.498161867686,1805.7778114559978,1505.9810133655644,1658.9870084704478,1525.9832176532357,1576.5114137394498,1522.371190351534,1604.5053887641398,1665.6704782733268,1545.0166368630462,1585.8650980975785,1611.1220336768947,1639.408695526301,1598.1327363272926,1571.4295239051378,1583.4241901413552,1507.9623604759684,1577.7884967750856,1639.8132398114822,1689.921191082366,1562.1627736890816,1619.2039769459589,1494.39919405167,1550.4131489097879,1618.5692744739727,1521.1670905052667,1641.3421380486193,1580.3805907021729,1611.486720486144,1705.4760411682712,1519.2463299958063,1584.3431119743518,1546.6066835815486,1581.9012360546083,1632.0760446013464,1637.1298768959682,1592.3087752077,1630.4244786941802,1458.9485607451252,1523.70486373932,1723.7022421555223,1689.051859774711,1574.206653965393,1558.170067860326,1604.2789339045594,1437.6668034229479,1778.5307405853448,1496.0732473741357,1652.7148963561635,1635.606675416252,1697.5835979603648,1623.1845151309435,1555.3372759153624,1571.1846048632392,1666.3249556896658,1484.7802803216478,1663.2448806355442,1538.536751817511,1599.0647273827972,1486.1873803050394,1724.909421021443,1479.5411049245884,1648.5026369640973,1536.8380625545765,1666.928738178357,1589.8480851254978,1657.6434178615054,1648.1032428755684,1614.8305538488607,1607.6645400686493,1650.7814040657981,1555.2825378680545,1613.1960684649193,1519.408748616831,1700.226137083405,1555.5825480214376,1515.7804696628823,1547.8712132924686,1642.678262519833,,,,1597.328835269846,1437.6668034229479
Generation 7,1538.8469160470734,1554.7684865351507,1544.5957790083935,1440.9422377070232,1626.049915605101,1472.3134630501427,1586.102620952301,1583.1866672866322,1503.8023276558174,1535.5268237914809,1465.7726769130531,1656.9969142090636,1672.4303102923982,1434.5967775663673,1623.3697293903901,1525.9059504029374,1493.1562278992508,1766.7551846233418,1596.9716995423883,1454.4388237471094,1531.3215831022521,1586.469000290435,1496.8557803994952,1649.3455114866647,1621.0501680779262,1486.0016355427672,1468.4547232533414,1592.9963645314742,1456.5420496622078,1496.8057051345875,1677.4085175858086,1517.3374538558546,1497.3309527652227,1653.1436823515583,1547.9060863863538,1534.67356870733,1630.301453029331,1471.6425064675793,1585.5220701837247,1507.9124298113,1509.6903271897224,1646.448343350218,1611.3099413683601,1495.88533968267,1552.2005026340921,1546.561297922515,1575.5444590452626,1629.5246159982748,1547.4423066934146,1582.8527612861917,1527.9785899104722,1417.650573988444,1591.5805454901688,1601.8074110505836,1662.6977129432544,1474.203219260985,1423.7166543340716,1676.5825203970285,1546.206922302508,1596.8058378819028,1510.1521533919388,1538.1980006021822,1490.0383765542424,1629.41070440787,1478.1489737358113,1567.9270803550428,1442.3024943467676,1613.933583550153,1559.270086211954,1506.7446409343243,1588.417024060069,1538.2331001960247,1505.825809902609,1566.958529358713,1503.31233155785,1500.7142787596035,1652.4140846788937,1585.4538582965943,1461.382881620757,1560.0148512124615,1511.4270904171083,1539.98343287239,1598.786655440999,1504.4000492823734,1547.8712132924686,1617.8368412873674,1467.2358342970538,1528.6010369862206,1630.3166919741138,1624.011146154093,1586.1452621367696,1495.9878137392989,1630.934175857821,1463.4374829156284,1425.7514748619353,1622.6756837775251,1529.1972211355996,1536.8175060106787,1604.8452401589761,1514.5052578605319,,,,1550.8186061177353,1417.650573988444
Generation 8,1549.5723835222775,1379.0463323955337,1526.0881309934093,1436.4808498792045,1580.185034122182,1368.8621011589094,1564.9898099344805,1618.3947706683712,1607.6770830336338,1525.769194111563,1434.5967775663673,1434.5967775663673,1441.7390717086002,1465.1711689079098,1426.4036183700844,1620.783347142757,1589.927147532539,1415.5976548306976,1506.9755174419713,1565.9311514613833,1561.7557973595954,1462.1081322335472,1437.6668034229479,1626.432113915714,1586.9876171678748,1587.8885692437425,1559.8603488362132,1485.247154258311,1509.6903271897224,1588.417024060069,1493.3191550290617,1471.4795793377687,1521.615388812676,1419.152797490808,1513.0076487182769,1460.186132837073,1474.109912552784,1593.3204087788397,1530.3898926299603,1435.3450151043653,1416.0578533738171,1523.474001982751,1550.1248709045722,1493.170893525668,1484.453320995951,1438.6291066312072,1537.754332839409,1463.8182477193127,1552.277350941109,1461.0479166540445,1531.3215831022521,1527.9785899104722,1508.5848075517165,1437.6668034229479,1604.7459143372234,1413.1010390548063,1446.2190852881056,1451.81517519389,1568.255735228805,1599.0157275571132,1469.4921698912674,1470.930417577709,1504.1418547101339,1548.56140375258,1567.3762561960325,1445.8387274104352,1755.0960315060452,1454.4189600211153,1494.4793444150828,1429.2985395441788,1672.41137490774,1623.3824799291428,1482.0527691869715,1445.7002362786466,1583.075438742545,1449.1331191027302,1561.4554377400846,1595.3652513542793,1465.1068433714836,1593.463970819484,1476.9909557267765,1464.3504627739148,1466.900509773773,1501.411923568692,1563.729226345391,1505.5445180502911,1502.480842492456,1610.6846091687646,1656.9969142090636,1463.4374829156284,1504.2117385076583,1512.1490711320366,1552.0181793084475,1533.3900346611408,1492.6057289794383,1576.035630135208,1545.3210057931203,1536.8120700829481,1410.8319008616602,1510.2157062376343,,,,1513.8317923472446,1368.8621011589094
Generation 9,1482.9753657391527,1452.3055146124711,1522.6874831175096,1482.9361789588406,1441.5038066145273,1532.1302179868735,1416.3966015686876,1522.4138892034448,1462.7003322885662,1431.7050506270962,1415.6431866237826,1435.2716837220983,1502.880192768044,1418.4271523171133,1396.123048449073,1473.8187442216595,1520.178183638268,1448.3840176433055,1456.2532084985542,1419.9907777123362,1417.650573988444,1528.6010369862206,1493.1154797142533,1401.6674306891869,1485.247154258311,1466.900509773773,1407.5939128323653,1560.741291482561,1463.9672091261148,1419.220977979553,1381.4581327761614,1532.0136728298196,1521.623065164839,1356.082721899406,1423.9176210363246,1361.0023334964021,1421.6600143100789,1446.6259022834595,1477.0247607612657,1468.0155693692275,1439.6658795387978,1508.9203541622715,1351.012404519073,1652.5855503652583,1516.6823574557302,1447.7159432870399,1510.2157062376343,1494.4793444150828,1491.7238253751784,1471.7962304270604,1543.465692590583,1454.650385760961,1459.7556899889407,1587.688970040191,1434.7683262916203,1454.4937123415475,1543.1709894084975,1469.0001802736813,1446.2198820401488,1415.2165002009842,1425.2699532755444,1425.38467766464,1449.5910314525281,1513.9451151046192,1444.1940421505149,1608.4116712465132,1412.3580488074936,1391.849067455781,1487.8745621876358,1541.143957845406,1458.8009264013047,1513.6441014227594,1483.299208113036,1502.625675895464,1426.3126247583318,1552.9161373132445,1532.2055879077848,1530.5294917361034,1495.6016083377258,1469.658046823977,1571.7958200259077,1464.508017205136,1434.5967775663673,1462.9186339061691,1418.7246046733462,1485.6753470757726,1485.894499719571,1433.8250728903483,1460.9179080514305,1669.4194026079347,1485.1314825374202,1517.5251308200081,1425.0789551686967,1486.2723535624536,1424.4998473464361,1484.2687010099296,1456.0151194586085,1670.6953239813722,1482.5738530942363,1551.3964082947612,,,,1474.9943072668577,1351.012404519073
Generation 10,1425.4438143396117,1438.20148354323,1436.7477259981442,1454.5703351359114,1438.4433817516172,1471.7075959406748,1465.0374983676222,1376.4380583697618,1472.5555498934623,1406.406818548673,1419.1369320420617,1456.8689651288828,1398.1018576146153,1490.889100371402,1383.1950623480543,1462.0656686398263,1354.3121230296676,1541.3601367235426,1481.738717705271,1422.5543888793795,1346.9257659710793,1497.37416717717,1485.6581928740459,1353.6523954244772,1460.8218918127568,1443.87761406681,1500.1994554693472,1420.463370541844,1427.525647918928,1435.8334819918946,1402.8861081304349,1464.0906262187596,1428.0158143984947,1410.0531350974352,1447.6682867639179,1456.5056099800158,1412.0028985847302,1430.3418747687076,1441.51260312498,1477.352875451317,1413.3357656816188,1483.189639497296,1355.9841091891908,1503.1702714137805,1435.2716837220983,1449.5910314525281,1448.0371680225528,1446.0419674198251,1491.7238253751784,1424.4998473464361,1534.7280319507008,1452.054668283957,1468.5704825366965,1433.0903010954905,1399.7924966006713,1440.2946700265206,1436.119590506391,1364.15717354353,1412.3580488074936,1412.3580488074936,1431.7050506270962,1415.2165002009842,1356.082721899406,1421.6600143100789,1485.247154258311,1419.9907777123362,1456.2877239136287,1376.061102606201,1379.3663062475384,1459.349076138144,1441.9314755072294,1394.504281473578,1414.3438020100243,1488.1292885286787,1384.2682101990138,1460.2388558933646,1380.6118346492976,1402.5137288160508,1473.9599986852545,1470.113904828269,1440.397851459358,1390.4935232813352,1479.0764312822798,1287.1524734377772,1449.5910314525281,1412.3580488074936,1409.4899628650403,1454.5372414020476,1531.0893655606624,1347.6075359826468,1418.6282020359436,1435.8644596657077,1410.2334226720068,1401.1061259780504,1467.7414208562018,1380.5519121164446,1500.864175729971,1501.380922367117,1478.2022198963848,1431.3364343890894,,,,1434.8219042116061,1287.1524734377772
