Number of Runs,10
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),100

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,C

Mutation,Creep
Step size,0.5,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mean,Best
Generation 1,1694.8649120404734,1592.5656811660904,1834.2630791910278,1593.5467824895109,1797.070742813747,1634.4583966914438,1665.425136398589,1679.7241479673023,1677.231602509437,1690.5345975084952,1676.6541655564397,1594.7573552394474,1666.2389007726351,1610.2862095196654,1603.0641875395243,1697.4622809329232,1664.7320766867997,1664.7320766867997,1705.1965833699517,1635.2447015730972,1681.2598358329446,1782.3780886312452,1779.5539625841875,1783.2952354366648,1625.2918714403338,1777.2536377624715,1701.4619045535212,1708.0512675037355,1782.0057989898787,1616.1534786190157,1679.936990599383,1722.6085186034225,1611.4629303906092,1703.3295854956286,1648.341356575405,1666.4511593108327,1695.3994458569791,1619.3930700292585,1623.4964164983717,1689.1773556914313,1760.5532411264587,1750.2177922031651,1718.5063792781034,1756.2061418849921,1498.5472119758224,1745.5023861403902,1795.8233133461856,1624.3569567607037,1690.9081457205325,1762.4037996969505,1683.5105185078637,1587.901002288023,1746.5263228494791,1678.7234647682044,1733.4272009220945,1733.4272009220945,1767.691815204645,1588.696352771461,1656.0150873164516,1615.8020235530064,1672.4314299068606,1833.1491343810228,1679.0288630872756,1724.4084888351563,1718.7340785791484,1525.3155195370643,1622.698516519764,1622.698516519764,1739.5530863422975,1720.5420002351934,1671.5111583210617,1614.5719999621865,1750.5723234187788,1686.7083613917232,1670.0388521504335,1670.0388521504335,1644.546907235353,1670.2456086508846,1696.543370843665,1638.227557993568,1650.4660292730093,1650.4660292730093,1704.309565027298,1715.8707050795915,1664.8160274373913,1640.4184404578987,1661.5211390133231,1722.6345417160278,1552.5905213461724,1790.9880114100042,1625.4129387381324,1651.1121715541683,1555.3828558801147,1717.7816899126583,1719.2571584352688,1596.9594516412337,1644.7355228564443,1641.3476354268037,1786.0916882178435,1664.0764044062907,,,,1680.969050374596,1498.5472119758224
Generation 2,1557.91085024211,1675.0738757973197,1512.77103622606,1699.9904389681806,1583.7247991388272,1632.3372985256347,1492.128503237658,1594.3197110261876,1650.4660292730093,1498.4636090966164,1546.8782757087542,1630.0692023981221,1543.642290441955,1600.4369182096207,1517.086771060066,1611.2929360165226,1595.7774479190948,1645.6679021402547,1523.8941396114942,1590.4550959173348,1671.1051075129976,1497.2874373861819,1577.8712374754496,1606.9892164538073,1613.10503588632,1535.8246024833056,1620.1765062887257,1584.8332065913946,1615.923016094428,1565.3390178431232,1564.4666787306955,1650.0604391994384,1602.6633133431617,1525.7163937334271,1571.8588315134534,1595.303689794906,1629.55131031974,1590.1066578412579,1525.5757051331777,1619.580497379085,1548.6618189318456,1592.625055185788,1572.689547328654,1668.217490412841,1552.7775855122459,1588.5092886053876,1669.7310031962757,1539.598352005358,1542.4518444139171,1543.9963698499284,1536.935119261073,1676.0047332576964,1580.9760852361296,1597.027374848175,1590.761397796247,1594.0990561330095,1526.25167280183,1680.9939883590691,1575.5348697190352,1532.438507507252,1622.698516519764,1596.9594516412337,1603.0641875395243,1555.3828558801147,1587.901002288023,1640.4184404578987,1508.7954755643225,1673.8628819631476,1610.4526269450507,1635.078284147712,1664.109834137913,1543.1358270229864,1664.7320766867997,1584.9584116973779,1582.163395571969,1589.0214838611528,1647.2934927502786,1534.1542920272555,1602.6335221908676,1534.1449277368063,1498.5472119758224,1594.7573552394474,1525.3155195370643,1594.7573552394474,1525.3155195370643,1525.3155195370643,1555.3828558801147,1592.5656811660904,1651.989114517528,1506.4579289021117,1645.9075128550828,1545.8092940255985,1555.3828558801147,1555.3828558801147,1625.3854943078977,1578.6689865991407,1637.8672119720213,1572.732306835766,1525.3155195370643,1555.3828558801147,,,,1585.2520613425552,1492.128503237658
Generation 3,1498.5472119758224,1498.5472119758224,1498.5472119758224,1498.4636090966164,1557.7483857252557,1463.4331912724206,1513.451289862701,1547.688832157669,1526.25167280183,1498.5472119758224,1545.8092940255985,1523.8941396114942,1562.3753338960346,1482.2447441515935,1498.4636090966164,1575.5348697190352,1525.3155195370643,1525.3155195370643,1497.2874373861819,1498.5472119758224,1470.407284760698,1553.715632348302,1498.4636090966164,1525.3155195370643,1610.466402918063,1419.8856655955424,1439.5046272050108,1605.7049165283013,1557.1124108691356,1446.6329554191577,1549.678086425151,1446.1565629368536,1518.7356343551887,1569.0857290321783,1508.7954755643225,1525.3155195370643,1526.25167280183,1533.9709252812222,1512.77103622606,1512.77103622606,1497.2874373861819,1525.3155195370643,1506.9767836070419,1533.635437322325,1505.4027638248126,1558.0897277920394,1498.5472119758224,1512.77103622606,1595.111916471018,1464.608716398966,1575.6455767061316,1462.7011646531064,1470.4093343638112,1590.4199245087557,1574.8053069060566,1456.9681415331193,1498.5472119758224,1512.77103622606,1580.0780977867744,1469.447180780544,1536.9319811718333,1473.1264924404086,1586.5228194944054,1486.6071290161785,1517.086771060066,1497.2874373861819,1482.7679227581748,1549.933581244903,1496.8482856453766,1518.7020945113054,1481.266226177067,1514.4848203057313,1507.7250043582828,1513.8415074320997,1507.9838345766846,1499.2752500842541,1487.1084099324867,1518.974503018018,1498.5472119758224,1506.4579289021117,1525.3155195370643,1525.3155195370643,1531.8200991087415,1457.5958415150983,1547.1541074031163,1505.757266140255,1525.3155195370643,1532.723547811236,1524.705780599132,1507.9838345766846,1534.1449277368063,1492.128503237658,1497.2874373861819,1534.1449277368063,1493.787638196203,1538.9019769796134,1525.3155195370643,1497.2874373861819,1512.77103622606,1525.3155195370643,,,,1515.7254490761802,1419.8856655955424
Generation 4,1445.7692962033047,1440.3682864208636,1439.5046272050108,1462.7011646531064,1446.6329554191577,1419.8856655955424,1473.1264924404086,1456.9681415331193,1463.4331912724206,1470.4093343638112,1446.1565629368536,1439.5046272050108,1431.6212138974477,1471.5034905725252,1460.7812632883847,1456.2610264945843,1422.3207881817327,1474.1519805563973,1429.2296679723404,1456.4315221695238,1423.8818018711459,1493.2913011105786,1471.8196657653357,1458.902668190171,1506.6997807880475,1431.2684555135797,1462.7011646531064,1457.5958415150983,1430.7575546815947,1466.3429140385142,1462.8081664744577,1471.0343591617739,1446.1565629368536,1446.1565629368536,1456.9681415331193,1446.6329554191577,1446.9366192735004,1480.9625623227244,1437.1475257084246,1478.4562180089727,1425.2808029547732,1512.77103622606,1471.9658959044073,1394.0763326279887,1505.5600868596898,1405.6815849584336,1434.3753507906708,1479.2979530010746,1492.8518591384575,1446.9887265282346,1449.6313675767256,1476.7839547369376,1359.4247172564687,1523.8941396114942,1498.5472119758224,1405.6815849584336,1497.2874373861819,1486.6071290161785,1492.89281617583,1366.4974766247235,1396.5071931940454,1523.8941396114942,1451.6132096539964,1449.538682118613,1422.2100344517626,1511.0822309494513,1463.5648238689591,1419.0220063796896,1446.1565629368536,1492.128503237658,1419.8856655955424,1487.1084099324867,1456.668790936559,1490.7078482205818,1457.5958415150983,1492.128503237658,1446.6329554191577,1473.1264924404086,1457.0386771889853,1452.8732347767238,1456.9681415331193,1469.447180780544,1452.4906791820235,1451.1104177702532,1456.1044823172665,1498.1510966020346,1453.8791267136162,1461.724617003781,1456.9681415331193,1446.1565629368536,1446.1565629368536,1462.7011646531064,1474.1721164928153,1494.7008269676123,1470.4093343638112,1486.6071290161785,1442.6788732193017,1472.9248704980955,1420.9350359950438,1464.7261541468206,,,,1457.5787590492112,1359.4247172564687
Generation 5,1410.3355206940728,1416.2811002594046,1400.385003609228,1396.8700276970899,1494.348457214878,1367.6775529802967,1378.9342951348185,1393.2447664483386,1434.8251490227779,1379.1368492007534,1392.7620628834513,1493.7627864742658,1416.0167710723952,1386.1720070800839,1418.7162313922809,1361.6435218592314,1366.4974766247235,1419.8856655955424,1429.2296679723404,1430.7575546815947,1422.2100344517626,1430.7575546815947,1419.0220063796896,1365.6835138315523,1359.4247172564687,1405.6815849584336,1438.41218800634,1388.8525598693,1405.6815849584336,1420.9350359950438,1488.051105734868,1365.5381379604446,1359.4247172564687,1366.4974766247235,1396.5071931940454,1405.6815849584336,1370.7373420216031,1409.6224112299094,1419.8856655955424,1386.1720070800839,1359.4247172564687,1403.5799525623002,1378.9342951348185,1386.1720070800839,1439.5046272050108,1420.9350359950438,1396.5071931940454,1396.5071931940454,1429.2296679723404,1419.0220063796896,1359.4247172564687,1366.4974766247235,1420.1928612778925,1413.4618576245778,1398.9283468962349,1389.7791641802514,1359.4247172564687,1423.8818018711459,1359.4247172564687,1359.4247172564687,1445.7051560764894,1393.2025158987426,1446.6329554191577,1378.9342951348185,1377.3916730585684,1424.7971050939107,1419.8856655955424,1373.9144024515972,1455.6423058444188,1333.0120793843905,1416.3875698891684,1396.7107691185097,1359.4247172564687,1396.5071931940454,1439.5046272050108,1446.1565629368536,1419.8856655955424,1444.364422696467,1445.7692962033047,1422.2100344517626,1359.4247172564687,1396.5071931940454,1456.1044823172665,1385.238312244156,1401.8577981746866,1385.5747144450806,1419.8856655955424,1386.9800974500447,1436.5540973436869,1353.6281745943766,1419.0220063796896,1429.2296679723404,1369.6323788491195,1419.0220063796896,1425.863843077184,1392.8533845686243,1456.7051727135465,1370.5595751620936,1396.5071931940454,1366.4974766247235,,,,1403.56204933458,1333.0120793843905
Generation 6,1359.4247172564687,1359.4247172564687,1333.0120793843905,1361.6435218592314,1333.0120793843905,1333.0120793843905,1333.0120793843905,1333.0120793843905,1365.6835138315523,1359.4247172564687,1386.1720070800839,1366.4974766247235,1359.4247172564687,1361.6435218592314,1353.6281745943766,1359.4247172564687,1359.4247172564687,1359.4247172564687,1359.4247172564687,1359.4247172564687,1340.0848387526453,1359.4247172564687,1353.6281745943766,1359.4247172564687,1365.6835138315523,1359.4247172564687,1361.6435218592314,1359.4247172564687,1345.0555171351234,1379.90733808179,1396.5071931940454,1359.4247172564687,1359.4247172564687,1353.6281745943766,1359.4247172564687,1353.6281745943766,1359.4247172564687,1359.4247172564687,1359.4247172564687,1353.6281745943766,1359.4247172564687,1327.2155367222986,1359.4247172564687,1359.4247172564687,1373.9144024515972,1353.1878677851682,1364.4715282844504,1347.4748462347584,1366.4974766247235,1359.4247172564687,1359.4247172564687,1353.6281745943766,1359.4247172564687,1359.4247172564687,1365.6835138315523,1359.4247172564687,1359.4247172564687,1359.4247172564687,1359.4247172564687,1359.4247172564687,1361.6435218592314,1361.6435218592314,1366.4974766247235,1379.90733808179,1366.300470066918,1393.5092507987792,1365.6835138315523,1361.6435218592314,1359.4247172564687,1333.0120793843905,1366.4974766247235,1359.4247172564687,1359.4247172564687,1353.6281745943766,1361.6435218592314,1359.4247172564687,1385.238312244156,1333.0120793843905,1378.9342951348185,1359.4247172564687,1359.4247172564687,1366.4974766247235,1366.4974766247235,1366.4974766247235,1359.4247172564687,1359.4247172564687,1353.6281745943766,1359.4247172564687,1359.4247172564687,1333.0120793843905,1366.4974766247235,1366.4974766247235,1359.4247172564687,1359.4247172564687,1333.0120793843905,1359.4247172564687,1353.6281745943766,1359.4247172564687,1366.912891073293,1354.1553480424072,,,,1358.8553954147742,1327.2155367222986
Generation 7,1327.2155367222986,1359.4247172564687,1347.4748462347584,1333.0120793843905,1353.6281745943766,1333.0120793843905,1333.0120793843905,1333.0120793843905,1353.6281745943766,1354.1553480424072,1333.0120793843905,1333.0120793843905,1327.2155367222986,1333.0120793843905,1333.0120793843905,1333.0120793843905,1333.0120793843905,1353.1878677851682,1333.0120793843905,1327.2155367222986,1333.0120793843905,1333.0120793843905,1333.0120793843905,1340.0848387526453,1333.0120793843905,1333.0120793843905,1333.0120793843905,1333.0120793843905,1333.0120793843905,1333.0120793843905,1359.4247172564687,1321.0622083626804,1333.0120793843905,1327.2155367222986,1333.0120793843905,1333.0120793843905,1333.0120793843905,1333.0120793843905,1366.1634041575971,1320.4768498211702,1333.0120793843905,1333.0120793843905,1327.2155367222986,1333.0120793843905,1342.949151872744,1335.11844464677,1327.2155367222986,1333.0120793843905,1353.1878677851682,1333.0120793843905,1359.4247172564687,1333.105646113413,1359.4247172564687,1327.7427101703292,1333.0120793843905,1359.4247172564687,1333.0120793843905,1333.0120793843905,1333.0120793843905,1353.6281745943766,1353.6281745943766,1327.2155367222986,1333.0120793843905,1333.0120793843905,1345.0555171351234,1345.0555171351234,1340.0848387526453,1333.0120793843905,1333.0120793843905,1327.2155367222986,1340.0848387526453,1333.0120793843905,1333.0120793843905,1347.4748462347584,1359.4247172564687,1353.6281745943766,1321.0622083626804,1359.4247172564687,1333.0120793843905,1333.0120793843905,1353.6281745943766,1353.6281745943766,1353.6281745943766,1353.6281745943766,1333.0120793843905,1333.0120793843905,1327.2155367222986,1359.4247172564687,1333.0120793843905,1327.2155367222986,1359.4247172564687,1347.4748462347584,1333.0120793843905,1353.6281745943766,1359.4247172564687,1333.0120793843905,1353.6281745943766,1340.0848387526453,1359.4247172564687,1340.0848387526453,,,,1339.2847638250655,1320.4768498211702
Generation 8,1321.0622083626804,1327.2155367222986,1327.2155367222986,1321.0622083626804,1327.2155367222986,1327.2155367222986,1333.0120793843905,1333.0120793843905,1321.0622083626804,1327.2155367222986,1321.0622083626804,1333.0120793843905,1327.2155367222986,1333.0120793843905,1327.2155367222986,1321.0622083626804,1321.2471190403949,1327.0306260445839,1327.2155367222986,1327.2155367222986,1327.2155367222986,1327.2155367222986,1327.2155367222986,1333.0120793843905,1321.0622083626804,1320.4768498211702,1333.0120793843905,1320.4768498211702,1327.2155367222986,1327.2155367222986,1333.0120793843905,1314.6803071590782,1327.2155367222986,1327.2155367222986,1333.0120793843905,1333.0120793843905,1327.2155367222986,1333.0120793843905,1333.0120793843905,1333.0120793843905,1333.0120793843905,1314.6803071590782,1298.4299298758792,1349.8478152090997,1321.0622083626804,1327.2155367222986,1327.2155367222986,1327.2155367222986,1327.2155367222986,1327.2155367222986,1321.0622083626804,1327.2155367222986,1333.0120793843905,1327.2155367222986,1327.2155367222986,1327.2155367222986,1327.2155367222986,1321.0622083626804,1321.0622083626804,1327.2155367222986,1333.0120793843905,1320.4768498211702,1321.0622083626804,1333.0120793843905,1333.0120793843905,1333.0120793843905,1321.0622083626804,1321.0622083626804,1327.2155367222986,1327.2155367222986,1327.2155367222986,1333.0120793843905,1327.2155367222986,1333.0120793843905,1314.6803071590782,1333.0120793843905,1327.2155367222986,1333.0120793843905,1327.7427101703292,1327.2155367222986,1333.0120793843905,1327.2155367222986,1333.0120793843905,1327.2155367222986,1327.2155367222986,1327.2155367222986,1315.207480607109,1333.0120793843905,1327.2155367222986,1327.2155367222986,1327.2155367222986,1327.2155367222986,1327.2155367222986,1333.0120793843905,1321.0622083626804,1327.2155367222986,1327.2155367222986,1333.0120793843905,1333.0120793843905,1327.2155367222986,,,,1327.161009809545,1298.4299298758792
Generation 9,1308.5269787994598,1327.2155367222986,1327.2155367222986,1321.0622083626804,1321.0622083626804,1321.0622083626804,1314.6803071590782,1314.6803071590782,1320.4768498211702,1315.207480607109,1320.4768498211702,1315.207480607109,1320.4768498211702,1314.6803071590782,1314.6803071590782,1321.0622083626804,1321.0622083626804,1298.4299298758792,1354.1846762499335,1282.0850127198555,1321.0622083626804,1321.0622083626804,1321.0622083626804,1321.0622083626804,1298.4299298758792,1321.0622083626804,1320.4768498211702,1314.6803071590782,1333.0120793843905,1308.5269787994598,1285.8947003126586,1333.0120793843905,1302.7304361373676,1333.0120793843905,1321.0622083626804,1321.0622083626804,1314.6803071590782,1314.6803071590782,1308.5269787994598,1333.0120793843905,1285.8947003126586,1327.2155367222986,1308.5269787994598,1327.2155367222986,1327.0306260445839,1321.0622083626804,1308.5269787994598,1327.2155367222986,1314.6803071590782,1320.4768498211702,1320.4768498211702,1321.0622083626804,1308.5269787994598,1333.0120793843905,1308.5269787994598,1333.0120793843905,1314.6803071590782,1327.7427101703292,1314.6803071590782,1314.6803071590782,1327.2155367222986,1285.8947003126586,1285.8947003126586,1327.2155367222986,1277.0997099852596,1336.0105270496979,1327.2155367222986,1308.5269787994598,1314.6803071590782,1327.2155367222986,1327.2155367222986,1308.5269787994598,1320.4768498211702,1321.0622083626804,1320.4768498211702,1314.6803071590782,1314.4953964813635,1321.2471190403949,1321.0622083626804,1321.0622083626804,1308.5269787994598,1327.7427101703292,1321.0622083626804,1298.4299298758792,1333.0120793843905,1314.6803071590782,1314.6803071590782,1314.6803071590782,1327.2155367222986,1285.8947003126586,1321.0622083626804,1321.0622083626804,1321.0622083626804,1321.0622083626804,1321.0622083626804,1321.0622083626804,1324.231745362875,1311.5107701588836,1320.4768498211702,1320.4768498211702,,,,1317.2216135306799,1277.0997099852596
Generation 10,1308.5269787994598,1285.8947003126586,1314.6803071590782,1282.0850127198555,1308.5269787994598,1285.8947003126586,1285.8947003126586,1298.4299298758792,1282.0850127198555,1285.8947003126586,1285.8947003126586,1285.8947003126586,1285.8947003126586,1285.8947003126586,1285.8947003126586,1308.5269787994598,1298.4299298758792,1314.6803071590782,1277.0997099852596,1298.4299298758792,1282.0850127198555,1285.8947003126586,1308.5269787994598,1298.4299298758792,1270.4418805168627,1336.5150281584763,1285.8947003126586,1285.8947003126586,1285.8947003126586,1308.5269787994598,1308.5269787994598,1308.5269787994598,1285.8947003126586,1298.4299298758792,1308.5269787994598,1308.5269787994598,1312.8638398402936,1272.7628489444257,1285.8947003126586,1298.4299298758792,1308.5269787994598,1285.8947003126586,1285.8947003126586,1282.0850127198555,1298.4299298758792,1285.8947003126586,1282.0850127198555,1285.8947003126586,1277.0997099852596,1314.4953964813635,1308.5269787994598,1285.8947003126586,1285.8947003126586,1285.8947003126586,1282.0850127198555,1308.5269787994598,1282.0850127198555,1285.8947003126586,1282.0850127198555,1285.8947003126586,1302.7304361373676,1314.6803071590782,1285.8947003126586,1298.4299298758792,1285.8947003126586,1285.8947003126586,1277.0997099852596,1277.0997099852596,1315.2656657005882,1285.8947003126586,1298.4299298758792,1277.0997099852596,1308.5269787994598,1308.5269787994598,1277.0997099852596,1308.5269787994598,1285.8947003126586,1298.4299298758792,1308.5269787994598,1282.0850127198555,1285.8947003126586,1285.8947003126586,1285.8947003126586,1285.8947003126586,1285.8947003126586,1314.4953964813635,1302.7304361373676,1308.5269787994598,1308.5269787994598,1285.8947003126586,1300.5362951382585,1283.7883350502793,1311.5107701588836,1308.5269787994598,1285.8947003126586,1324.0459997221037,1285.8947003126586,1308.5269787994598,1299.7319884720607,1285.8947003126586,,,,1294.2615609943612,1270.4418805168627
