Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,C

Mutation,Creep
Step size,0.5,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,,,,137.45887069938522,137.45887069938522
Generation 2,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,,,,137.45887069938522,137.45887069938522
Generation 3,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,,,,137.45887069938522,137.45887069938522
Generation 4,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,,,,137.45887069938522,137.45887069938522
Generation 5,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,137.45887069938522,,,,137.45887069938522,137.45887069938522

Best Mean,137.45887069938522
Best Mean Generation,1

Lowest,137.45887069938522
Lowest Generation,1



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,,,,155.3754670571352,155.3754670571352
Generation 2,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,,,,155.3754670571352,155.3754670571352
Generation 3,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,,,,155.3754670571352,155.3754670571352
Generation 4,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,,,,155.3754670571352,155.3754670571352
Generation 5,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,155.3754670571352,,,,155.3754670571352,155.3754670571352

Best Mean,155.3754670571352
Best Mean Generation,1

Lowest,155.3754670571352
Lowest Generation,1



Run 1
,Mean,Lowest
Generation 1,137.45887069938522,137.45887069938522
Generation 2,137.45887069938522,137.45887069938522
Generation 3,137.45887069938522,137.45887069938522
Generation 4,137.45887069938522,137.45887069938522
Generation 5,137.45887069938522,137.45887069938522

Best Mean,137.45887069938522
Best Mean Generation,1

Lowest,137.45887069938522
Lowest Generation,1


Run 2
,Mean,Lowest
Generation 1,155.3754670571352,155.3754670571352
Generation 2,155.3754670571352,155.3754670571352
Generation 3,155.3754670571352,155.3754670571352
Generation 4,155.3754670571352,155.3754670571352
Generation 5,155.3754670571352,155.3754670571352

Best Mean,155.3754670571352
Best Mean Generation,1

Lowest,155.3754670571352
Lowest Generation,1



2,2,:,2,4,:,0,3
