Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.2

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,148.159342148447,148.159342148447,180.32853249492956,138.93762782527068,168.21242673719505,132.41334454160028,145.3315055863717,169.62756775192724,163.9487444963981,174.70205692770944,,,,156.9820490658296,132.41334454160028
Generation 2,149.9201804637639,152.12073182976363,145.3315055863717,148.159342148447,146.6208892958252,137.64824411581716,148.159342148447,168.21242673719505,124.65274554033593,146.698226826535,,,,146.75236346925016,124.65274554033593
Generation 3,140.56278701262337,143.7836839297288,124.65274554033593,124.65274554033593,146.6208892958252,146.6208892958252,145.3315055863717,146.6208892958252,154.38148829708956,138.93762782527068,,,,141.21652516192316,124.65274554033593
Generation 4,136.02308492846447,127.56728843714214,124.65274554033593,124.65274554033593,137.57090658510734,132.41334454160028,159.23495776906432,125.03417564257802,138.93762782527068,138.93762782527068,,,,134.50245046351696,124.65274554033593
Generation 5,124.65274554033593,124.65274554033593,124.65274554033593,125.03417564257802,124.65274554033593,127.56728843714214,122.11963274577181,140.48544948191355,124.65274554033593,143.7836839297288,,,,128.2253957938814,122.11963274577181

Best Mean,128.2253957938814
Best Mean Generation,5

Lowest,122.11963274577181
Lowest Generation,5



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,182.9312652192267,192.9553845500047,212.95483499394595,212.95483499394595,212.54320476440154,182.34652766893566,212.20309268230594,162.59073767699158,185.92397935382812,150.13789961540323,,,,190.75417615189892,150.13789961540323
Generation 2,182.34652766893566,192.9553845500047,168.29672820118253,187.24939402581373,207.55125075045012,187.58310715108254,182.9312652192267,182.9312652192267,162.59073767699158,150.13789961540323,,,,180.45735600783175,150.13789961540323
Generation 3,162.59073767699158,168.29672820118253,168.29672820118253,162.59073767699158,156.87852686611558,194.34946655429366,155.47718345954047,177.59198137508946,168.29672820118253,182.34652766893566,,,,169.6715345881506,155.47718345954047
Generation 4,163.3730086143065,154.69491252222554,169.07899913849747,156.09625592880064,156.7364158296013,167.03749583112167,168.29672820118253,168.29672820118253,162.59073767699158,162.59073767699158,,,,162.87920196209015,154.69491252222554
Generation 5,162.59073767699158,157.51868676691623,162.59073767699158,156.7364158296013,163.3730086143065,162.59073767699158,154.69491252222554,156.09625592880064,162.59073767699158,162.59073767699158,,,,160.13729680468083,154.69491252222554

Best Mean,160.13729680468083
Best Mean Generation,5

Lowest,150.13789961540323
Lowest Generation,1



Run 1
,Mean,Lowest
Generation 1,156.9820490658296,132.41334454160028
Generation 2,146.75236346925016,124.65274554033593
Generation 3,141.21652516192316,124.65274554033593
Generation 4,134.50245046351696,124.65274554033593
Generation 5,128.2253957938814,122.11963274577181

Best Mean,128.2253957938814
Best Mean Generation,5

Lowest,122.11963274577181
Lowest Generation,5


Run 2
,Mean,Lowest
Generation 1,190.75417615189892,150.13789961540323
Generation 2,180.45735600783175,150.13789961540323
Generation 3,169.6715345881506,155.47718345954047
Generation 4,162.87920196209015,154.69491252222554
Generation 5,160.13729680468083,154.69491252222554

Best Mean,160.13729680468083
Best Mean Generation,5

Lowest,150.13789961540323
Lowest Generation,1



2,2,:,3,9,:,5,3
