Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,4
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,172.0050472418257,163.04331752711136,171.71481882262452,152.3372027348482,181.9483217359537,137.48827689780134,152.3372027348482,152.3372027348482,152.3372027348482,152.3372027348482,,,,158.78857958995576,137.48827689780134
Generation 2,137.48827689780134,152.3372027348482,168.8789402738364,146.50157998812315,152.3372027348482,152.3372027348482,152.3372027348482,152.3372027348482,152.3372027348482,152.3372027348482,,,,151.92292163036984,137.48827689780134
Generation 3,152.3372027348482,152.3372027348482,152.3372027348482,137.48827689780134,131.6526541510763,152.3372027348482,152.3372027348482,152.3372027348482,137.48827689780134,152.3372027348482,,,,147.29896270906164,131.6526541510763
Generation 4,137.48827689780134,137.48827689780134,152.3372027348482,152.3372027348482,137.48827689780134,131.6526541510763,131.6526541510763,137.48827689780134,137.48827689780134,131.6526541510763,,,,138.7073752411932,131.6526541510763
Generation 5,131.6526541510763,131.6526541510763,131.6526541510763,131.6526541510763,131.6526541510763,131.6526541510763,131.6526541510763,137.48827689780134,137.48827689780134,131.6526541510763,,,,132.8197787004213,131.6526541510763

Best Mean,132.8197787004213
Best Mean Generation,5

Lowest,131.6526541510763
Lowest Generation,3



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,158.65446813233729,122.72137210157919,150.1545547143479,130.5690347068255,122.72137210157919,122.72137210157919,122.06912128883616,122.06912128883616,129.55590298835872,151.1676864328147,,,,133.24040058570938,122.06912128883616
Generation 2,122.06912128883616,122.06912128883616,122.06912128883616,122.72137210157919,137.21369051792078,107.57680287249457,121.91271992008723,122.87777347032812,137.2141760806114,107.57631730980394,,,,122.33002161393335,107.57631730980394
Generation 3,107.57631730980394,107.57631730980394,122.06912128883616,107.57631730980394,107.57631730980394,107.57631730980394,122.06912128883616,107.57680287249457,107.57631730980394,107.57680287249457,,,,110.4749752181485,107.57631730980394
Generation 4,107.57631730980394,107.57631730980394,107.57631730980394,107.57631730980394,107.57631730980394,107.57631730980394,107.57631730980394,107.57631730980394,107.57631730980394,107.57631730980394,,,,107.57631730980395,107.57631730980394
Generation 5,107.57631730980394,107.57631730980394,107.57631730980394,107.57631730980394,107.57631730980394,107.57631730980394,107.57631730980394,107.57631730980394,107.57631730980394,107.57631730980394,,,,107.57631730980395,107.57631730980394

Best Mean,107.57631730980395
Best Mean Generation,4

Lowest,107.57631730980394
Lowest Generation,2



Run 1
,Mean,Lowest
Generation 1,158.78857958995576,137.48827689780134
Generation 2,151.92292163036984,137.48827689780134
Generation 3,147.29896270906164,131.6526541510763
Generation 4,138.7073752411932,131.6526541510763
Generation 5,132.8197787004213,131.6526541510763

Best Mean,132.8197787004213
Best Mean Generation,5

Lowest,131.6526541510763
Lowest Generation,3


Run 2
,Mean,Lowest
Generation 1,133.24040058570938,122.06912128883616
Generation 2,122.33002161393335,107.57631730980394
Generation 3,110.4749752181485,107.57631730980394
Generation 4,107.57631730980395,107.57631730980394
Generation 5,107.57631730980395,107.57631730980394

Best Mean,107.57631730980395
Best Mean Generation,4

Lowest,107.57631730980394
Lowest Generation,2



2,2,:,3,9,:,5,4
