Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.01

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,100.95260457119716,107.57376000316653,92.78538364525119,179.08052442302755,153.53705368174147,100.95260457119716,104.15994015838996,104.36642441597374,138.6625213547888,197.84795167086645,,,,127.99187684956,92.78538364525119
Generation 2,100.95260457119716,92.78538364525119,92.78538364525119,100.95260457119716,100.95260457119716,100.95260457119716,107.90347314259786,100.62289143176584,135.8047954729601,125.3060182119479,,,,105.90183638345627,92.78538364525119
Generation 3,67.90514078103803,125.50313429597898,64.42939474294565,129.3085934735027,100.95260457119716,100.95260457119716,100.95260457119716,100.95260457119716,100.62289143176584,100.95260457119716,,,,99.25321775812172,64.42939474294565
Generation 4,67.90514078103803,64.42939474294565,100.95260457119716,100.95260457119716,100.95260457119716,100.95260457119716,100.95260457119716,64.42939474294565,98.27816976815362,70.57957558408157,,,,87.03846984751503,64.42939474294565
Generation 5,70.57957558408157,64.42939474294565,64.42939474294565,98.27816976815362,64.42939474294565,64.42939474294565,64.42939474294565,100.95260457119716,70.57957558408157,64.42939474294565,,,,72.69662939651877,64.42939474294565

Best Mean,72.69662939651877
Best Mean Generation,5

Lowest,64.42939474294565
Lowest Generation,3



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,158.16855672681925,144.2356949558561,200.50643874770316,212.34880264646654,158.16855672681925,205.75254276972743,188.02076706860277,177.2504882826588,144.2356949558561,185.07643609143477,,,,177.3763978971944,144.2356949558561
Generation 2,153.99004910256085,148.41420258011453,145.46160235808424,183.8505286892066,145.97547804179555,183.33665300549532,158.16855672681925,158.16855672681925,183.22198256846173,149.03447945599714,,,,160.96220892553544,145.46160235808424
Generation 3,160.50144365588784,143.64259111272696,143.64259111272696,160.50144365588784,145.97547804179555,145.46160235808424,146.06561348551296,148.3240671363971,159.40117385464671,140.05047760599837,,,,149.35664820196646,140.05047760599837
Generation 4,143.64259111272696,143.64259111272696,137.11609425473523,151.98809921607597,139.73353473415176,145.77854522993087,157.88400317647137,146.26003159214343,146.06561348551296,145.97547804179555,,,,145.8086581956271,137.11609425473523
Generation 5,147.80539657145238,141.9028080267875,160.32416341572957,120.4345219517326,137.11609425473523,137.11609425473523,120.4345219517326,160.32416341572957,136.48691172549053,155.74859790844846,,,,141.76932734765737,120.4345219517326

Best Mean,141.76932734765737
Best Mean Generation,5

Lowest,120.4345219517326
Lowest Generation,5



Run 1
,Mean,Lowest
Generation 1,127.99187684956,92.78538364525119
Generation 2,105.90183638345627,92.78538364525119
Generation 3,99.25321775812172,64.42939474294565
Generation 4,87.03846984751503,64.42939474294565
Generation 5,72.69662939651877,64.42939474294565

Best Mean,72.69662939651877
Best Mean Generation,5

Lowest,64.42939474294565
Lowest Generation,3


Run 2
,Mean,Lowest
Generation 1,177.3763978971944,144.2356949558561
Generation 2,160.96220892553544,145.46160235808424
Generation 3,149.35664820196646,140.05047760599837
Generation 4,145.8086581956271,137.11609425473523
Generation 5,141.76932734765737,120.4345219517326

Best Mean,141.76932734765737
Best Mean Generation,5

Lowest,120.4345219517326
Lowest Generation,5



2,2,:,3,6,:,2,2
