Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,C

Mutation,Creep
Step size,0.5,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,,,,154.60528971280013,154.6052897128001
Generation 2,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,,,,154.60528971280013,154.6052897128001
Generation 3,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,,,,154.60528971280013,154.6052897128001
Generation 4,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,,,,154.60528971280013,154.6052897128001
Generation 5,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,154.6052897128001,,,,154.60528971280013,154.6052897128001

Best Mean,154.60528971280013
Best Mean Generation,1

Lowest,154.6052897128001
Lowest Generation,1



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,,,,154.02233039440844,154.0223303944084
Generation 2,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,,,,154.02233039440844,154.0223303944084
Generation 3,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,,,,154.02233039440844,154.0223303944084
Generation 4,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,,,,154.02233039440844,154.0223303944084
Generation 5,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,154.0223303944084,,,,154.02233039440844,154.0223303944084

Best Mean,154.02233039440844
Best Mean Generation,1

Lowest,154.0223303944084
Lowest Generation,1



Run 1
,Mean,Lowest
Generation 1,154.60528971280013,154.6052897128001
Generation 2,154.60528971280013,154.6052897128001
Generation 3,154.60528971280013,154.6052897128001
Generation 4,154.60528971280013,154.6052897128001
Generation 5,154.60528971280013,154.6052897128001

Best Mean,154.60528971280013
Best Mean Generation,1

Lowest,154.6052897128001
Lowest Generation,1


Run 2
,Mean,Lowest
Generation 1,154.02233039440844,154.0223303944084
Generation 2,154.02233039440844,154.0223303944084
Generation 3,154.02233039440844,154.0223303944084
Generation 4,154.02233039440844,154.0223303944084
Generation 5,154.02233039440844,154.0223303944084

Best Mean,154.02233039440844
Best Mean Generation,1

Lowest,154.0223303944084
Lowest Generation,1



2,2,:,3,6,:,2,2
