Number of Runs,5
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),200

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,
Generation 1,1791.264841863866,1482.026598098856,,Generation 1,1793.485092210526,1568.3174851053682,,Generation 1,1800.616917980603,1551.2259365342256,,Generation 1,1814.2958100059345,1529.7723678687248,,Generation 1,1788.2630244758154,1540.9984145556516,
Generation 2,1663.9345299305558,1353.520486113022,,Generation 2,1679.862652477026,1457.568440165077,,Generation 2,1697.4957560677908,1485.1443461645563,,Generation 2,1690.5023112799615,1420.540952218037,,Generation 2,1702.8741420927067,1496.125032800387,
Generation 3,1562.244240920573,1357.7254247459055,,Generation 3,1586.7570058924723,1412.879857473497,,Generation 3,1599.4550212616223,1331.3798995512186,,Generation 3,1584.09734223662,1339.3687126609389,,Generation 3,1620.9925789013996,1330.042256090269,
Generation 4,1470.7435221839605,1295.1064780760782,,Generation 4,1493.7615408489335,1333.96494837392,,Generation 4,1498.2549291545533,1254.0045962338813,,Generation 4,1489.5466325520022,1265.7083590798513,,Generation 4,1529.6449224142025,1314.3064343843514,
Generation 5,1398.7746836112458,1209.011516294136,,Generation 5,1412.9909442210317,1241.7460247811769,,Generation 5,1397.5418366531003,1197.3847273803856,,Generation 5,1401.048225427915,1158.42901739328,,Generation 5,1447.6477353120579,1245.7721106530348,
Generation 6,1316.937461088143,1146.870653050608,,Generation 6,1334.2643497418817,1120.1876122293118,,Generation 6,1302.4368219114394,1120.8806659379388,,Generation 6,1326.9419278157538,1169.0352799124162,,Generation 6,1366.070435914311,1092.8782776923144,
Generation 7,1246.262701444799,1046.4536325611623,,Generation 7,1263.8858350408839,1039.3375289454532,,Generation 7,1232.971587312007,1097.190301409578,,Generation 7,1264.293817862538,1105.8232535269372,,Generation 7,1299.5870064269734,1115.3556603563952,
Generation 8,1174.5261354042498,1011.8988097320153,,Generation 8,1189.9920983951195,1038.9093845765108,,Generation 8,1164.92529974155,987.6973264242546,,Generation 8,1196.5611868691165,1047.3840470873847,,Generation 8,1222.1808128707544,1050.6911396085204,
Generation 9,1103.6748010212114,935.6798583316978,,Generation 9,1140.2462447107437,954.5386590474491,,Generation 9,1106.788286724983,802.3454102625852,,Generation 9,1142.1211645544674,980.646544817109,,Generation 9,1172.2442221513934,993.6872652730304,
Generation 10,1044.065075094578,830.64771318421,,Generation 10,1079.6623935147063,920.2944258530639,,Generation 10,1028.5672412290328,811.8371788716913,,Generation 10,1078.267257960575,913.7403267045355,,Generation 10,1112.4458259219232,956.6955205477075,
Generation 11,978.7359910408372,809.4672460048123,,Generation 11,1016.3079950800759,898.9053777179076,,Generation 11,968.5000793841441,792.4124898042206,,Generation 11,1014.4942639994314,833.688067311731,,Generation 11,1052.1782350219687,866.2290773823833,
Generation 12,932.1506054556271,768.1362996073692,,Generation 12,971.0426926559418,836.1306151953423,,Generation 12,911.8023291341207,746.4070259063583,,Generation 12,975.8611133006323,821.3022587980287,,Generation 12,999.537908562089,823.9094724885962,
Generation 13,873.974880309992,734.1104577771729,,Generation 13,914.1625793244175,785.8165168895218,,Generation 13,854.0134431838896,685.861800566397,,Generation 13,924.1602970442328,818.207824588594,,Generation 13,941.51294815823,773.5628098763071,
Generation 14,829.8319868924171,707.2735629072995,,Generation 14,858.3356703915634,734.1883482706853,,Generation 14,791.5399212549581,682.9207930776488,,Generation 14,881.8400404501043,752.4363430541493,,Generation 14,889.078989297892,725.9337073017673,
Generation 15,782.9619027355172,647.5106732724282,,Generation 15,829.4052024936447,727.016130642214,,Generation 15,754.4695170960878,647.8777005148802,,Generation 15,839.8434824182949,704.1635141136853,,Generation 15,836.8811596655574,703.4504063234624,
Generation 16,750.4982497953356,613.2606968454878,,Generation 16,785.9409928156326,658.849146458238,,Generation 16,719.438873934663,588.0511945137193,,Generation 16,804.1065727436359,690.2970694180492,,Generation 16,803.7270153319643,655.7394340374967,
Generation 17,718.1861108338974,572.7840742023161,,Generation 17,744.3030573597784,582.8209744216797,,Generation 17,695.1051078369142,584.5517050210691,,Generation 17,771.880246565742,659.7182934191819,,Generation 17,768.4191201767052,618.2826732987784,
Generation 18,668.3294657510696,539.5987275412427,,Generation 18,706.289575008357,584.8845351694408,,Generation 18,665.4946665132186,557.1417207804436,,Generation 18,748.803502369692,648.0466332586116,,Generation 18,734.0306061456806,615.6029607489792,
Generation 19,636.8752599332959,552.4186736332656,,Generation 19,679.068653989248,581.2449002154324,,Generation 19,636.0757838490181,522.7506305536373,,Generation 19,722.0971757126375,600.7343867387049,,Generation 19,703.5003269376878,571.9006588298874,
Generation 20,615.7084112841947,534.3326808909694,,Generation 20,650.0212954638923,556.2817142667777,,Generation 20,603.0158239241402,514.2579909956381,,Generation 20,690.0653071616985,594.1804449424519,,Generation 20,660.7799194360907,564.6356683755023,
Generation 21,587.0029621605864,484.958815695476,,Generation 21,623.0851060673641,499.7691836680547,,Generation 21,566.4315696571391,487.54013665595176,,Generation 21,659.9493046642799,570.9506496842266,,Generation 21,637.9207737000804,556.6923628710343,
Generation 22,561.8802379042108,455.5826564958305,,Generation 22,589.9614941114355,503.0293003513854,,Generation 22,538.4281950504777,453.9425434315533,,Generation 22,644.9735333440216,547.0160788624557,,Generation 22,619.5970945260322,512.3479195587465,
Generation 23,540.3665968746491,428.6264812082916,,Generation 23,565.7095828497805,469.796823271256,,Generation 23,513.5722218492166,451.71721141652245,,Generation 23,610.6469260530985,521.8590757656939,,Generation 23,603.6452768272752,506.78283861476774,
Generation 24,514.133439894031,425.6594569808534,,Generation 24,540.1652526245001,457.17896560821885,,Generation 24,510.68880148771365,432.7557572946937,,Generation 24,587.5060621813658,506.0128961142345,,Generation 24,572.5832174178986,494.6127263457207,
Generation 25,492.5273897810387,422.31185114746677,,Generation 25,524.4907759755399,453.1754943268903,,Generation 25,488.1576903612584,411.0099333434589,,Generation 25,563.6061634387383,480.3547816319052,,Generation 25,557.1702236897949,457.1812368154805,
Generation 26,483.4830405037506,403.7919181903932,,Generation 26,515.7507929136125,425.8602148586576,,Generation 26,478.13257113255185,384.4940836238428,,Generation 26,538.5304816312505,464.51928199776364,,Generation 26,537.7067537667027,437.15435337552265,
Generation 27,455.9480838396674,390.06447495351347,,Generation 27,489.32614000910786,415.07652476393696,,Generation 27,450.60779799668825,366.10645324241307,,Generation 27,517.9969787062695,448.3182123469609,,Generation 27,509.58218880866224,411.54911904128664,
Generation 28,451.7650738863268,382.7306702413265,,Generation 28,480.31725633064457,409.66264685813167,,Generation 28,426.5680761635857,357.45824644987465,,Generation 28,515.9701286454746,437.5444667138073,,Generation 28,479.65627987805084,406.62052467784395,
Generation 29,429.7771822326164,370.6235367614238,,Generation 29,465.640693021143,365.5822392054357,,Generation 29,425.44723666258295,361.0950153112276,,Generation 29,490.5689950196827,414.8222353845865,,Generation 29,469.85634232523756,402.2624226765854,
Generation 30,425.24278586457984,353.6184459870518,,Generation 30,451.07744176084213,379.6556232140407,,Generation 30,427.8149569706779,350.2312740521022,,Generation 30,483.5402066289533,419.644477368067,,Generation 30,461.7792869885215,366.5977026296182,
Generation 31,416.7776852206861,344.0988514325571,,Generation 31,428.798980950341,358.24289952553374,,Generation 31,423.9251646985572,343.4558025025975,,Generation 31,475.7896105770716,412.1277952393292,,Generation 31,458.67197590740005,359.2331297038513,
Generation 32,394.3782510011014,342.2728171484064,,Generation 32,427.98652632618195,354.3792030721215,,Generation 32,399.3535691033883,343.9987400148858,,Generation 32,471.07668874208844,394.21621299530625,,Generation 32,433.26747793080926,364.27996509643583,
Generation 33,396.4015570834596,320.0885214497489,,Generation 33,417.24270032615726,359.3172855142233,,Generation 33,400.2581049914801,341.50205004260397,,Generation 33,457.74578917119317,391.9349311610391,,Generation 33,419.4782383015816,368.60691262142177,
Generation 34,377.38806058229454,315.66278744512397,,Generation 34,417.3681511532475,345.73887831202285,,Generation 34,395.2309400202828,328.7355881960938,,Generation 34,451.5627273944638,367.8574943143158,,Generation 34,422.27579195169966,357.3457036681456,
Generation 35,364.1309841586206,303.82963574751295,,Generation 35,398.236061580038,320.93718442437444,,Generation 35,374.43825170635284,305.6548992692815,,Generation 35,439.37594699647855,363.4781309635654,,Generation 35,421.72042562176046,356.14043059590404,
Generation 36,353.7381438119274,295.37067123093505,,Generation 36,381.4401237267796,318.09919838882433,,Generation 36,360.08707006223574,284.63483448715704,,Generation 36,427.18082633826236,367.3521587669778,,Generation 36,414.1251818940275,357.0638103370728,
Generation 37,355.1548576778216,297.10375522126697,,Generation 37,375.28454143031695,317.54504516013753,,Generation 37,351.3139637513365,302.2162932858283,,Generation 37,409.7288153236199,343.5745509588727,,Generation 37,411.4265127866374,357.4130127379407,
Generation 38,340.2886659032336,288.8853170582147,,Generation 38,366.31813459850235,317.0290834986895,,Generation 38,341.3188788995019,289.8176164054969,,Generation 38,412.33818050538684,347.4458086571623,,Generation 38,394.8615601474579,325.2131366637759,
Generation 39,328.56658686658824,282.959713609201,,Generation 39,375.8318174155972,304.2845981599279,,Generation 39,344.2439916398094,277.97768547049645,,Generation 39,408.3396993612533,329.1401911241064,,Generation 39,397.97362278853353,329.4915736550827,
Generation 40,335.9084651669419,273.176813913816,,Generation 40,377.1423792403906,293.5841148365921,,Generation 40,344.9355250825467,280.3732673012629,,Generation 40,389.07226734171377,329.2424575546802,,Generation 40,387.8478839004894,331.2256102665658,
Generation 41,333.4329639650973,278.9585406043599,,Generation 41,368.3454711875162,286.0642388029738,,Generation 41,334.536091692607,258.6078869969175,,Generation 41,390.6003051725754,330.09866764056665,,Generation 41,386.13006557123134,330.2395841734358,
Generation 42,314.1126145096376,271.20677958959163,,Generation 42,344.67725180058767,286.7493394407785,,Generation 42,332.3612175393526,271.2525250771139,,Generation 42,387.26616254552175,327.3440203357453,,Generation 42,382.517457347963,329.8393967358048,
Generation 43,308.23330971515713,263.20404557658355,,Generation 43,344.240444459392,267.41520117513153,,Generation 43,316.0713294572478,265.1685492985208,,Generation 43,364.6974352468897,316.1015160047539,,Generation 43,385.32710764205405,324.47646138377297,
Generation 44,313.2206442786808,261.25204347312297,,Generation 44,326.5597672339179,265.365055157151,,Generation 44,322.6391668857383,262.4170232089798,,Generation 44,354.48756780916244,313.2414071148777,,Generation 44,369.12443101394257,306.06832555333676,
Generation 45,301.63329440678916,252.5240462641641,,Generation 45,326.6785594329681,265.365055157151,,Generation 45,304.6020635677632,258.7292211037915,,Generation 45,353.69393345891564,308.1328831184014,,Generation 45,368.68463507425906,304.0436947656061,
Generation 46,308.98603323239917,249.15447086820757,,Generation 46,326.14442286873344,254.6046959500369,,Generation 46,296.93590782528463,248.29248015179417,,Generation 46,344.8327013479859,294.2723329250787,,Generation 46,367.48515065478733,297.12808131227723,
Generation 47,310.7446225136871,250.63672059433452,,Generation 47,307.4315172201742,259.8127272744114,,Generation 47,303.8724604955821,251.4650530222708,,Generation 47,350.2366964062341,292.0437955154282,,Generation 47,352.0508275614459,299.50212582334166,
Generation 48,307.32443042169194,246.00263816615973,,Generation 48,300.0432894709723,251.14441062887215,,Generation 48,288.01396413256344,242.02667161861314,,Generation 48,350.2247909215755,296.6689066694769,,Generation 48,355.03106015700695,295.46139259333984,
Generation 49,290.9689819791313,236.13948682009118,,Generation 49,307.49699606800465,249.43186189845858,,Generation 49,299.2306428340167,244.20464269305342,,Generation 49,351.7105927956862,288.6988157299079,,Generation 49,338.3121966151239,285.8642074305436,
Generation 50,293.2351946979936,224.75137231297458,,Generation 50,308.92661691991407,247.58649697570036,,Generation 50,298.20902484465813,231.26268974285438,,Generation 50,333.8317883140204,271.9658593320736,,Generation 50,344.0773794936394,278.23915866815264,
Generation 51,279.71202292734625,232.76718362185443,,Generation 51,302.57103495300964,238.85709863279033,,Generation 51,300.9301445449018,247.84601434657543,,Generation 51,326.9243136796039,284.4072994256202,,Generation 51,330.6796732499232,277.3387948964747,
Generation 52,271.5010939418114,229.11861320079618,,Generation 52,300.73381924539166,245.69009773032883,,Generation 52,300.02879083907715,239.9259016343667,,Generation 52,336.54310152785894,270.8963076848097,,Generation 52,321.0670394670797,268.28505672962547,
Generation 53,265.61249247808996,228.25656301112838,,Generation 53,298.1559234995059,248.99029475068892,,Generation 53,294.90477595745523,236.5408136485314,,Generation 53,333.28933428151925,273.13683429926743,,Generation 53,322.035305866249,265.22063716088473,
Generation 54,261.81007526070954,228.91256538786706,,Generation 54,303.082976735325,240.33286075809087,,Generation 54,276.55226751795095,236.64232020571092,,Generation 54,332.12208401186587,266.56038758497573,,Generation 54,323.8484612514643,264.9253369759268,
Generation 55,271.41075501669036,224.72745595615697,,Generation 55,288.50389854658806,240.06920418066386,,Generation 55,268.94529897946154,234.49374107970482,,Generation 55,328.1276657516453,267.1918685827029,,Generation 55,309.33374423262205,245.82762119050847,
Generation 56,261.53681398178463,221.37134566340842,,Generation 56,281.56074321409574,246.13029242736593,,Generation 56,280.17768551109646,231.5430783096799,,Generation 56,311.549979713511,261.49652424433987,,Generation 56,311.1284187067089,244.95827239128278,
Generation 57,271.7696827919951,222.92099439473907,,Generation 57,296.0955466188074,243.83270866043597,,Generation 57,280.2866624364331,230.88371834457735,,Generation 57,306.38199802001566,258.2456905178018,,Generation 57,310.37386998695905,241.85509392750612,
Generation 58,255.86403091906726,221.0754410562772,,Generation 58,295.7067770638546,237.57851754497858,,Generation 58,278.83632740918443,230.5934774238799,,Generation 58,314.3954353292839,258.0288526787043,,Generation 58,306.9891899695036,241.98351660321248,
Generation 59,251.47306980872173,218.59846588781704,,Generation 59,280.4916959854677,233.4646162379354,,Generation 59,280.21516461968275,232.4055606613755,,Generation 59,300.7766418091272,250.23775233218146,,Generation 59,306.5364150002559,241.61073487132876,
Generation 60,251.5901755071774,218.124202580227,,Generation 60,289.2517361513949,236.37850602994376,,Generation 60,268.64180989719534,227.78364501319084,,Generation 60,305.07666880497186,249.91270502373357,,Generation 60,306.94874909297897,234.59929246074648,
Generation 61,247.7649543130279,207.31109038283637,,Generation 61,285.72597245273477,235.99053786201773,,Generation 61,280.52916020303104,223.6987441339429,,Generation 61,308.3141491799364,251.76679747219362,,Generation 61,288.365392874144,238.00264723804787,
Generation 62,260.82091745072063,212.00438727541655,,Generation 62,271.8222271851259,232.33544719576673,,Generation 62,277.74704314267984,226.10659274936063,,Generation 62,292.5794649482186,246.3147326882373,,Generation 62,292.0430716071485,237.59010404717367,
Generation 63,245.80300326757563,206.49909540098565,,Generation 63,281.05725225231413,223.46894109512846,,Generation 63,278.09853613038484,220.93010854431486,,Generation 63,297.41211759221574,245.16119975516017,,Generation 63,295.30003255669993,235.0043152562688,
Generation 64,242.75540072279492,205.77416438841738,,Generation 64,277.2004462855564,221.5225182322722,,Generation 64,279.65030646521905,223.08655778689513,,Generation 64,283.89174602170976,245.1968065117884,,Generation 64,297.27642764084254,235.09410353606938,
Generation 65,238.93938397738788,208.7364417603918,,Generation 65,280.40461281131445,227.14489192101496,,Generation 65,261.31563162522684,216.35522247205813,,Generation 65,293.3910637758355,238.0620917658024,,Generation 65,280.2880503088083,229.51542214304595,
Generation 66,256.2167539337707,201.75619062667647,,Generation 66,268.11562725051624,221.2726534688387,,Generation 66,255.61884457446249,220.39808308458805,,Generation 66,294.42444248260745,236.81013159948202,,Generation 66,271.7038605055254,226.28892323597904,
Generation 67,242.54215030133943,200.75438774336078,,Generation 67,277.8141247643769,223.24810661321544,,Generation 67,263.29778475643116,212.95579962852298,,Generation 67,297.44393821617496,231.48094750586029,,Generation 67,278.4454594076431,233.5264460946206,
Generation 68,254.99838741917617,201.366937638477,,Generation 68,278.62320759824075,223.41247823501874,,Generation 68,266.0941071887814,214.689737148498,,Generation 68,279.05540042424667,234.44064765599546,,Generation 68,275.5776084342956,222.79223384967952,
Generation 69,263.11047659505283,198.94691083315934,,Generation 69,278.7975706452616,219.90775483375307,,Generation 69,249.9610274691612,213.07784096496152,,Generation 69,271.2521802250955,226.74185058979174,,Generation 69,275.3227423355057,224.67382271718043,
Generation 70,249.18650963478888,196.22052341802066,,Generation 70,277.14520480873125,213.21399356445158,,Generation 70,245.53182911288425,207.83827226371966,,Generation 70,269.52037714746837,227.4447977026109,,Generation 70,279.47337617072685,218.3338538065102,
Generation 71,240.20737547262405,197.98996127068426,,Generation 71,259.9754980195001,209.00794852422086,,Generation 71,240.930472902147,205.7011631118695,,Generation 71,274.01242396046183,228.03593800703027,,Generation 71,272.87180535905026,219.79415824098896,
Generation 72,252.7384020751969,196.085594837573,,Generation 72,249.9881641266924,204.21216125131753,,Generation 72,237.49952730806655,205.93655126445015,,Generation 72,273.27570787764506,221.56680644492724,,Generation 72,272.1743463788012,222.0386954804452,
Generation 73,252.36287252713527,194.71985255702828,,Generation 73,263.17392616803664,211.5615738787335,,Generation 73,235.04081963455866,202.32956224503346,,Generation 73,273.57361022754486,227.4300928935968,,Generation 73,270.15737445406415,215.97382906992027,
Generation 74,238.0965874051106,192.9539682797622,,Generation 74,242.5845154439017,201.94748291892245,,Generation 74,244.29462258823358,197.68166183091216,,Generation 74,274.29091672443644,224.61430664715715,,Generation 74,273.11688853765963,207.26225061168907,
Generation 75,247.2359505121972,196.5085362293562,,Generation 75,255.9165698860232,202.30033189781614,,Generation 75,245.6850254039347,197.44469690487267,,Generation 75,275.8703210082437,224.29308896372197,,Generation 75,267.78047391422587,207.30243131182522,
Generation 76,232.99329907929456,191.2711691516372,,Generation 76,241.52799556484308,201.69100210940928,,Generation 76,250.83107144958822,198.06296438797642,,Generation 76,277.235196566774,223.85095284731597,,Generation 76,264.58660215455575,206.9847885582584,
Generation 77,248.3383015158851,196.2317254207286,,Generation 77,234.51446611749222,197.3224992331027,,Generation 77,237.1001920847054,195.30447880964118,,Generation 77,276.2241002109582,218.43560046011248,,Generation 77,264.0151898762347,205.2129692363693,
Generation 78,246.67068607680278,194.09274055915841,,Generation 78,231.8677008201413,190.3130678649644,,Generation 78,242.93439671286333,185.45090518377663,,Generation 78,270.7144315621034,216.83471579219088,,Generation 78,258.68211193798726,207.89993042851722,
Generation 79,232.22154224847873,190.22512609343835,,Generation 79,243.98143656821668,196.41046365012812,,Generation 79,242.01605959872174,187.92643067133076,,Generation 79,259.25692207608046,218.3964816428943,,Generation 79,262.9741453913117,205.02969554675246,
Generation 80,228.00559544462627,186.82681347678954,,Generation 80,243.76314569108456,182.13001967125535,,Generation 80,243.704482567192,186.27356137778327,,Generation 80,266.9169378265405,217.68571539158722,,Generation 80,261.9082992334513,212.46854665426144,
Generation 81,241.3303230031146,191.88021128930313,,Generation 81,242.15090481434916,189.1440840017899,,Generation 81,244.11424431807,190.75263993057706,,Generation 81,270.02840048916664,215.23793755787767,,Generation 81,252.11491301600225,201.7983826929402,
Generation 82,240.27970217244115,185.99633723418958,,Generation 82,242.97929439719528,191.67631455751814,,Generation 82,246.73630365414473,189.06413209127152,,Generation 82,270.883344928683,213.46214030182034,,Generation 82,259.09433705594176,198.34401427501393,
Generation 83,243.6642951531995,183.9279636577055,,Generation 83,242.75309000672794,189.08532190376832,,Generation 83,241.96778830848714,185.94625044821362,,Generation 83,269.2020424977123,212.38121994877667,,Generation 83,259.0451564166424,196.27426415905666,
Generation 84,244.45149287881424,185.3996789918681,,Generation 84,227.14207822567707,177.3681188617105,,Generation 84,241.2654127104385,183.29640852057958,,Generation 84,265.0203779533511,215.7412232022598,,Generation 84,258.46261504134236,197.00754461472934,
Generation 85,226.1896879076993,186.2566853014049,,Generation 85,238.54686591227343,176.82424220751864,,Generation 85,224.58912122278608,178.98070286073187,,Generation 85,268.4190373105175,210.96065862136925,,Generation 85,259.7285250103438,201.09766253405132,
Generation 86,238.54777681425043,179.32565476705008,,Generation 86,241.39777024140702,174.0441194836793,,Generation 86,220.70787712128157,177.84036811022315,,Generation 86,267.51308365699214,204.8970687089644,,Generation 86,256.60877534694214,201.354175620742,
Generation 87,238.05529899938946,180.0954195900398,,Generation 87,223.5218698187776,181.55046604365748,,Generation 87,228.2467300457666,176.9372177550008,,Generation 87,250.14815780773353,207.58314631566975,,Generation 87,256.0867433601217,202.73149627840894,
Generation 88,238.3025810061148,180.88820771070198,,Generation 88,213.23369681074095,176.22164867490244,,Generation 88,231.24278232095065,179.2191917408344,,Generation 88,243.86923419442172,208.27976764046525,,Generation 88,257.16789083095387,201.10125733842585,
Generation 89,221.2255577173367,182.1575550085455,,Generation 89,225.10938587528184,178.6321543751717,,Generation 89,234.37582881169598,180.4653579504518,,Generation 89,254.42228724571632,202.80474188304333,,Generation 89,250.63329921344356,196.14040384096563,
Generation 90,215.26525196378273,175.203625309941,,Generation 90,214.789966905652,179.31325607499002,,Generation 90,219.94260934655384,180.57683647910198,,Generation 90,253.39207902927265,204.95762188309516,,Generation 90,238.21897431745026,197.79507079671384,
Generation 91,229.8818052482571,170.83910304940343,,Generation 91,225.81704619395182,173.35532213645,,Generation 91,227.9852482882825,175.55401261315546,,Generation 91,257.482704751538,191.76976928682564,,Generation 91,246.3770926377182,195.36970451023865,
Generation 92,212.24964811394474,168.51761811739163,,Generation 92,224.97042064254106,171.74484400685537,,Generation 92,227.26540787830527,175.71537033005245,,Generation 92,253.32990268246874,188.98634992471523,,Generation 92,248.11275552754174,192.75566113021046,
Generation 93,207.1734627256485,173.0233194075647,,Generation 93,225.66628079626508,169.8226333553547,,Generation 93,229.56988358838473,169.7229562904472,,Generation 93,254.11928908491146,189.9528523808575,,Generation 93,229.13367806684514,189.5574923304564,
Generation 94,209.35745425133445,174.09358564129673,,Generation 94,225.1072567526987,170.6619546703954,,Generation 94,217.3094878251524,169.71489781247942,,Generation 94,251.01765345245826,190.16974902299035,,Generation 94,224.45253418362324,185.64534655451484,
Generation 95,216.90095384353626,170.66921996649046,,Generation 95,223.21089453596582,170.37505476965282,,Generation 95,225.70351662529706,169.43216897516254,,Generation 95,246.28762435633843,191.83245620212415,,Generation 95,241.48028739167898,185.6551863950101,
Generation 96,211.51531693452935,171.07526798211325,,Generation 96,226.887567006955,170.2348255621182,,Generation 96,226.49976774184822,167.60444860449252,,Generation 96,245.85040999057,194.0886338323569,,Generation 96,243.47215741667324,192.09814953583032,
Generation 97,221.13378894042995,172.6035159572067,,Generation 97,227.91000152434788,169.63877764229733,,Generation 97,212.56538680966563,170.39953184604633,,Generation 97,245.1777279751019,190.18450326308596,,Generation 97,242.625997056481,190.11055242992074,
