Number of Runs,10
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),100

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mean,Best
Generation 1,1835.7829627342421,1802.2873280810409,1822.8748615788732,1928.5907381845227,1904.340113266392,1710.607966509789,1756.237563695846,1640.0400392127576,1815.9951543068373,1812.6656981139145,1761.5585852423023,1657.3696465797016,1724.967984656307,1712.7961718795127,1766.0167182622224,1743.6530549313688,1868.7803269705228,1891.464043680927,1940.7754944789276,1696.5538513270394,1798.021655870836,1840.3340189314852,1884.686530361229,1869.0863009279356,1957.416161967582,1775.549627011586,1766.2620548592374,1843.5504740901329,1812.2298003673513,1884.3930652737786,1761.3834098768323,1748.864413969847,1568.7015713239625,1603.7522672881119,1830.8696312096422,1770.4220982590257,1730.3526954617573,1802.583072350329,1823.0303718247112,1972.0124553798087,1820.7933015527512,1854.8668727058562,1548.2247079467143,1794.0374917512618,1643.550540317931,1918.2767053427651,1966.625785771765,1710.3617054861013,1812.4710776175598,1749.3139145605749,1779.0695313985761,1779.9947253400433,1715.8259948697714,2005.540244232877,1753.0256510925715,1626.8227327033756,1797.0024493288015,1613.1200438841029,1691.896156953565,1627.0776934843666,1830.663003668544,1797.0396203315836,1884.4583602510488,1655.819061545934,1720.92106588224,1790.2471255262521,1756.56758770035,1740.1119585313302,1861.9527797098935,1791.590340055564,1781.3844158293496,1760.6504082036172,1858.7851268853428,1746.3495222653005,1824.7782468006594,1763.2564156392898,1742.1587056257358,1813.7274047856768,1672.8149221918713,1499.6389164202035,1703.663133984494,1791.1084738223803,1895.2233234130044,1707.8055642085458,1727.824414156812,1511.6081192890936,1824.5054930482727,1768.4564433438054,1966.8777417485026,1883.2559786333586,1559.2508004669685,1736.4561202499353,1879.917267576815,1917.047177636226,1782.493443083976,1710.490221286122,1899.083907809384,1880.5175082866444,1965.8438036507455,1765.8665729113977,,,,1782.149678030958,1499.6389164202035
Generation 2,1827.6338268680563,1730.9454957645953,1736.05509201103,1853.1946528855267,1820.7080395629,1633.4352366545907,1556.9450344883116,1598.5129434778257,1823.5107784559823,1694.412736755059,1689.4032862152476,1698.9780317304298,1596.5638764169266,1667.4868263995593,1608.6945762071507,1748.4808519579822,1715.7907046437192,1668.90602098708,1628.0737231293715,1642.299549891935,1679.1222819560026,1704.2680384477228,1694.8327290135242,1768.8008885888366,1713.7297562521935,1771.314966307029,1780.5435073302976,1696.2087688150618,1783.698897798236,1768.091799293646,1590.1347528840324,1513.2564308242831,1638.6802216756719,1862.2398989941626,1836.6867452688316,1789.3433429916627,1846.6139635613042,1627.6679356555774,1674.8679819167,1893.436064426563,1588.0974566622824,1836.0198571536675,1768.8190562409654,1607.5725518039758,1665.9266881826425,1595.2708134798625,1822.8748615788732,1822.8748615788732,1739.461146730293,1807.8219584965677,1665.7167739218075,1731.764831189224,1624.0394758859488,1828.8192059915687,1722.2878494707606,1826.639348396734,1520.7408182759746,1800.1847898166734,1789.0371014414848,1728.2837558721676,1558.5742325209994,1725.644552602276,1846.5317630456689,1633.842295098574,1783.7534769250642,1673.6237092071117,1506.904385746307,1827.8960417322473,1876.9840910570101,1673.8401491605969,1626.063457006629,1678.9527438310388,1853.3499175932288,1705.6653027859861,1559.9571549188574,1693.8096699959713,1739.887510348658,1800.5654309267507,1763.0362001496637,1746.4834276931028,1657.3696465797016,1603.7522672881119,1861.9527797098935,1724.967984656307,1818.5534630926786,1722.4712460619667,1654.6115986059372,1562.0088484407324,1627.9352313545196,1533.4095204762975,1765.2448537351722,1745.0730035056163,1767.9136958826357,1493.0083379670325,1595.9508895228105,1804.6884468258731,1619.9564529137665,1571.5786204600017,1761.086830838457,1750.9189164230647,,,,1709.8364160536125,1493.0083379670325
Generation 3,1671.4804725141223,1551.864064095112,1670.6853978132917,1587.951276776147,1612.0623751059622,1690.4735424663152,1719.5346284484863,1537.3069490057705,1815.5424784049824,1760.4609347279197,1695.5123645903263,1574.2786740930815,1608.4143146617498,1601.0508849775947,1537.332671507018,1797.4677559715365,1686.9255553812059,1722.9696857904212,1556.9450344883116,1627.6679356555774,1662.999950904597,1715.5869011740451,1617.1145898484579,1620.3907187941863,1672.2345347653177,1742.8660236827961,1800.1847898166734,1715.7907046437192,1680.7517707395666,1655.3574491483396,1592.0822844991803,1807.1859773102074,1599.0663330448247,1819.8876258307773,1674.2114641303604,1655.2469751120611,1847.5595608759875,1675.6004836525422,1489.2099403197503,1746.422617328094,1721.206768985489,1719.115433652823,1571.5786204600017,1571.5786204600017,1592.453862002366,1865.8890794794256,1516.6811958986432,1662.4699763653348,1614.604954773271,1637.3724344786515,1666.5293033742487,1542.2697392365026,1708.3866216026554,1689.304897769211,1725.6250709907658,1619.2993665793074,1766.6855192148969,1587.6616936638993,1675.0546298813363,1679.2925829974602,1668.7052535232372,1801.1568987290045,1672.1283162790596,1718.4931892910615,1724.6636424079181,1761.7611710767897,1688.806880389578,1611.154155713596,1616.1870023883043,1581.5203022997039,1532.9240316150547,1627.5711327515373,1657.073429798981,1686.6782356388635,1645.2712163118445,1910.7783526782896,1632.8954832533245,1573.1900120284768,1679.4330707481254,1655.1897241607617,1641.729594379907,1670.8764045660926,1631.1892641025015,1576.4799034768403,1582.1329771069168,1588.5704475409666,1511.062064206665,1742.704760708164,1731.0923724145841,1624.0856314856694,1665.2530657318355,1763.386088324287,1534.5252899098537,1655.1514941864561,1722.59515322119,1629.367830347787,1609.5514156121053,1709.4837068667882,1736.05509201103,1763.0362001496637,,,,1664.8264832139548,1489.2099403197503
Generation 4,1549.4788435127011,1660.3220692497932,1650.5839184904157,1634.390581454251,1582.5912232495248,1720.748522842881,1598.5129434778257,1683.0636901533067,1637.560927361183,1646.9966271473656,1675.0546298813363,1601.0508849775947,1678.1870353388517,1558.4847611473085,1548.4510147543874,1780.3263256424543,1823.4819783392336,1617.6063641730182,1525.830056239688,1600.4025552710605,1590.5538910796024,1618.8214956505622,1550.8532492971358,1615.507709295126,1646.39492279166,1748.6250491305107,1810.3157448940033,1586.0229270196087,1715.7242151256232,1552.7008287959786,1780.219332071073,1499.7459099915848,1642.607852011754,1520.813552438357,1748.6729499824537,1602.6073883620925,1683.0976033251268,1499.4735839521725,1517.5179383248128,1536.4702065796007,1550.403807581737,1563.4087674021212,1632.369179198422,1628.5877305335227,1565.6491825807357,1761.021014094148,1613.9128873640839,1550.351682837003,1671.0060370846227,1548.4510147543874,1520.1488944431421,1745.1378894232757,1559.3110052282857,1698.3959225059157,1541.4323176563748,1627.575091937899,1561.0516483037607,1614.1135741860667,1582.4590712184856,1619.5462063959858,1546.6044462495515,1661.3879005695105,1678.9274877554844,1579.586230235775,1595.0146815516987,1633.4217146536823,1523.1985939854392,1765.7821226867572,1660.0961423746026,1633.9418831467938,1589.6003593116047,1614.8737444017215,1559.7030824620756,1486.4518923459864,1616.375149022931,1660.0934250305463,1596.2133945178384,1512.9216633831702,1502.9409752455513,1567.2900053752737,1500.2482863598889,1587.293681323616,1619.8348256315062,1513.7567973231721,1695.198184798996,1608.9172707218984,1557.1629763952037,1587.443751757007,1563.8098414485967,1570.1650751440527,1685.368016780258,1623.4328843156545,1670.694251399169,1620.9224325745363,1624.7652837657786,1739.5594638353184,1746.1415909327097,1604.4960305132895,1670.6262900658853,1576.1643658066725,,,,1617.4463042275208,1486.4518923459864
Generation 5,1618.2078386711537,1554.9372756579737,1555.061760681167,1494.8156308527425,1502.5039579653487,1556.9450344883116,1441.0251557362903,1662.318374780321,1557.0447432010474,1575.9502876302142,1572.4849766730622,1569.677177007499,1513.7567973231721,1513.7567973231721,1579.1982928464438,1577.1077692116523,1448.988516616624,1563.4067307187183,1558.4847611473085,1558.4847611473085,1513.891974930369,1696.312789309888,1622.4227806527622,1631.1744796813855,1621.5272844086885,1537.2972385916064,1596.3906168329352,1578.5739188349091,1598.4092260329278,1549.9794183433282,1590.5538910796024,1590.5538910796024,1566.5005263085197,1617.006549532935,1639.5835155616633,1655.129135142381,1519.2256981601865,1614.6183977975197,1643.127296044574,1522.0981311941505,1592.6870481301298,1550.1307926372601,1518.055504464593,1617.631792375486,1718.325195005009,1555.6916078010618,1531.6889834784297,1571.7865709843431,1627.4346798224637,1585.2814433013446,1607.3673937132905,1560.20717948441,1513.9177208833303,1572.9996148258494,1654.708206058722,1584.971449207599,1550.8532492971358,1563.8098414485967,1520.813552438357,1517.5179383248128,1556.9450344883116,1510.3173394077512,1536.9762343952877,1613.3535940867125,1625.004655340212,1634.1512098798175,1560.2855899111796,1504.3244567091283,1501.0941758789168,1683.1807880719011,1588.4808236566614,1682.7147588886153,1481.6485050378278,1521.5407565676123,1537.9079148377114,1595.4194273641651,1569.784775081543,1587.6078640725937,1620.1783755924212,1573.9152883239053,1515.791138316468,1520.1395975422197,1645.0126181837277,1534.5252899098537,1614.1135741860667,1614.1135741860667,1529.200586138801,1576.5892310961633,1663.5226346034046,1505.502415305283,1661.3879005695105,1586.0229270196087,1581.5169226176738,1490.9578967479215,1578.557237364068,1577.7488246940284,1558.5351549242391,1607.318837611393,1557.7710053101282,1554.482623520159,,,,1573.5205472032062,1441.0251557362903
Generation 6,1602.6676363014033,1506.626739793615,1518.9534013731395,1609.9061928058659,1537.3069490057705,1497.9906048850141,1581.5169226176738,1513.9177208833303,1567.3624724346482,1488.6689791022425,1513.7567973231721,1513.7567973231721,1520.1395975422197,1520.1395975422197,1509.207248646012,1524.1018279952686,1602.796052623859,1469.492680423033,1585.4427457350603,1527.390020256235,1498.7177725332106,1578.3668594973205,1537.403934990427,1536.8835238509264,1571.9058976942647,1503.925307649017,1502.5427876326562,1596.0195894997296,1541.6690630585924,1481.3512905715024,1573.11272663996,1523.6035045312965,1550.483076612964,1627.6313118408598,1511.5005038667473,1527.0930356593924,1558.4847611473085,1614.1135741860667,1614.1601524732923,1520.364335384455,1564.13653026411,1542.3756755111012,1589.2947895607488,1583.3035457726264,1576.8544739888216,1603.6094915147794,1486.5172949044036,1585.859441173274,1600.668929679848,1481.941254837087,1572.542823055307,1510.9987493494082,1407.6970594318593,1643.6286226134669,1596.2154707852328,1631.3986410302105,1542.8408697741613,1551.7848377623038,1537.6420669909971,1534.8131469917894,1540.2909447644774,1572.6764399029898,1600.199707047845,1527.330418427045,1578.023273985677,1531.1253466545288,1616.375149022931,1564.8589769123673,1400.7687641817597,1619.5511098573434,1450.5271396388137,1561.97151367672,1572.4849766730622,1572.4849766730622,1533.527210446308,1583.443216333466,1510.8034135081436,1582.1854328845245,1523.9068640495675,1623.6917702310827,1475.6006387637062,1481.2156552890526,1510.4232917574188,1505.9983870912602,1529.1041385466142,1516.3416422549876,1521.1549992805055,1558.0428697546809,1650.0992727274227,1501.3115400502506,1605.6560485924797,1527.6832237537735,1574.2878677130393,1589.5508129523728,1592.8118832182386,1504.6729094936136,1565.1608359657062,1537.8661177064857,1510.7776023982683,1532.3149586709021,,,,1546.8089904977696,1400.7687641817597
Generation 7,1542.3756755111012,1497.9906048850141,1530.088466400809,1517.4219021800552,1545.1378193973676,1515.2927229093293,1529.3578330104742,1488.7723694167594,1517.0036162161907,1493.4518129019261,1593.7771052646026,1454.0457160313904,1479.390823562953,1426.2968407539204,1519.0469545536314,1534.7195938112973,1513.7567973231721,1488.6689791022425,1544.3690489898463,1471.9305359659818,1548.7291544243242,1510.0794159839784,1518.7056146433106,1515.0714333969172,1587.6125093111204,1563.40776782786,1555.3062254151578,1536.1588063109434,1650.1721611920643,1513.4057820278163,1591.5229365172618,1484.8873478048179,1531.4748426122294,1593.5284676691037,1481.2740816400974,1520.2168064736252,1486.5172949044036,1469.492680423033,1535.708979947608,1611.6372889026231,1543.018782736564,1565.8285583081552,1431.3035297306474,1568.1688628797388,1559.4669413091774,1505.0473600001988,1589.3319109978984,1432.9461952671168,1534.7451550908402,1519.2223431701868,1478.4042884074224,1544.278096767453,1526.4089041324967,1501.7517458866546,1557.6378901202506,1480.6754556419114,1431.9273583167526,1426.2968407539204,1566.5807920840266,1434.8569017775817,1587.20560081863,1497.4076296880767,1530.088466400809,1534.5489010320064,1442.2815611434748,1446.7667888598871,1513.7567973231721,1481.3512905715024,1510.8034135081436,1498.7177725332106,1531.0560172080582,1515.233314647679,1523.7758941890406,1494.2004200857673,1487.8810090105374,1535.0261140065736,1457.8022238070832,1491.5638986833694,1507.3316708382745,1495.09410558714,1545.2181068367445,1477.8022467933506,1581.9447951921736,1453.8534609559688,1407.6970594318593,1511.5005038667473,1581.9849665850456,1534.3701017424062,1499.309110124168,1570.825807231202,1495.72249264059,1507.2085645501613,1564.9873956027222,1563.651916148403,1605.6560485924797,1523.9068640495675,1537.2470157572634,1559.1448249653663,1539.3017651079244,1540.3379953198894,,,,1518.8926666043176,1407.6970594318593
Generation 8,1519.0469545536314,1467.612629433625,1500.2218397925715,1505.09885621397,1551.9157336561857,1499.0880794242503,1502.9409752455513,1529.015555474532,1484.4861044166814,1524.499696446743,1519.0469545536314,1467.612629433625,1516.838454306538,1476.8585570102136,1471.3162947019107,1525.250509847516,1521.6853289394287,1500.9970562354472,1545.7586980440467,1498.1771813259084,1448.496599515258,1455.852982685357,1533.7912826886616,1449.4581950575437,1491.5638986833694,1431.9273583167526,1543.018782736564,1498.7177725332106,1479.390823562953,1468.6442311887963,1513.6116258235998,1542.3260931508858,1460.1909842815353,1626.801170910837,1511.2537349666045,1546.1933739414144,1481.0691168030999,1555.2315301155609,1461.5108289247635,1470.9391755140496,1517.5143499753678,1515.1408668523663,1471.785800056019,1448.0225672712709,1595.2445097020557,1497.4194944247688,1495.4432538238677,1521.0113304178403,1360.9697547435835,1694.4113947375454,1484.1399506767932,1474.9363777566546,1495.4860325174714,1462.3090794529041,1504.6268807102829,1487.5204617293239,1487.4432527979186,1465.7613648081606,1510.267566037132,1576.4771584638156,1513.5028386425952,1462.3090794529041,1542.3659774748685,1522.7008354832137,1471.4879929045096,1617.2059144237992,1494.4433077954072,1448.8571491747043,1479.7382162422693,1543.675917950813,1544.2593431583896,1481.5597168539384,1462.101078991359,1496.1639708484336,1337.2741382987238,1540.7961802918107,1453.5850539282114,1540.855211245589,1513.4057820278163,1510.0794159839784,1507.3316708382745,1497.9906048850141,1458.3306642369105,1557.313519145593,1477.5435197569002,1507.4721918283951,1387.6222725327532,1578.3668594973205,1479.390823562953,1558.1418679492597,1467.4087674324292,1482.3240153269032,1402.3709619841711,1477.779339725718,1420.3813582722998,1569.630908994612,1399.5186961014597,1562.4871246000687,1518.3157012457302,1449.486812108832,,,,1498.989638986109,1337.2741382987238
Generation 9,1439.5160343348184,1538.6046979233486,1466.1402354896227,1460.8614793248212,1378.8309817784439,1527.8382453079405,1458.229510020079,1486.4475786781377,1507.545605017837,1533.8685675572988,1469.492680423033,1441.476343559274,1415.120838348613,1511.9094935171192,1440.6441580182775,1345.1265797957042,1494.7796133770082,1444.6201676630021,1489.161238091741,1503.1616136779635,1360.3177782964979,1449.5091256217897,1473.739161657319,1462.7080450240992,1479.390823562953,1479.390823562953,1529.3578330104742,1532.0550990180254,1333.9419901353817,1485.6076407141238,1497.9906048850141,1481.5597168539384,1414.485923055268,1428.0435485422538,1490.2013007716826,1484.6796584891417,1406.8304744977847,1566.53685816294,1350.951389315455,1510.822445430012,1431.9273583167526,1493.6387287114185,1368.536691051943,1472.1712799339095,1497.9906048850141,1397.0141237339171,1473.0952250198916,1443.1706915872417,1545.925806767204,1426.2968407539204,1472.313853845382,1501.6726547101937,1441.6001224636032,1500.4471732315703,1466.2933320769716,1423.9646904766914,1482.149351051949,1398.635156439508,1485.9962809249255,1447.3003480558568,1402.3709619841711,1402.3709619841711,1351.4999081094138,1411.8408086183408,1446.1378391856592,1500.0619094115202,1431.9273583167526,1494.4433077954072,1388.8642439520106,1520.813552438357,1516.838454306538,1471.3162947019107,1489.6818092873407,1463.3659004711071,1479.7382162422693,1449.4581950575437,1491.0972233646075,1502.5427876326562,1437.6273736912563,1493.5537908103513,1444.2763204997864,1436.296022054049,1407.6970594318593,1563.8881470024876,1484.1399506767932,1461.5108289247635,1567.2388133229583,1498.8078768163687,1521.7830446556427,1346.9083446802101,1382.5322190356437,1375.12327753538,1390.7631111607864,1467.522357555778,1430.4931532049038,1534.5489010320064,1481.487679136938,1406.2926618651716,1399.4124951503884,1463.149451115318,,,,1459.5105882876762,1333.9419901353817
Generation 10,1463.4666556169277,1414.4294889007244,1438.0959068035936,1442.6963776481573,1479.43534758148,1353.9205757768677,1392.323746906449,1409.1406007847106,1430.4221364977648,1419.0412169546485,1428.7821815076818,1435.826666987287,1405.1927341786154,1432.465547573579,1425.389076029609,1391.6708758850978,1472.132561816318,1404.0711170002205,1315.300418893755,1437.9005876516267,1437.2425299679564,1414.5866270737583,1406.6047755754887,1498.0210190991033,1387.3517114039807,1375.3370288766882,1368.146675187317,1469.9167840293262,1333.9419901353817,1466.2933320769716,1501.1443619876416,1454.1604251325869,1464.622346129521,1415.5378462235747,1550.8912827247086,1414.2099261686317,1450.645687681233,1484.7780837140526,1466.1402354896227,1479.390823562953,1414.818879261479,1441.5207208580957,1446.840433980833,1397.1306504669415,1460.5636359461632,1461.6402389260527,1467.3066809499746,1464.8591269651229,1426.3079412186137,1439.2568717216811,1469.492680423033,1441.476343559274,1456.6679077468862,1422.719979138177,1400.9779714772674,1423.1543700219793,1416.8479434395058,1348.5893689312172,1579.9547977183684,1273.9167713884804,1428.0435485422538,1345.1265797957042,1419.5728473263605,1503.6754399527483,1326.8738593147207,1504.7141438546314,1458.1954417290453,1430.7050287904146,1435.9033154185613,1412.1900360784903,1384.0261752601073,1437.975498105578,1437.4380848859503,1446.7667888598871,1372.3785620429053,1484.4861044166814,1475.8435264733462,1442.5644717987525,1469.9733908700932,1507.8052885181187,1307.060798940854,1474.8929530923108,1533.5359714180174,1525.8822789436879,1353.029290855512,1465.1925139600837,1412.2783972405607,1375.5175329229023,1410.9072723759405,1442.9642967309087,1497.9906048850141,1423.9646904766914,1460.8379713201412,1474.2659275502765,1379.1218487934386,1455.8093297001183,1435.1275706961023,1414.9270058953193,1399.756427083964,1419.2658385812279,,,,1432.7129728087216,1273.9167713884804
