Number of Runs,10
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),100

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,2,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mean,Best
Generation 1,1801.4412430270502,1867.4896318625656,1940.685287119958,1923.1634612455412,1823.9125426060634,1905.986954521365,1889.4338118855985,1669.9345083278968,1828.2830104522152,1855.4931731395543,1881.3464294635137,1780.7729177160204,1904.94908492386,1831.1779936742355,1813.8952321877646,1795.7063383970087,1869.1145902360615,1811.8166611322215,1865.9325889706206,1693.652016348007,1751.4300321534654,1749.9220347994446,1807.6231437271563,1984.8260089539745,1560.6630234479003,1623.8519853029975,1709.902675028875,1830.5145507009624,1858.9155824768548,1715.2134505215108,1670.4535049247734,1836.1721324844607,1815.6398855898785,1809.7053761662205,1816.969721361503,1865.9221211116605,1833.837810671722,1719.0035208266768,1795.278637571862,1685.701756229314,1878.8174959241474,1699.3979143771137,1848.8658346337475,1793.538458180473,1823.1915342930263,1829.1165584254402,1718.7768269608528,1768.8201263037895,1741.3818017827887,1830.1430377045474,1833.9416244129088,1771.7398517494776,1888.0864214895605,1652.8760862233523,1681.1737880052008,1795.4095352986697,1657.516884529527,1762.0815676501866,1673.9886721795233,1855.437515926558,1772.9379117007923,1787.2539592389735,1774.3520521117543,1820.9626688133635,1822.477406726056,1692.7455835734336,1906.8878077143263,1857.702851241727,1785.3512834752373,1986.741194243985,1819.6524103051136,1721.4802128598294,1698.8754675574478,1803.527268374303,1742.3026879664067,1690.424593870545,1710.045659831227,1865.004918356674,1830.891928830472,1836.8112038408233,1587.4778793123844,1587.4778793123844,1846.2405166031647,1996.1849380802983,1923.0665487695687,1773.2435710363777,1740.0689961471057,1887.481487979871,1844.6984119700342,1909.5596255574233,1865.5870489198555,1728.8657613798905,1968.6808870224495,1678.240420155521,1776.6124817933753,1647.7199387648875,1921.4134210673787,1791.1858797653117,1716.1417289235144,1674.8221000950334,,,,1794.9123456062762,1560.6630234479003
Generation 2,1891.7031704868164,1690.2414123676117,1719.8164995467025,1820.0760334044694,1780.7729177160204,1715.2134505215108,1770.6999038265012,1552.0446872715856,1885.460531151815,1728.9168829065227,1643.5000528772703,1776.3564902500714,1795.2881357551282,1701.2976376435063,1516.8312588531492,1792.722482679163,1799.1019561950557,1781.3346293053519,1786.684940265133,1755.0730977394487,1718.79246757057,1647.9309920209948,1657.293668319781,1659.0499723724938,1832.5107273254205,1695.4476627303154,1592.1405067711908,1873.7225334522527,1858.6746788543014,1831.4025801951238,1660.152303872473,1687.7646788144011,1662.7265395986733,1714.3893481142957,1760.3790992946226,1890.5236091436013,1870.4129030402669,1746.4025745532813,1734.6023112860062,1679.4553570406229,1781.6556803211774,1769.431497627832,1817.7621285207942,1787.2415652595569,1527.1245000222084,1870.1194409599884,1596.4250021713733,1733.3555651074175,1726.6035793271444,1934.5971793563776,1558.1161050454189,1748.1386012278183,1697.068182961978,1768.3236851355068,1786.9641352070003,1569.4052266379085,1750.2590656260986,1850.8901258006395,1849.887246651348,1709.8704435590148,1755.7731783779118,1788.6515609978178,1792.4357894093723,1749.0744497647836,1701.722359268414,1560.577620139004,1920.498683613203,1833.1747867962135,1816.975748586603,1667.2789785540263,1823.2820472343005,1794.0464726590758,1823.2302024673518,1678.0013371291873,1614.688196996618,1795.1133094184565,1852.4413491689988,1773.8601149601432,1676.1046379211716,1819.6801309872253,1730.076496363981,1849.286499112653,1600.8565939801906,1752.2059262703638,1878.4247865931975,1751.675763860015,1749.1591171226105,1837.6334093796772,1804.9763728241624,1592.1191835152126,1733.7877075304605,1732.8557751445157,1574.6006910040044,1799.9575646316605,1849.2138284106663,1688.7293083766726,1713.3501191381092,1675.880212747517,1682.1191503996515,1783.5216963252542,,,,1745.2719079884057,1516.8312588531492
Generation 3,1685.7973209832248,1603.7885813736384,1619.2361963243425,1776.6849411435317,1690.760271355515,1712.2597255564056,1665.3893032587189,1811.4733416945248,1780.548641600144,1700.0440051663936,1663.3589269934891,1550.5405148216373,1787.2315692956927,1703.277611725685,1697.0043679605756,1835.9744760258081,1659.3498898732016,1714.0894306135879,1722.8197232134999,1693.6813123623429,1643.3128175489533,1723.8512943298424,1686.3049575644986,1894.4255247831825,1684.3664956228722,1724.8602580143845,1579.327748491627,1646.067335107818,1562.5908924492817,1803.4097292820525,1539.476227216154,1703.2205433225008,1758.529389069621,1740.8887936790884,1795.1185499130074,1833.5653023062887,1807.9306684673406,1575.458468911033,1615.645849084744,1802.9728734162409,1822.6171118346556,1711.1281603274656,1704.4137145102768,1675.3099818873243,1685.7484996571652,1738.5244709361255,1605.1592263566095,1771.950941509874,1585.5960047391372,1742.44231139559,1660.2066932199648,1717.1955823447136,1712.3300278170273,1605.2138000486998,1849.5787143631546,1843.8227738311346,1804.2078570703852,1706.1189028695824,1681.173705530925,1560.3401426055796,1755.1793858947624,1679.1456907752527,1707.1529988379855,1808.8153483360973,1705.84205650409,1678.990805272289,1691.9636567484408,1742.652275537687,1740.197631922045,1744.8434751527757,1870.5714076411718,1600.1993037562975,1763.4183318348175,1777.4427520721636,1577.1644879030969,1693.6726669390587,1733.0313199860016,1698.629963324985,1557.225800661397,1859.2122950152393,1657.2552277371956,1783.669993851298,1654.1880572798864,1579.8082605130496,1651.0607517757069,1722.388248083796,1700.9995081196334,1708.0343718185482,1664.4258335793243,1586.279495345852,1592.1405067711908,1592.1405067711908,1722.1545080636022,1691.9031602630266,1762.246626240001,1672.406576510923,1747.4801192144353,1773.6271422734117,1579.8082605130496,1654.1880572798864,,,,1702.592693588986,1539.476227216154
Generation 4,1757.5331897764297,1681.9134895797358,1564.1758840944758,1605.6008270515044,1690.2218082953475,1621.2214767217347,1778.7742006105086,1768.314125075607,1498.6966995828868,1741.7708530428513,1672.3433597538974,1547.0910707044852,1681.173705530925,1579.8082605130496,1591.8939628098406,1671.7237915214241,1700.586576087778,1600.8565939801906,1613.2665696422805,1637.6318979581752,1612.4669389070045,1754.0923788803148,1532.4689642807862,1639.406535804203,1610.139824034078,1748.696832510872,1705.84205650409,1681.173705530925,1733.7169117947483,1637.6179417526823,1626.3433696150016,1653.528813806308,1497.2320860988666,1712.6583185959726,1637.2817512112533,1720.8064092690806,1713.2504385525447,1715.706794549641,1696.0577954842217,1742.769799762808,1678.505130507756,1661.4802477553553,1645.624331746369,1652.301700809795,1751.2428523495714,1620.1407872750283,1555.4261174120713,1640.0279921857223,1604.4573443522759,1573.279167158052,1652.1981016411287,1783.4056448671624,1693.1579444610102,1664.1412884425793,1658.2316029952744,1602.7503630487004,1562.3921878840797,1688.3131410410967,1695.2538589652281,1568.0736625807685,1780.6606382183695,1697.1323597955948,1619.7524752828374,1655.7499987945894,1630.9714202377036,1668.3220853714724,1550.7432836658734,1734.9070333512664,1682.6027830491466,1661.7773254818608,1704.8477856692757,1741.1919027568592,1592.1405067711908,1603.7885813736384,1700.760311977435,1690.9994674977136,1646.153896471862,1616.8079124144601,1646.491012432551,1659.827194193329,1649.6282688550114,1694.6840568135758,1527.643300615479,1671.182816473877,1596.4249481980974,1679.0775258793292,1804.6644372119827,1587.6468384753448,1675.880212747517,1582.0964259060074,1672.2366619078177,1776.8226352021984,1689.613594312158,1542.1006260404047,1734.8298718167352,1618.1926849955246,1531.5558157772957,1652.0410261093925,1659.3498898732016,1678.990805272289,,,,1656.3654989404788,1497.2320860988666
Generation 5,1552.3889669973619,1689.7002753130892,1730.7668964312002,1540.0828491455457,1630.2060010821488,1658.9637339391384,1572.2168962392416,1718.581718191791,1647.4947366578901,1567.122896535732,1749.2495444022563,1550.1596790377798,1652.9688731959277,1603.0663780564914,1525.8777092672633,1606.5347004902228,1585.5750376702053,1579.990903775944,1615.2397264164956,1643.6136482634142,1637.6461867496782,1626.2181115429362,1585.5810728893339,1602.6333769664634,1635.6445684164837,1481.2448161619272,1553.0326299831263,1518.9432367578124,1580.191854348664,1578.7166841062003,1514.6781390575463,1735.420697807634,1523.4470653774501,1713.152757565546,1612.7157589071985,1531.2683857003271,1617.4093720133178,1600.3145419812383,1550.394746249854,1579.3527182658954,1664.0475225433074,1593.6397343496192,1609.2765722583558,1578.7484626187706,1580.1345846682384,1564.8013185195525,1549.9425473053411,1658.9406530112888,1645.5624872767796,1639.9979449992854,1598.9327217387035,1602.9161794501417,1772.5304941503487,1517.0529578706996,1668.5415870356892,1594.1473603118607,1653.0390222509884,1447.8834455225426,1779.294909406297,1530.3043892963021,1651.1246590310973,1658.8366424754827,1705.1902868474808,1707.5174302195562,1693.9611836021131,1584.0586955867402,1624.2588823686256,1607.288160206768,1564.2583941454336,1666.5423198218436,1608.2749795470418,1621.7995025096984,1478.6346389265946,1750.8912218414216,1586.279495345852,1583.807410687616,1563.937425498008,1541.8107059408298,1447.3937182081092,1605.2644853028287,1560.0592272092622,1661.1101828801907,1483.5290601049396,1631.8507330935172,1606.9944864652832,1647.9539782245456,1610.6614680227353,1673.4444895365248,1691.4806209445164,1527.5847480928296,1662.0075263345109,1578.0485705074818,1606.9206133796001,1616.3537181917295,1630.0397376128922,1567.9612078956818,1584.6062727864314,1574.2108632957456,1612.4669389070045,1612.4669389070045,,,,1608.3842440704748,1447.3937182081092
Generation 6,1586.8390012780528,1569.9580318481999,1540.0828491455457,1578.7166841062003,1464.021829872361,1500.9145735208813,1581.1071333255554,1595.053525522722,1558.9826817022185,1660.5922681027514,1449.4576477416413,1683.3915856540168,1501.9878630004628,1670.4003339679273,1736.2510107441476,1578.9211708302569,1537.8265093655336,1554.9791229977614,1530.6905855586024,1623.0083760002785,1630.0397376128922,1483.5290601049396,1623.2735438469765,1574.893665130854,1616.3537181917295,1609.2765722583558,1522.8988211681144,1606.1927262136046,1551.8049314834825,1594.8531760045491,1581.2955338331112,1595.3576505720953,1622.349708911687,1552.5321123635945,1633.6382429518796,1587.3524955023604,1595.4411075894004,1579.8082605130496,1520.8189333735845,1558.4255179280417,1434.7048726808678,1539.0562821089381,1588.751299758268,1575.047014705292,1588.3162936282743,1577.4505983905951,1498.674716397541,1558.0084930365351,1557.2213989080924,1641.5250353447643,1674.7115478520989,1540.671505324432,1521.9363434395655,1523.046184914283,1531.3105151510563,1517.019863473436,1463.5228301303782,1548.6722065972835,1588.4003593325551,1558.27200500019,1592.2159724940304,1616.7803490192318,1575.7262720324688,1551.4919442723851,1608.4684874965087,1575.90475007147,1649.9834018562897,1582.7916330840203,1650.0825454141436,1554.1680554944949,1557.6438949040341,1457.711031199757,1627.697845203786,1504.0514688855408,1497.7504645696213,1611.9967070782545,1515.044452068938,1544.9170481991896,1645.6503952002,1598.8713307004227,1629.7059389574674,1460.4301644552293,1572.2168962392416,1585.5750376702053,1580.9604169704544,1512.7513380984778,1549.9425473053411,1549.9425473053411,1696.930785391657,1526.6733831826477,1584.8886935275095,1625.1721709942658,1509.2049879275164,1562.4476126492182,1542.7979052051908,1467.1051194217307,1605.1907763717586,1587.3787477637302,1553.927251228662,1580.8387005955492,,,,1569.7266673651984,1434.7048726808678
Generation 7,1635.4592488126655,1501.5704106084763,1548.7181931030914,1474.088603270956,1495.336075010005,1528.4773196789906,1442.4709151320583,1489.9844221184308,1533.3490242649145,1588.3700517705333,1535.7584296786733,1463.641765368309,1506.9305978792459,1400.2380810621523,1515.6922738610247,1516.5588989807748,1532.8989286197484,1588.864034711934,1554.909555964059,1564.8013185195525,1521.7416221685949,1533.6527373050608,1562.052073438062,1448.1910701252896,1517.019863473436,1509.2049879275164,1561.9009314673876,1523.7687770889765,1459.924977898213,1539.4752171487694,1535.558893607908,1574.3262925844276,1562.9954297936094,1512.6122039641825,1460.8079344347875,1585.3034560975248,1634.9528776507634,1518.8829800560047,1534.2766979519847,1442.0334093972624,1575.5336593794414,1500.264396991905,1508.3913700719163,1479.189158918564,1575.7262720324688,1434.7048726808678,1541.976420910512,1478.6346389265946,1515.044452068938,1464.021829872361,1502.945940179453,1604.9889382623392,1559.1418760514432,1557.0573326271226,1537.7911219022117,1513.7183970299752,1506.8708749437767,1472.7510459362807,1497.9486161940029,1557.023247283711,1599.0098975623437,1544.209035011896,1481.6975472724878,1530.4579237989751,1546.889910696938,1548.8778388284923,1495.6695301051643,1565.8209085928524,1444.2299640959675,1503.9024000432146,1454.6050678480065,1557.6300280907053,1437.5155590053776,1542.3408985148308,1540.0079191176642,1571.1407310190903,1544.9170481991896,1504.0514688855408,1509.2049879275164,1586.8390012780528,1541.887530013706,1614.1199016620403,1493.5983300538799,1633.253616134894,1563.7030936635633,1562.5434493310743,1654.2763739853635,1441.0536435834217,1636.7952760798298,1369.8837705699038,1511.7274801567705,1584.3710342089532,1467.1051194217307,1467.1051194217307,1636.8155518212516,1445.98690760219,1475.5002808730344,1504.3561766471742,1545.0318913287847,1576.398403022652,,,,1525.750556597355,1369.8837705699038
Generation 8,1599.0217874431055,1438.6605201634015,1574.7094285917683,1482.55978030864,1461.7269484646913,1482.1336517657626,1550.4877273476638,1463.3137454753587,1493.5983300538799,1493.5983300538799,1507.4728423797835,1464.5602930604418,1606.8358650528673,1402.2186069871134,1579.228212430416,1512.9522009121379,1467.8163604791444,1438.978481557833,1549.8846604474352,1430.3773765868345,1454.6050678480065,1504.3561766471742,1544.5814844962906,1418.2894335813746,1581.6916412049522,1490.9828389546913,1577.3732115161138,1416.0518159131448,1369.8837705699038,1369.8837705699038,1462.1787267366678,1563.9487271674711,1554.686117212932,1469.4422494925095,1494.68231682255,1482.3084593315969,1337.9526360311843,1540.322504610635,1426.0359631989118,1533.6693414332537,1548.977958827935,1480.9682692292138,1413.3053019499048,1468.6303263847358,1474.088603270956,1460.8079344347875,1487.3220413251906,1460.9593916563176,1512.715803194395,1505.581835088457,1405.0921417622212,1513.645811776249,1506.0508726357534,1485.2149855980092,1564.187949751521,1473.6037471829982,1544.7275491026176,1474.710758091523,1475.5002808730344,1467.1051194217307,1469.7367993250064,1566.5278676922935,1424.8199296068344,1557.2213989080924,1615.3980561405003,1472.1172002855972,1515.4618316441924,1466.3819757861581,1536.0680780791574,1582.544571548465,1394.1635696135081,1589.6144598908936,1433.285589747756,1412.9393989165865,1600.740270693228,1485.769044312075,1498.8306297193767,1480.505302147728,1522.8971772305676,1431.2377425690609,1490.0988527642703,1580.3609625074157,1543.6321882053926,1417.958193356919,1476.712132143111,1486.4700602167477,1513.7183970299752,1442.0334093972624,1475.5002808730344,1530.4579237989751,1446.39993082479,1650.2482362738801,1550.7494914097415,1470.1727721069092,1478.6346389265946,1508.3913700719163,1475.5002808730344,1437.5155590053776,1562.9954297936094,1509.2049879275164,,,,1494.1927407582252,1337.9526360311843
Generation 9,1474.2937107386754,1432.5956261920787,1404.6708511163874,1474.50989391679,1463.641765368309,1417.943058868268,1470.906251812873,1480.8845215766055,1458.7532034753697,1565.3751632300718,1589.6144598908936,1480.9682692292138,1337.9526360311843,1478.6346389265946,1538.5234143207801,1416.1338207697388,1363.993670968496,1585.6049246454536,1428.8375635073105,1462.7145332788687,1420.317630450823,1486.7170244170131,1462.6973498642508,1413.7966906989598,1466.2712744832777,1513.0840609314916,1442.0334093972624,1442.0334093972624,1369.8837705699038,1482.1336517657626,1472.7838915404682,1406.7650768621718,1459.6528391165891,1519.532743154866,1460.8079344347875,1467.8163604791444,1413.720635163741,1504.323707510618,1483.2850076069656,1408.912126618413,1487.467274419362,1404.0848223668172,1425.998108586159,1515.8841480730332,1421.11426447951,1459.526766567408,1471.6114679377001,1337.2507841900365,1435.8852259404252,1369.8837705699038,1383.15679511572,1448.106700191104,1412.3144446813749,1513.3407574296061,1426.2881976011342,1476.4396416391312,1482.1026509641895,1487.290423949884,1442.2772852100543,1320.4952804279646,1438.7070705533765,1430.648787591291,1552.0963431388836,1428.4122272186296,1469.3769782944682,1504.1656409688628,1512.381216438485,1456.3897036550213,1480.7968770657162,1391.1585292464033,1462.1887682265105,1374.0769781295512,1508.6770836164415,1508.0216011654468,1502.8803059923898,1466.2183049345244,1519.3585271009683,1384.6999507924813,1418.2894335813746,1438.6605201634015,1444.2299640959675,1412.975847799127,1489.9753904321044,1414.083087461345,1369.8837705699038,1402.2186069871134,1533.6693414332537,1513.645811776249,1462.7429593808918,1425.696720408729,1416.1338207697388,1534.2766979519847,1394.4723964786913,1417.6493664917357,1390.7792139854664,1440.4496185124945,1546.5908495713784,1446.0767723773092,1399.8848760358155,1502.670063649609,,,,1453.4894940671134,1320.4952804279646
Generation 10,1339.6996381947324,1448.460427396164,1363.993670968496,1414.083087461345,1483.2850076069656,1478.6346389265946,1404.0848223668172,1413.720635163741,1445.4759306200908,1438.483465199041,1417.8686520934439,1392.9812471355451,1438.7070705533765,1383.15679511572,1470.921504382023,1433.285589747756,1420.3567666048923,1472.3609597830473,1453.6386390761636,1456.809629954328,1512.2453152043279,1388.785173481096,1416.270766863034,1378.9725847501866,1492.3025407247558,1458.95915996301,1398.1322870872518,1441.12846177712,1408.912126618413,1404.6708511163874,1354.0962620899359,1406.946037726371,1402.8386134050027,1435.7533331841892,1383.15679511572,1369.8837705699038,1574.3177495202763,1407.7381274449426,1476.859038212829,1495.398246074029,1536.4736638453378,1348.205918763124,1507.5431322114737,1293.749025282207,1396.846735876858,1429.84974708601,1369.8837705699038,1363.993670968496,1402.2186069871134,1402.2186069871134,1433.390675818313,1474.8597875173673,1438.5885366670116,1351.6933319026186,1422.653297766024,1482.2695387617046,1400.569291855142,1442.762079424647,1357.304104711543,1350.5323018895454,1416.836501525287,1356.0692960616218,1457.548273678152,1462.0128642320049,1435.849092499905,1399.4705462077732,1411.5901063626043,1338.6769743499553,1429.741078933475,1416.158675563137,1438.392897669529,1420.6318033346706,1467.556882473273,1402.31693705946,1408.1706149564916,1398.7188431470092,1419.9465883855062,1326.918174264091,1486.2124637463317,1415.9238983015284,1452.3122100385492,1435.0078271241873,1425.1222322387925,1461.6449881157132,1472.6717311317416,1402.3572468285022,1437.5199029369335,1382.0968745558437,1459.3000236630014,1371.3038545997483,1519.4419572161914,1316.71308783699,1389.5096056760672,1430.6595112113532,1396.6571030050393,1368.578404370915,1462.2834812459141,1437.9231330796047,1451.6075596049322,1370.1997572327618,,,,1421.3463424863523,1293.749025282207
